,Name,Rating,Followers,Online,Peak,id
5,Dead Frontier 2,69.91%,"68,291",521,"10,101",744900
6,Atomic Heart,-,"60,230",0,3,668580
7,Galaxy in Turmoil,42.59%,"56,976",0,215,488430
8,Monster Girl Island: Prologue,93.74%,"51,807",59,"1,538",943700
10,Scorn,-,"42,253",0,1,698670
12,Lost Squad,-,"41,434",0,2,284080
13,Breeders of the Nephelym: Alpha,88.20%,"41,261",216,"2,702",1161770
17,BattleBeasts,31.31%,"30,750",1,46,830580
19,War Selection,84.93%,"30,272",754,"1,645",1022450
22,Ooblets,-,"27,782",0,2,593150
23,Muck,93.25%,"26,885","10,309","16,715",1625450
24,Relic Hunters Legend,-,"26,357",0,29,633080
25,Just Us,-,"26,345",0,2,612660
26,Builders of Egypt: Prologue,73.75%,"24,727",7,918,1207590
35,Mortal Online 2,-,"17,947",0,"1,300",1170950
36,MADNESS: Project Nexus,-,"17,922",0,66,488860
37,No More Room In Hell 2,-,"17,817",0,1,292000
42,UNDEFEATED,87.13%,"15,810",55,716,1116960
44,Project: Bits,-,"15,477",0,3,581150
46,Build a Game Universe,-,"14,770",0,22,387820
48,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",89.66%,"14,638",28,"4,372",1121910
51,TheDawn,89.72%,"13,638",8,221,1475380
53,Wasteland Survival,58.27%,"13,484",25,913,1044200
55,RAM Pressure,46.07%,"13,296",18,242,929490
58,Thunder Tier One,-,"12,854",0,5,377300
60,OpenTTD,90.95%,"12,698",388,"3,254",1536610
62,Arid,80.50%,"12,357",82,402,1463730
65,中华三国志 the Three Kingdoms of China,80.96%,"12,015",13,439,1029500
68,POLYGON: Multiplayer Shooter,68.68%,"11,930",194,470,1241100
71,Soul Saga,36.09%,"11,480",0,16,251590
72,Swamp Jump,54.17%,"11,397",0,2,914230
74,Retro Snake,51.55%,"11,278",0,4,877260
78,CityBattle | Virtual Earth,65.66%,"10,829",0,638,611020
80,狐の旅路,90.10%,"10,447",1,161,1178050
81,异化之恶〇Abnormal Treatment,93.27%,"10,421",1,238,1122750
82,Crab Champions,-,"10,318",0,2,774801
86,Gold Digger Maze,42.04%,"10,054",0,3,893140
87,Wonderland Trails,44.31%,"9,983",0,2,947310
88,NEW LIFE,21.36%,"9,975",0,60,913780
89,Chess Puzzles,40.63%,"9,882",0,6,874380
91,Wytchsun: Elleros Origins,54.59%,"9,848",0,26,1068530
95,King of Crabs,76.98%,"9,465",120,"1,876",1273710
96,Vainglory,63.41%,"9,317",11,"1,866",1025580
97,Animaze by FaceRig,53.01%,"9,302",254,664,1364390
99,Cell to Singularity - Evolution Never Ends,86.43%,"9,276",656,"2,237",977400
