,Name,Rating,Followers,Online,Peak,id
0,Hidden Folks,93.52%,"29,422",25,763,435400
1,Soundpad,94.99%,"19,659","10,724","15,417",629520
2,Action! - Gameplay Recording and Streaming,82.53%,"15,836",369,737,228180
3,ShareX,91.82%,"14,994",764,"1,173",400040
4,AppGameKit Classic: Easy Game Development,79.33%,"11,925",3,"1,007",325180
5,MorphVOX Pro 4 - Voice Changer (Old),55.20%,"7,780",87,242,269470
6,FUSER™,83.33%,"7,610",47,855,1331440
7,Stream Avatars,90.35%,"7,184","1,423","1,825",665300
8,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",119,757,795630
9,Desktop Magic Engine,70.59%,"5,308",37,752,1096550
10,SONAR Steam Editions,72.76%,"4,275",2,43,380080
11,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",64,180,1182920
13,Rytmik Ultimate,81.09%,"3,312",1,65,375840
14,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,103",17,42,919280
15,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",51,261,973600
16,Virtual DJ - Broadcaster Edition,49.53%,"2,547",1,35,224380
17,Mixcraft 8 Home Studio,84.16%,"2,404",39,105,218760
18,Rytmik Studio,79.26%,"2,168",7,21,657280
19,D3DGear - Game Recording and Streaming Software,73.37%,"2,070",5,60,372390
20,Multiplicity,45.98%,"1,773",0,12,620040
21,Music Maker Steam Edition,51.51%,"1,766",12,53,906810
22,PlayClaw 5 - Game Recording and Streaming,67.53%,"1,726",4,101,237370
23,VEGAS Pro 15 Edit Steam Edition,61.45%,"1,707",21,69,689790
24,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,665",78,213,1182930
25,CyberLink PowerDirector 15 Ultimate,68.83%,"1,614",0,18,501620
26,CyberLink PowerDirector 15 Ultra,66.14%,"1,603",1,22,501630
27,Movavi Video Editor 14 Plus,80.23%,"1,599",8,64,870420
28,TribeXR DJ School,83.24%,"1,529",2,12,877850
29,Movavi Video Editor 15 Plus - Video Editing Software,77.87%,"1,387",37,101,969020
30,VEGAS Pro 16 Edit Steam Edition,63.11%,"1,370",18,58,883140
31,foreverloops LONGPLAY,68.78%,"1,326",0,10,725610
32,Cadence,-,"1,263",0,3,362800
33,Vinyl Reality - DJ in VR,82.97%,"1,130",0,7,642770
34,"DvDrum, Ultimate Drum Simulator!",76.11%,"1,009",1,13,385130
35,Incredibox,88.65%,"1,005",28,79,1545450
36,EXA: The Infinite Instrument,84.98%,999,0,8,606920
37,Paradiddle,84.45%,990,5,12,685240
38,VeeR VR:VR Video and Movie Platform,76.91%,988,1,12,650090
39,VEGAS Pro 17 Edit Steam Edition,65.10%,974,19,55,1110410
40,ACID Music Studio 10 - Steam Powered,62.34%,952,4,19,278190
41,Odesi Music Composition,59.91%,943,2,17,260990
42,Music Maker 2017 Premium Steam Edition,47.88%,913,1,28,504720
43,Avalive,60.54%,905,0,5,1137770
44,Movavi Video Editor Plus 2021 - Video Editing Software,75.10%,862,40,69,1418800
45,VEGAS Movie Studio 14 Steam Edition,57.67%,844,2,37,523110
46,Gecata by Movavi 5 - Game Recording Software,67.51%,840,17,59,769670
47,VEGAS Movie Studio 15 Steam Edition,50.27%,839,5,42,785160
48,DreamDesk VR,42.04%,820,0,4,520210
49,Fantasynth One,88.58%,803,0,15,624460
50,Ohm Studio,61.58%,756,5,472,241660
52,VEGAS Movie Studio 16 Platinum Steam Edition,64.05%,726,10,66,1016840
53,VEGAS Pro 18 Edit Steam Edition,20.21%,725,11,"1,510",1325400
54,Music Maker 2017 Steam Edition,50.99%,712,1,18,504710
55,Boom 3D,84.13%,703,182,232,1071100
56,"Movavi Video Suite 2021 Steam Edition -- Video Making Software - Video Editor, Screen Recorder and Video Converter",62.92%,668,16,43,1418970
57,SPATIAL SOUND CARD,66.31%,642,22,72,444970
58,Rytmik Lite Chiptune Synthesizer,65.11%,635,1,18,432330
59,Supermedium - Virtual Reality Browser,64.44%,602,0,11,803010
60,SOUND FORGE Audio Studio 12 Steam Edition,72.74%,588,4,15,690770
61,Cakewalk Loop Manager,70.68%,565,0,4,305280
62,"PlayClaw :: Overlays, Game Recording & Streaming",64.02%,550,3,22,746390
63,Caffeine,73.20%,547,0,26,865770
64,liteCam Game 5: 120 FPS Game Capture + Streamer,43.05%,544,0,13,428800
65,AudioTheory Guitars,75.46%,542,0,9,1176110
66,Liquid Rhythm,57.73%,526,0,9,262610
67,VEGAS Movie Studio 17 Platinum Steam Edition,46.91%,513,27,48,1252010
68,XMusicVisualizer,41.33%,513,2,26,1061820
69,Mosaico,61.78%,506,0,35,257650
70,Metagroove,70.34%,501,0,9,1440450
71,Rapture Session & Pro,64.07%,494,0,4,352290
72,RPG Sounds,82.27%,467,7,26,1480140
73,ASMR Universe,65.63%,464,0,"2,919",448830
74,SONAR Home Studio,56.83%,455,1,17,543510
75,Music Maker (64 Bit) Steam Edition,46.42%,446,6,25,1390680
76,SynthVR,79.65%,445,0,11,1517890
77,sheepChat,67.81%,444,40,84,944770
78,Beat.School: DJ Simulator,62.45%,418,0,9,1170180
79,Ozapell Basic,60.54%,415,0,2,523410
80,Z3TA+ 2,73.56%,408,0,16,241790
81,MAGIX Music Maker Hip Hop 6 Steam Edition,50.00%,407,0,14,356940
82,GraviSound,63.65%,405,0,78,932480
83,BM Studio,72.22%,404,0,100,779960
84,"Cyberlink Screen Recorder 4 - Record your games, RPG, car game, shooting gameplay - Game Recording and Streaming Software",64.07%,384,1,7,978990
85,LyraVR,73.27%,384,0,5,572630
86,ACID Pro 8 Steam Edition,45.52%,383,0,9,987010
87,Electronic Piano,41.21%,378,0,4,831710
88,MuX,71.55%,372,0,3,673970
89,Movavi Video Converter Premium 2020,70.44%,360,3,16,1182940
