,Name,Rating,Followers,Online,Peak,id
0,Dishonored 2,85.14%,"219,057","1,338","22,411",403640
1,Phasmophobia,96.21%,"216,528","13,024","112,717",739630
2,Control Ultimate Edition,86.93%,"88,935",573,"9,193",870780
3,Chernobylite,79.00%,"85,920",717,"3,944",1016800
4,The Vanishing of Ethan Carter,86.13%,"75,926",3,"1,443",258520
5,Secret World Legends,66.25%,"48,174",111,"3,731",215280
6,Five Nights at Freddy's,88.74%,"44,767",75,"1,316",319510
7,Oxenfree,90.09%,"44,205",17,733,388880
8,BIGFOOT,72.69%,"40,534",686,"1,246",509980
9,Rake,67.98%,"36,505",4,113,386880
10,Alan Wake,89.27%,"34,686",97,"6,652",108710
11,Murdered: Soul Suspect,83.08%,"32,905",35,"1,645",233290
12,Sally Face - Episode One,93.42%,"26,602",161,"2,107",541570
13,HellSign,69.31%,"24,900",6,205,606500
14,The Darkness II,88.99%,"24,888",20,"12,593",67370
16,Witch Hunt,84.41%,"22,657",6,130,661790
17,DreadOut,73.93%,"20,456",6,176,269790
18,The Dark Pictures Anthology: Little Hope,72.47%,"20,238",66,"4,997",1194630
19,Labyrinthine,84.01%,"19,557",184,"1,164",1302240
20,Firework,95.62%,"19,481",4,"3,746",1288310
21,Fahrenheit: Indigo Prophecy Remastered,78.01%,"18,725",19,417,312840
22,Ghost Hunters Corp,70.83%,"17,936",726,"3,791",1618540
23,Gal*Gun 2,85.42%,"17,304",11,145,851890
24,Vampire: The Masquerade - Bloodlines,92.09%,"15,870",88,"3,251",2600
25,Vampire: The Masquerade - Bloodhunt,-,"15,832",0,22,760160
26,Phantom Abyss,82.25%,"15,828",40,"1,607",989440
27,Creaks,89.94%,"15,210",10,286,956030
28,Necrobarista,81.76%,"13,993",1,290,725270
30,SONG OF HORROR COMPLETE EDITION,77.62%,"11,995",36,224,1096570
31,Shadows Peak,67.57%,"11,830",0,26,359940
32,Return to Castle Wolfenstein,89.47%,"11,384",58,579,9010
33,Afterparty,69.69%,"10,043",6,104,762220
34,The Painscreek Killings,85.52%,"9,807",14,161,624270
35,Dishonored,94.99%,"9,722",213,"4,604",217980
36,Paper Dolls 2 纸人贰,81.29%,"9,493",3,"1,307",1334040
38,Unavowed,91.22%,"8,376",23,327,336140
39,Faceless,-,"8,319",0,3,243240
40,HellCat,78.71%,"7,993",0,11,864860
41,The Darkside Detective,90.60%,"7,837",11,230,368390
42,ASYLUM,-,"7,589",0,2,230210
43,Wildfire,76.44%,"7,349",8,193,431940
44,Lunch Lady,79.59%,"7,244",150,"1,135",1571440
45,DreadOut 2,71.82%,"7,111",4,374,945710
46,Devil's Hunt,42.09%,"7,029",6,120,887720
47,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,84.42%,"6,605",2,356,262000
48,Alan Wake's American Nightmare,68.91%,"6,368",10,738,202750
49,At Dead Of Night,88.81%,"6,335",21,197,1450830
50,CASE 2: Animatronics Survival,79.06%,"5,767",10,67,722960
51,Metamorphosis,79.77%,"5,756",0,79,1025410
52,Whispering Willows,78.26%,"5,508",1,"2,527",288060
53,They Bleed Pixels,81.04%,"5,455",0,570,211260
55,During Before And After COVID-19,55.69%,"5,101",0,2,1509630
56,Gray Dawn,79.74%,"5,077",2,22,747360
57,Voices from the Sea,88.12%,"4,779",0,52,348620
58,Mutazione,89.72%,"4,705",3,49,1080750
59,The Cursed Forest,82.73%,"4,627",2,32,345430
60,Sanitarium,88.12%,"4,452",4,112,284050
61,Goetia,74.38%,"4,362",2,111,421740
62,Skinwalker Hunt,85.47%,"4,151",10,62,993110
64,Mists of Aiden,86.32%,"3,867",0,45,1239050
65,Saint Kotar: The Yellow Mask,71.65%,"3,736",2,72,868770
66,P·O·L·L·E·N,62.12%,"3,673",0,100,393750
68,Dreaming Sarah,87.25%,"3,466",0,"3,038",296870
70,Nanairo Reincarnation,85.13%,"3,373",1,33,751450
71,Touhou Mechanical Scrollery | 幻想討幻経,51.85%,"3,298",0,256,1222050
73,Dark Fracture: Prologue,80.60%,"3,225",6,149,1389160
74,BloodRayne: Terminal Cut,85.91%,"3,142",6,383,1373510
76,Lucifer Within Us,71.80%,"3,032",2,90,717560
77,Haunt the House: Terrortown,80.41%,"2,918",3,63,270630
78,Black Mirror I,77.47%,"2,854",10,112,292930
79,The Blackwell Legacy,84.69%,"2,660",1,348,80330
80,Haunt Chaser,80.33%,"2,656",45,155,1450180
81,Shadow Man,83.46%,"2,545",1,42,251770
82,Ghostbusters: The Video Game Remastered,84.28%,"2,541",8,58,1449280
83,Cognition: An Erica Reed Thriller,78.47%,"2,516",0,362,242780
84,Witch Halloween,76.86%,"2,485",2,36,1133770
85,A Space For The Unbound - Prologue,92.66%,"2,467",3,15,1201280
87,Iwaihime,78.59%,"2,432",2,128,1372300
88,GLASS,84.49%,"2,351",6,68,1431570
89,Fibrillation HD,80.94%,"2,338",0,14,558450
92,Erannorth Reborn,80.84%,"2,181",13,53,1055990
93,Fury of Dracula: Digital Edition,69.36%,"2,157",2,107,958530
94,X-note,48.89%,"2,132",1,111,337940
95,9-nine-:Episode 4,88.74%,"2,104",3,111,1424660
96,Wand Wars,85.19%,"2,017",0,16,422110
97,Love Sucks: Night One,88.29%,"1,993",5,144,1577420
98,Ghost Master®,84.18%,"1,970",11,125,6200
