,Name,Rating,Followers,Online,Peak,id
0,Plague Inc: Evolved,92.56%,"210,956",463,"17,889",246620
1,No More Room In Hell 2,-,"17,869",0,1,292000
2,Broken Lines,76.68%,"15,746",5,261,926580
3,Bio Inc. Redemption,84.76%,"14,103",24,340,612470
4,ICBM,86.86%,"9,590",35,700,1178220
5,Tin Can: Escape Pod Simulator,86.47%,"6,066",3,92,1315980
6,Quarantine,57.74%,"5,906",1,93,489370
7,Infectonator 3: Apocalypse,77.58%,"5,838",9,411,666570
9,Pandemic: The Board Game,57.10%,"5,344",15,169,622440
10,During Before And After COVID-19,55.69%,"5,104",0,2,1509630
11,Goblins of Elderstone,66.58%,"4,055",0,42,693580
13,Outbreak,58.67%,"3,492",0,193,514990
14,Evil Labs,66.32%,"2,034",0,22,680860
17,解药公司: 救世行动,66.91%,"1,367",0,73,1300620
18,COVID: The Outbreak,67.55%,"1,284",2,31,1287000
19,Happy's Humble Burger Farm Alpha,83.32%,"1,211",2,49,1433330
20,War Of The Zombie,69.46%,"1,170",1,44,828660
22,Arizona Derby: Offroad Wars,71.75%,"1,076",0,15,661290
23,Perfect Heist,66.86%,"1,030",1,95,787040
25,Infect and Destroy,40.42%,904,0,7,305660
28,Project Apocalypse,72.17%,596,0,4,1156500
29,Outbreak: Epidemic,50.43%,563,0,112,1082220
30,Lost Harem,45.45%,364,0,9,1540490
31,Pathogen-病原体,69.44%,325,0,7,794780
32,Trojan Inc.,46.69%,325,0,5,647980
33,DeadOS,77.00%,313,1,5,1590850
34,Last Generation: Survival,53.32%,295,0,4,1595600
35,No Place for the Dissident,53.98%,286,0,6,1402580
36,Stubbs the Zombie in Rebel Without a Pulse,83.69%,278,20,403,7800
37,Zombie Simulator,72.61%,277,0,14,1362310
39,Pandemic Heart,37.90%,265,0,3,1575260
41,Distancing,72.35%,232,0,14,1562860
42,Zero Tolerance,67.76%,206,0,5,1257930
43,Pestis,75.29%,199,0,5,853480
44,Cat Colony Crisis,74.41%,189,0,10,1516760
47,despatch: Entity Astray,55.66%,113,0,3,1451360
48,Ministry of Pandemic,50.00%,98,0,2,1516560
49,Rainy City: Pandemic,74.53%,98,0,2,1316050
51,VHAIP,69.20%,82,0,4,1509670
52,Corona Simulator,67.06%,79,0,2,1323350
53,40 Days [四十天],52.39%,75,0,3,737600
54,VIRUS OF SURVIVORS:LIFE SIMULATOR,40.58%,73,0,2,709020
55,尸水如潮-砍僵尸模拟器,-,64,0,2,1649790
57,Town Fall Zombie,65.93%,62,0,4,1447730
58,Model Building Restoration,25.81%,53,0,3,1623300
59,Nano Fighter Anti Disease,67.06%,53,0,2,1537340
60,Pandemic Crisis,75.00%,49,0,6,1281350
61,Pandemic: The Virus Outbreak,41.67%,47,0,2,1325960
62,Isolation Story,59.42%,46,0,1,1299260
64,ZombieWave-UnlimitedChallenges,57.39%,44,0,2,1491850
65,Infectious,47.22%,41,0,7,1302000
67,COVID-19 Epidemic Prevention,-,40,0,1,1332280
68,ZAR,60.76%,38,0,2,1600600
69,Everescape,-,35,0,2,770040
70,Customers From Hell - Game For Retail Workers (Zombie Survival Game),64.08%,34,0,2,1526360
71,Virus Petya,46.41%,30,0,3,796130
72,Trump VS Covid: Save The World Clicker,47.22%,29,0,7,1454580
75,Come on-be with you,45.83%,26,0,1,1238470
76,Vaccine Delivery Simulator,55.69%,25,0,2,1540130
78,Odenavirus Online,67.06%,22,0,2,1461570
80,Water Drift,40.40%,20,0,1,1607860
81,No Cure,59.42%,19,0,1,1351650
84,Escape - The Speedrun Game,50.00%,14,0,3,1589730
91,Corona Simulator - Savior Edition,-,-,-,-,1353000
