,Name,Rating,Followers,Online,Peak,id
0,A Total War Saga: THRONES OF BRITANNIA,66.14%,"101,032",479,"22,797",712100
1,Ancestors Legacy,77.32%,"73,019",73,"4,940",620590
2,Rend,53.97%,"72,131",0,"5,111",547860
3,Tribes of Midgard,74.58%,"54,404","13,153","30,930",858820
4,The Banner Saga 2,86.15%,"47,296",43,"1,924",281640
5,Jotun: Valhalla Edition,76.37%,"41,833",10,"27,501",323580
6,Expeditions: Viking,81.73%,"34,221",281,"2,901",445190
7,Vikings - Wolves of Midgard,58.85%,"34,199",34,"4,043",404590
8,VALHALL: Harbinger - Pre-Beta Testing,46.05%,"28,583",0,44,908740
9,"Pirates, Vikings, and Knights II",84.65%,"25,733",25,878,17570
10,The Banner Saga 3,78.48%,"18,565",30,"1,428",485460
11,Valhalla Hills,53.42%,"15,908",7,557,351910
12,Dead In Vinland,75.17%,"14,676",36,"1,353",573120
13,Kyn,57.97%,"7,644",1,118,314560
14,The Banner Saga: Factions,70.25%,"5,910",0,"1,619",219340
15,Bierzerkers,47.54%,"5,098",0,374,348460
16,Swords and Soldiers 2 Shawarmageddon,65.38%,"4,580",1,150,703880
17,Volgarr the Viking,78.08%,"4,388",2,332,247240
18,Viking: Battle for Asgard,47.66%,"4,010",5,790,211160
19,Viking Squad,78.90%,"3,645",1,115,325930
20,King's Bounty: Warriors of the North,78.70%,"3,337",217,"2,219",203350
21,Rune Classic,84.75%,"2,352",0,28,210950
22,Zombie Vikings,72.23%,"1,974",0,63,337480
23,The Frostrune,84.28%,"1,759",0,58,513890
24,Cultures - Northland,76.38%,"1,480",13,726,351860
25,Cultures - 8th Wonder of the World,74.93%,"1,072",11,45,351870
26,FATED: The Silent Oath,66.26%,917,0,15,401820
27,Age of Viking Conquest,58.79%,819,1,15,792930
28,Trial by Viking,71.48%,662,0,10,440800
29,Playing History: Vikings,46.63%,374,0,4,368760
30,Viking Saga: New World,72.75%,293,2,15,416340
31,Riders of Asgard,73.45%,243,0,20,552370
32,Viking Saga: The Cursed Ring,74.51%,157,1,18,415390
33,Viking Brothers,62.35%,129,1,22,286520
34,Tiny Force Deluxe,56.05%,108,0,4,688620
35,Berserker,65.42%,51,0,2,1227680
36,Total War: ATTILA - Viking Forefathers Culture Pack,58.12%,-,-,-,335020
37,Mount & Blade: Warband - Viking Conquest Reforged Edition,69.09%,-,-,-,321300
38,Expansion - Crusader Kings II: The Old Gods,78.05%,-,-,-,210908
