,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","383,929","1,295,114",570
1,ARK: Survival Evolved,79.77%,"1,249,512","47,181","157,400",346110
2,Cyberpunk 2077,75.05%,"1,177,161","8,358","1,054,388",1091500
3,Fallout 4,78.77%,"846,011","20,107","472,962",377160
4,The Witcher® 3: Wild Hunt,97.05%,"786,023","14,931","103,329",292030
5,Warframe,89.62%,"755,251","43,376","189,837",230410
6,Monster Hunter: World,83.48%,"745,080","12,562","334,684",582010
7,Mount & Blade II: Bannerlord,86.17%,"737,748","13,048","248,216",261550
8,Dying Light: Enhanced Edition,93.98%,"603,769","4,546","45,876",239140
9,Terraria,97.11%,"586,997","27,398","489,886",105600
10,Stardew Valley,96.93%,"583,057","32,104","94,879",413150
11,DARK SOULS™ III,93.01%,"562,806","11,237","129,975",374320
12,Battlerite,83.09%,"526,206",383,"45,145",504370
13,Tom Clancy’s The Division™,67.96%,"472,315",472,"114,228",365590
14,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,440","125,315",814380
15,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,640","93,701",435150
16,NieR:Automata™,81.83%,"449,074",786,"23,908",524220
17,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,717","69,906",489830
18,The Elder Scrolls® Online,80.65%,"394,490","20,792","49,234",306130
19,Rise of the Tomb Raider™,92.63%,"368,952","1,407","44,588",391220
20,Just Survive,58.66%,"362,602",1,"40,335",295110
21,Valheim,94.77%,"361,047","22,161","502,387",892970
22,Baldur's Gate 3,86.61%,"353,419","2,279","73,980",1086940
23,Kingdom Come: Deliverance,80.72%,"348,750","2,424","96,069",379430
24,Total War: WARHAMMER,76.75%,"323,369",806,"113,019",364360
25,Assassin's Creed® Origins,84.92%,"310,838",891,"41,551",582160
26,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,765","287,411",72850
27,Undertale,95.23%,"307,354",867,"10,484",391540
28,Just Cause™ 3,79.83%,"302,613","1,724","23,459",225540
29,Darkest Dungeon®,89.51%,"302,542","4,276","19,357",262060
30,Elite Dangerous,76.49%,"294,215","4,773","28,923",359320
31,SCUM,72.18%,"294,185","10,338","68,322",513710
32,Middle-earth™: Shadow of War™,85.06%,"290,587","2,264","68,183",356190
33,Borderlands 2,92.54%,"287,122","3,811","124,678",49520
34,XCOM® 2,83.18%,"285,411","5,640","133,022",268500
35,Assassin's Creed® Odyssey,87.59%,"277,672","3,051","62,069",812140
36,Conan Exiles,77.48%,"277,541","9,491","53,402",440900
37,Far Cry® 4,80.87%,"269,607",671,"16,963",298110
38,Minion Masters,90.06%,"265,476",866,"10,329",489520
39,Starbound,91.83%,"259,613","2,259","88,709",211820
40,FOR HONOR™,66.32%,"256,503","4,055","225,831",304390
41,Warface,67.77%,"247,197","2,230","13,867",291480
42,Path of Exile,89.92%,"241,945","37,170","157,103",238960
43,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",566,"29,498",637650
44,SMITE®,79.66%,"230,829","16,952","31,169",386360
46,Grim Dawn,91.74%,"223,388","2,889","61,458",219990
47,Dying Light 2 Stay Human,-,"222,355",0,34,534380
48,Borderlands: The Pre-Sequel,79.47%,"219,143",532,"68,238",261640
49,Osiris: New Dawn,59.94%,"217,665",143,"4,773",402710
50,Life is Feudal: Your Own,65.03%,"217,116",473,"7,896",290080
51,Mad Max,89.84%,"215,925",629,"33,356",234140
52,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",529,"48,668",241930
53,Ori and the Blind Forest,93.70%,"213,863",111,"13,108",261570
54,PlanetSide 2,80.97%,"212,979","2,581","29,676",218230
55,Warhammer: End Times - Vermintide,78.35%,"211,417",105,"24,700",235540
56,Hades,97.40%,"211,213","5,856","37,749",1145360
57,BIOMUTANT,67.29%,"210,413",263,"55,048",597820
58,Kenshi,92.95%,"204,091","2,974","10,579",233860
59,Far Cry® Primal,81.41%,"203,247",263,"14,783",371660
60,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","3,080","56,557",1151640
61,Wolcen: Lords of Mayhem,55.62%,"192,095",899,"127,542",424370
62,Dragon's Dogma: Dark Arisen,87.84%,"189,412",715,"27,368",367500
63,Grounded,84.80%,"186,347","2,212","32,012",962130
64,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,833","12,106",335300
65,Project Zomboid,88.24%,"185,227","5,709","7,191",108600
66,Slay the Spire,96.40%,"178,205","7,398","33,086",646570
67,Crusader Kings III,91.87%,"178,033","13,266","98,872",1158310
68,My Time At Portia,91.04%,"176,513","1,097","13,299",666140
69,Tomb Raider,95.16%,"175,016","1,062","89,538",203160
70,Subverse,80.55%,"174,461",56,"25,318",1034140
71,Assassin's Creed® Unity,71.33%,"172,839",293,"12,180",289650
72,Tabletop Simulator,94.38%,"171,957","5,841","37,198",286160
73,ENDLESS™ Space 2,81.03%,"171,909","1,052","53,435",392110
74,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",923,"46,550",1172380
75,鬼谷八荒,86.35%,"170,182","1,420","184,171",1468810
76,Remnant: From the Ashes,83.26%,"169,449",706,"48,289",617290
77,Medieval Dynasty,89.44%,"169,428","2,151","18,738",1129580
78,Break the G̵amè̢̢͘,72.17%,"169,159",1,165,739540
79,The Outer Worlds,83.86%,"168,639","1,247","20,349",578650
80,Portal Knights,81.02%,"168,215",197,"6,545",374040
81,Mount & Blade: Warband,96.34%,"167,408","3,826","33,054",48700
82,RAID: World War II,51.11%,"166,893",3,"1,530",414740
83,ATLAS,46.77%,"166,019","1,275","58,939",834910
84,Disco Elysium - The Final Cut,92.42%,"163,866","1,728","8,081",632470
85,GreedFall,77.26%,"162,378",325,"16,345",606880
86,Prey,88.44%,"161,647",636,"24,594",480490
87,Robocraft,71.96%,"160,068",319,"26,725",301520
88,The Wild Eight,69.82%,"159,714",296,"1,707",526160
89,Pillars of Eternity,85.98%,"158,922",750,"41,906",291650
90,Steam Link,74.56%,"157,964",1,22,353380
91,ELEX,73.17%,"157,235",733,"22,969",411300
92,CODE VEIN,86.15%,"151,661",549,"33,895",678960
93,Dark and Light,54.24%,"151,382",239,"14,089",529180
94,Craftopia,78.93%,"149,269",435,"27,246",1307550
95,The Isle,81.26%,"148,944","4,494","11,973",376210
96,Borderlands 3,82.52%,"148,669","7,504","93,820",397540
97,ENDLESS™ Legend,82.56%,"147,291",331,"10,468",289130
98,Vampyr,74.29%,"146,859",175,"16,120",427290
99,Castle Crashers®,94.63%,"146,567",555,"16,013",204360
