,Name,Rating,Followers,Online,Peak,id
0,Descenders,91.14%,"22,498",353,"1,563",681280
1,RIDE 3,79.20%,"16,735",100,"1,080",759740
2,RIDE 4,72.26%,"14,228",349,"1,820",1259980
3,Lonely Mountains: Downhill,87.69%,"12,639",16,230,711540
4,Ride 2,83.11%,"12,317",17,638,477770
5,Trials® Rising,62.78%,"9,340",34,"1,760",641080
7,RIDE,74.51%,"9,007",26,598,345660
8,MotoGP™20,85.33%,"7,227",129,"1,660",1161490
9,PIPE by BMX Streets,89.95%,"5,937",86,439,815780
10,MX vs. ATV Reflex,81.86%,"4,719",27,429,55140
11,Steel Rats™,58.90%,"4,197",8,862,619700
12,MotoGP™15,73.74%,"3,853",10,276,355130
13,MXGP3 - The Official Motocross Videogame,80.59%,"3,759",7,504,561600
14,MXGP - The Official Motocross Videogame,75.02%,"3,727",7,639,256370
15,Bike Rush,48.85%,"3,359",0,12,641910
16,Monster Energy Supercross - The Official Videogame,75.98%,"3,002",3,611,711750
17,MotoGP™17,72.15%,"2,728",9,429,561610
18,Trials Evolution: Gold Edition,74.87%,"2,587",6,"4,318",220160
19,SEASON,-,"2,552",0,11,695330
20,V-Racer Hoverbike,82.50%,"2,383",0,12,668430
21,MotoGP™13,71.93%,"1,585",4,255,240600
22,MotoGP™14,51.82%,"1,368",2,151,256390
23,BMX The Game,65.68%,"1,210",6,112,987150
25,Super Night Riders,79.25%,"1,175",0,7,444000
26,Urban Trial Freestyle,78.48%,"1,161",0,310,243450
27,Speed Limit,82.83%,"1,034",0,14,1058280
29,Motorcycle Club,33.55%,785,0,51,303830
30,MotoGP™15 Compact,60.44%,691,4,19,403880
31,Quantum Project,66.76%,690,0,2,1510090
32,Pumped BMX +,75.03%,668,0,32,392070
33,Neon Seoul: Outrun,72.48%,640,0,7,756700
34,Shred! Downhill Mountain Biking,54.67%,627,0,21,381590
35,Minit Fun Racer,85.35%,570,0,36,1503530
36,Shred! 2 - ft Sam Pilgrim,77.91%,512,3,24,853200
37,Motorbike,60.65%,498,1,12,343120
38,Hyperun,81.40%,497,0,26,565390
39,Hell Road VR,74.44%,488,1,6,1389610
40,FutureGrind,83.34%,483,0,11,355820
41,Tour de France 2021,65.65%,449,52,162,1454050
42,Simson Tuningwerkstatt 3D,87.50%,439,10,40,956240
43,Road Rage,41.93%,429,0,6,499210
44,King Of Dirt,51.10%,346,0,6,588750
46,Pumped BMX Pro,71.15%,302,0,18,966720
47,Bare Boob Brawlerz Visual Novel: Vol 1,40.40%,288,0,2,906560
48,Road Scars: Origins,65.87%,238,0,982,346500
49,Ducati World Championship,45.78%,231,0,13,6270
50,Bike of the Wild,41.67%,174,0,5,745180
51,MTB Dirt,75.10%,154,2,9,1639730
52,Bike Dash Excite!,50.00%,147,0,6,891200
53,Urban Trial Tricky™ Deluxe Edition,52.78%,138,1,5,1380060
54,Speedway Challenge 20,75.77%,108,2,37,1393930
56,WREN,59.42%,88,0,2,1101960
58,Speedway Challenge 2019,71.25%,75,0,13,1125900
59,Game Localization,33.24%,58,0,2,1438940
60,SOL Cycling,64.08%,56,0,5,1431340
61,Racing Bike Fight (Corona Virus Lockdown Special),67.20%,55,0,50,1220080
63,Athletics 3: Summer Sports,40.03%,53,1,8,1648580
64,Educational Games for Kids,71.55%,48,3,12,1387560
65,Cyclemania,67.06%,43,0,2,1471680
66,Hero Express,72.22%,43,0,3,1080630
67,Moto Racing 3D,35.22%,43,0,4,819080
68,Bow & Crystal Tower Defense,59.42%,35,0,1,1537940
69,skidlocked,73.26%,35,0,3,1163570
70,Scooter Delivery VR,62.51%,33,0,1,1060980
71,Highway of death,58.21%,31,0,2,991230
72,Bikerz,44.31%,29,0,1,1092580
73,VR Bike Tour/Exercise in 22nd Century World,45.83%,28,0,1,1493000
74,Aran's Bike Trip,64.08%,19,0,1,1711690
75,LSDriver 1+2 (Remastered Collection),35.92%,19,0,2,1592810
77,Wheelie King Online,69.44%,15,0,6,1542100
78,Click and Relax,40.58%,14,0,1,1537960
79,Race Project,55.69%,13,0,4,1280590
85,RIDE 4 - Japanese Bikes Pack,70.84%,-,-,-,1365060
