,Name,Rating,Followers,Online,Peak,id
0,Root,89.06%,"15,026",76,496,965580
1,Shadowhand: RPG Card Game,78.18%,"4,344",7,231,427490
2,The Far Kingdoms: Forgotten Relics,74.19%,"2,742",1,3,1608200
3,The Solitaire Conspiracy,86.13%,"2,080",0,189,1424980
4,Ancient Enemy,86.01%,"2,041",8,177,993790
5,Mystic Vale,83.90%,"1,674",5,58,908070
7,Sexy Jigsaw | 性感拼图 | 섹시 퍼즐 | セクシーなパズル,77.32%,"1,580",1,49,920520
8,Solitairica,78.43%,"1,566",3,56,463980
9,Last Farewell,70.81%,"1,456",0,22,1234240
10,Catyph: The Kunci Experiment,65.51%,"1,452",0,8,396870
11,Faerie Solitaire,87.11%,"1,250",1,"2,389",38600
12,Khet 2.0,81.10%,"1,237",0,902,312720
14,Super Jigsaw Puzzle: Generations,87.45%,"1,081",122,221,1036950
17,NERTS! Online,89.00%,924,9,369,1131190
18,Egyptian Senet,72.79%,908,0,32,391580
19,Sudoku Zenkai,83.07%,892,4,121,809850
20,Regency Solitaire,87.81%,871,8,265,351090
21,Deca,79.65%,717,3,7,960030
22,Brave Hand,73.19%,716,0,9,763340
23,Fine Sweeper,81.72%,678,2,103,367000
24,FreeCell Quest,68.07%,667,4,228,364640
25,Tsuro - The Game of The Path,82.84%,645,1,30,1397470
26,Shephy,71.48%,619,0,42,651340
27,Faerie Solitaire Harvest,77.11%,599,2,47,348910
30,Myha: Return to the Lost Island,76.65%,528,1,10,890280
31,Tested on Humans: Escape Room,83.26%,514,3,69,1483780
32,Lovely Goddess,70.57%,510,0,4,1280730
33,Faerie Solitaire Dire,69.85%,453,3,17,556530
34,Island Farmer - Jigsaw Puzzle,84.13%,441,2,22,1564560
35,Last Resort Island,80.50%,420,2,16,820910
36,Klondike & Girls,54.65%,388,0,7,969870
37,Railroad Ink Challenge,64.73%,355,3,35,1592740
38,Cat Lady - The Card Game,87.05%,352,0,16,869690
39,Legends of Solitaire: Curse of the Dragons,76.87%,343,0,68,399040
40,开心扑克Happy Poker,81.14%,299,16,46,1501360
41,Instant Farmer - Logic Puzzle,85.88%,297,1,21,1399670
42,Comrades and Barons: Solitaire of Bloody 1919,75.82%,276,1,6,787710
43,Faerie Solitaire Remastered,82.36%,253,11,69,583930
44,Blackjack of Strip,44.10%,241,8,53,945700
45,Kitrinos: Inside the Cube,71.49%,240,0,11,890300
46,Roll,82.95%,227,6,52,1585910
47,孑游列国,68.00%,225,0,8,1670310
48,Fantasy Quest Solitaire,76.83%,222,2,12,755950
49,Staff Only,76.58%,201,0,3,1440350
50,Solitaire Forever II,78.43%,198,30,66,1213670
51,Creature Card Idle,63.76%,198,0,66,1188260
52,Fantasy Strip Poker & Blackjack,64.08%,197,0,4,1603220
53,The Forgotten Land,62.88%,195,1,14,1099460
55,Forgotten Tales: Day of the Dead,63.42%,184,0,93,453770
56,The chronicles of Emerland. Solitaire.,70.61%,178,3,951,389400
57,Chef Solitaire: USA,78.97%,175,0,149,432190
58,Bunny Mahjo,79.83%,174,0,5,968470
59,Dissembler,80.19%,172,1,6,797620
60,Avalon Legends Solitaire 2,74.14%,172,3,15,512260
61,CasinoLife Poker - #1 Free Texas Holdem 3D,63.44%,170,7,27,1285210
62,Boinihi: The Ki Codex,73.45%,165,1,4,1298050
63,How Buddy’s parents met - a jigsaw puzzle tale,84.74%,161,2,13,1233540
64,Zombie Solitaire 2 Chapter 1,67.65%,159,0,17,623160
65,Snow White Solitaire. Charmed Kingdom,76.09%,152,0,10,768290
66,Zombie Solitaire,66.77%,147,0,153,311850
67,Zombie Solitaire 2 Chapter 3,75.12%,143,2,10,623180
68,BlackJack Math,79.89%,142,0,7,1341220
69,Lucky and a life worth living - a jigsaw puzzle tale,85.42%,141,0,16,1309130
70,Guardians of Greyrock,46.02%,140,0,5,1217550
71,Jewel Match Twilight Solitaire,81.55%,138,2,15,918670
72,Zombie Solitaire 2 Chapter 2,77.43%,135,1,11,623170
73,Loneliness,76.83%,133,0,7,1524790
74,Jewel Match Solitaire,80.34%,133,7,27,886070
75,The Answer Is 42,83.19%,130,0,21,1199660
76,AuroraBound Deluxe,79.71%,125,1,5,724640
77,正宗台湾十六张麻将3,65.93%,121,10,27,1508670
78,Hentai Jigsaw Photo Studio: Fruit Girls,56.05%,121,0,8,1504460
79,Interplay Solitaire,46.02%,121,0,7,630690
80,Castle Itter - The Strangest Battle of WWII,59.42%,117,0,4,1568240
81,Card Games Mega Collection,51.44%,112,10,37,843870
82,Gridiron Solitaire,70.64%,112,0,68,266270
83,Jewel Match Solitaire Winterscapes,81.63%,109,1,18,993780
85,正宗台灣十六張麻將2,77.41%,105,4,45,1508660
86,Mini Tone - Minimalist Puzzle,76.92%,103,0,6,1099960
87,Solitaire Beach Season,60.35%,100,2,"1,110",528070
88,DragonClash,59.60%,99,0,4,1126300
89,Encore Classic Card Games,73.89%,97,3,19,1246930
90,Hextones,83.19%,96,0,7,1570750
91,2048 art,50.00%,96,0,3,1348600
92,CHACAL,67.93%,93,0,2,1528370
93,Book of the Old,70.84%,92,0,7,1544480
94,正宗台灣十六張麻將,71.55%,92,2,29,1508650
95,Puzzle Car,82.22%,89,0,6,1547340
96,Atlantic Quest 2 - New Adventure -,64.07%,89,2,23,412530
97,Poker Master,81.18%,88,7,19,994910
98,Feudalia,73.26%,86,0,4,1550680
99,Slide Stories: Neko's Journey,84.60%,86,0,8,1346250
