,Name,Rating,Followers,Online,Peak,id
0,Horizon Zero Dawn™ Complete Edition,81.46%,"195,684","3,527","56,557",1151640
1,The Lab,91.71%,"25,370",58,927,450390
2,Swords & Souls: Neverseen,88.82%,"21,893",121,"2,137",679900
3,TowerFall Ascension,90.60%,"16,335",13,355,251470
4,Enderal: Forgotten Stories (Special Edition),88.20%,"14,188",487,"2,428",976620
5,Dark Fantasy Warriors,58.49%,"8,218",0,3,1488820
6,In Death,82.32%,"6,521",1,70,605450
8,Apex Construct,67.10%,"4,917",0,27,694090
10,QuiVr,84.24%,"4,013",1,68,489380
11,The Viking Way,50.94%,"4,004",0,95,1377540
12,Dread Templar,75.71%,"3,589",67,67,1334730
13,Holopoint,84.17%,"3,440",0,67,457960
15,Elven Assassin,81.04%,"2,796",181,426,503770
16,Unknightly,77.71%,"2,091",0,10,726250
18,Nasty Rogue,74.18%,"1,081",0,15,1207880
19,Grapple Tournament,84.34%,"1,042",0,32,1384320
20,Sherwood Extreme,73.55%,993,7,90,1340180
21,VR SUPER SPORTS,58.87%,964,3,27,593240
22,Vengeful Rites,86.45%,933,3,13,755410
24,All-In-One Sports VR,67.13%,870,12,30,1514840
25,Shades of Rayna,74.34%,833,3,57,1569820
26,qb,67.48%,731,0,14,601400
27,Tropicalia,81.00%,725,0,14,1375760
28,Age Of Omens,68.15%,706,0,5,1016660
30,Dark Water : Slime Invader,85.40%,596,0,29,1235830
32,ScrewUp,79.67%,593,113,153,1695670
33,Riddle of the Sphinx™ The Awakening (Enhanced Edition),81.78%,582,1,18,1521870
34,Child Of Ault,71.70%,569,0,55,566270
36,Twisted Arrow,78.76%,494,0,13,494960
37,Light Tracer 2 ~The Two Worlds~,65.86%,474,0,8,1085930
38,Lovely Planet Arcade,70.35%,468,0,36,436000
39,Phobos,66.99%,456,5,114,1373350
40,Prince Of Wallachia,54.17%,430,0,1,1428030
42,Fightworld,56.60%,388,0,41,849090
43,Sky Sanctuary,76.35%,384,0,5,526130
44,Abyss The Forgotten Past,58.97%,372,0,4,1369980
46,Era of Survival,50.00%,339,0,5,1234380
48,#Archery,61.25%,333,0,7,493790
49,Probably Archery,46.27%,326,0,76,263420
50,Bowslinger,54.07%,324,0,5,459260
53,ADVERSE,79.83%,241,0,6,1295390
54,Midjungard,70.57%,236,0,11,1202410
55,Bound Forest Alpha,68.05%,227,0,30,1354370
56,Uphold The Realm,76.13%,221,0,7,1322370
57,Crystal Raiders VR,63.89%,212,0,7,1270380
58,Queendoom,77.40%,183,0,4,540410
59,Keep Defending,76.13%,180,0,5,527720
60,MarksmanVR,70.33%,177,0,3,636950
63,Arcus,76.13%,154,0,3,1479960
64,Draco Dux,59.42%,152,0,1,460730
65,Hazordhu,74.19%,149,0,11,1509810
66,Retro Classix: Gate of Doom,72.17%,141,0,3,1540430
67,Holopoint: Chronicle,53.00%,141,0,5,718380
68,BARDO,66.33%,140,0,5,939230
69,Tribocalypse VR,65.42%,137,0,4,520510
70,Call Of The Mighty Warriors,54.47%,137,10,"1,277",485440
71,Realms of Eternity,46.68%,128,0,3,1343110
72,QuiVr Vanguard,61.97%,123,1,17,581460
73,Arrowpoint,71.63%,122,0,3,755560
74,Knighted,77.41%,120,0,5,1568480
75,Hentai ヘンタイ - C-GUM VACCINATION,38.03%,113,0,2,1507390
76,Tyrgard Archer VR,65.38%,111,0,3,1335440
80,End of Days,68.15%,107,0,3,694660
81,Breath of Spirits,52.11%,105,0,4,1536000
82,Retro Classix: Wizard Fire,50.00%,102,0,1,1540440
83,Heterodox,59.60%,102,0,2,1420400
85,Archer VR,62.51%,100,0,3,1277900
86,War Of Freedom,63.89%,99,0,2,1574030
88,Paladin Duty - Knights and Blades,34.53%,96,0,3,800310
90,The treasure of civilization,50.00%,91,0,5,1594570
91,Viking Warrior,26.81%,91,0,3,1509640
93,The Last King's Archer,82.04%,89,0,8,1410260
94,BattleStick 2,46.41%,88,0,13,1402460
95,INCARNA: R•AI•D,74.00%,87,0,3,1538600
96,Osman Gazi,69.07%,84,0,4,1408700
97,Arc Wizards 3,63.06%,83,0,4,1504660
98,Fruit Hunter,68.41%,79,0,7,1605580
99,PlanTechtor,77.41%,75,0,5,560600
