,Name,Rating,Followers,Online,Peak,id
0,Project Winter,82.04%,"90,175",214,"38,794",774861
1,Eternal Return,81.98%,"54,527","2,203","52,853",1049590
2,Visage,85.00%,"45,047",103,"1,178",594330
3,Niche - a genetics survival game,83.61%,"43,622",70,"1,046",440650
4,The Beginner's Guide,84.89%,"36,254",11,947,303210
5,Gorogoa,94.28%,"34,581",3,813,557600
6,Everything,80.33%,"32,652",11,629,582270
7,Heliborne Collection,72.43%,"31,117",22,"1,349",433530
8,Her Story,87.00%,"25,505",6,663,368370
9,Kentucky Route Zero: PC Edition,78.17%,"22,688",13,431,231200
10,Human Resource Machine,90.12%,"21,347",18,778,375820
11,Draw & Guess,83.34%,"19,037","1,041","41,766",1483870
12,Comedy Night,73.93%,"18,753",19,"1,122",665360
13,Pony Island,92.71%,"17,716",8,374,405640
14,THE LONGING,88.86%,"17,683",65,"1,063",893850
15,Radio Commander,73.95%,"16,188",7,660,871530
16,Coffee Talk,91.00%,"15,749",16,412,914800
17,Manifold Garden,91.77%,"15,596",16,326,473950
18,Cosmonautica,48.88%,"14,753",0,849,320340
19,Mountain,86.25%,"13,482",126,"1,667",313340
20,Kind Words (lo fi chill beats to write to),94.79%,"13,397",24,362,1070710
22,Merchant of the Skies,83.98%,"12,030",11,625,1040070
23,"Species: Artificial Life, Real Evolution",69.08%,"11,802",9,257,774541
24,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",90.73%,"11,564",6,815,409160
25,Yume Nikki,89.39%,"10,855",26,469,650700
26,SUPERHOT: MIND CONTROL DELETE,83.23%,"10,634",52,"3,746",690040
27,In Other Waters,84.99%,"10,249",3,166,890720
28,Dear Esther,73.78%,"9,751",1,"1,184",203810
29,Animaze by FaceRig,53.01%,"9,302",255,664,1364390
31,PLAYNE : The Meditation Game,90.49%,"8,737",15,38,865540
32,Summer~Life in the Countryside~,69.26%,"8,508",2,223,1508570
33,The Shrouded Isle,68.36%,"8,362",9,226,501320
35,Cloud Gardens,91.25%,"8,123",4,286,1372320
36,She Sees Red - Interactive Movie,75.66%,"7,750",0,155,1081510
38,Muffled Warfare - Echolocation Shooter,76.05%,"7,540",0,23,545180
39,The Plan,90.15%,"7,445",15,298,250600
40,Scavenger SV-4,81.59%,"6,760",2,31,779590
41,Helen's Mysterious Castle,87.83%,"6,659",0,32,418190
42,Elegy for a Dead World,62.19%,"6,296",0,48,252290
43,Uplink,87.01%,"6,249",10,538,1510
44,Tengami,77.54%,"6,048",0,58,299680
45,Occupy White Walls,88.12%,"5,898",21,163,876160
48,Virtual Cottage,93.78%,"5,554",185,"1,801",1369320
49,Drone Swarm,65.28%,"5,514",0,342,401760
50,Sumoman,76.58%,"5,252",0,28,552970
52,Spinnortality | cyberpunk management sim,74.17%,"4,884",3,426,822990
53,Wandersong,91.80%,"4,865",10,226,530320
54,Big Bia,84.87%,"4,690",3,"1,840",585020
55,Mushroom 11,78.03%,"4,682",0,184,243160
56,Fugl,77.03%,"4,536",0,18,643810
58,A Raven Monologue,90.08%,"4,327",1,34,744810
60,Proteus,72.07%,"4,148",1,286,219680
61,Modbox,80.87%,"4,099",2,30,414120
62,OBEY,79.80%,"4,089",5,106,346970
63,Doodle God,73.15%,"4,057",42,812,348360
64,The Metronomicon: Slay The Dance Floor,80.68%,"4,020",0,85,416790
65,The Franz Kafka Videogame,64.22%,"3,903",2,37,392280
66,Elbub,60.90%,"3,874",0,11,757860
67,Among Ripples,66.59%,"3,585",1,366,341720
68,SIMULACRA 2,82.18%,"3,583",12,318,1011190
69,Motesolo : No Girlfriend Since Birth,81.17%,"3,508",4,367,1414180
70,The Path,72.29%,"3,493",0,83,27000
71,Titan Chaser,79.09%,"3,418",0,14,1290170
72,Minds Eyes,68.54%,"3,379",8,192,519140
73,Knock Harder,88.35%,"3,363",0,36,1216490
74,Nauticrawl,86.49%,"3,358",0,49,922100
75,Wave Beta,86.56%,"3,276",0,482,453000
76,Color Symphony,70.88%,"3,272",0,167,317410
77,Wobbledogs,92.07%,"3,254",81,304,1424330
78,Stifled - Echolocation Horror Mystery,69.97%,"3,234",2,25,514830
79,Doorways: Old Prototype,80.61%,"3,184",1,71,525780
80,Metro Simulator,70.80%,"3,160",8,347,994890
82,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,82.24%,"3,121",2,993,214830
83,Umurangi Generation,87.47%,"3,078",4,47,1223500
84,how do you Do It?,81.34%,"3,052",4,170,353360
85,Dominatrix Simulator: Threshold,77.44%,"3,038",0,17,953270
86,Lucifer Within Us,71.80%,"3,032",2,90,717560
87,Valgrave: Immortal Plains,79.21%,"3,031",3,168,1076500
88,PUSS!,83.47%,"2,934",0,93,719750
89,AltspaceVR,70.21%,"2,913",10,736,407060
90,Reflections,53.93%,"2,911",0,18,352360
91,Circa Infinity,85.14%,"2,881",0,13,390610
92,D'LIRIUM,89.17%,"2,823",0,80,670160
93,The Rain Spirit : Code Breaker,-,"2,814",0,1,582860
94,McPixel,80.91%,"2,791",0,"2,311",220860
95,Vapour,42.62%,"2,789",2,"1,015",345440
96,A Mortician's Tale,65.02%,"2,764",0,57,578720
97,Future Unfolding,76.80%,"2,729",1,28,539340
98,FISHERY,80.87%,"2,727",2,25,809730
99,Discouraged Workers,59.11%,"2,682",1,242,371120
