,Name,Rating,Followers,Online,Peak,id
0,Sven Co-op,90.85%,"51,196",501,"6,572",225840
1,Phoenix Wright: Ace Attorney Trilogy,94.79%,"45,052",397,"3,611",787480
2,Hobo: Tough Life,76.78%,"43,863",158,"2,254",632300
3,Star Control®: Origins,69.84%,"38,920",16,"2,601",271260
4,Moon Hunters,76.40%,"38,819",48,324,320040
5,Doki Doki Literature Club Plus!,93.01%,"35,553",343,"8,662",1388880
6,A Way Out,87.71%,"32,633",576,"2,131",1222700
7,The Sinking City,54.68%,"28,930",17,298,750130
8,Star Renegades,81.85%,"26,405",37,"1,785",651670
9,Gal*Gun: Double Peace,82.80%,"25,662",3,218,511740
10,Her Story,87.00%,"25,505",7,663,368370
11,Colony Ship: A Post-Earth Role Playing Game,78.99%,"25,133",11,380,648410
12,Tell Me Why,81.98%,"23,299",132,"2,784",1180660
13,Firework,95.62%,"19,481",4,"3,746",1288310
14,Comedy Night,73.93%,"18,753",23,"1,122",665360
15,Shin Megami Tensei III Nocturne HD Remaster,82.71%,"18,719",120,"1,906",1413480
16,Coffee Talk,91.00%,"15,749",16,412,914800
18,Enderal: Forgotten Stories (Special Edition),88.18%,"14,172",466,"2,428",976620
19,The Great Ace Attorney Chronicles,89.46%,"13,818","1,127","2,523",1158850
20,Hardland,69.42%,"13,479",1,89,321980
21,Riddle Joker,93.90%,"12,055",45,724,1277930
22,College Kings - Act I,89.56%,"11,967",222,"1,642",1463120
24,City of Gangsters,64.70%,"10,697",401,"1,184",1386780
25,Neo Cab,80.95%,"10,149",8,157,794540
26,Death and Taxes,85.88%,"9,661",14,632,1166290
27,Poker Night at the Inventory,86.08%,"9,408",16,"10,146",31280
28,Hunt and Snare,76.38%,"9,327",8,60,944330
29,Bigscreen Beta,83.31%,"8,908",87,315,457550
30,UNBEATABLE [white label],92.22%,"8,775",30,528,1290490
31,Emily is Away <3,90.59%,"8,709",56,882,978460
32,Interstellaria,55.68%,"8,465",0,952,280360
33,Prison Simulator Prologue,86.46%,"8,412",34,"1,016",1431610
34,The Dream Machine: Chapter 1 & 2,84.46%,"8,378",9,864,94300
35,Observer: System Redux,84.01%,"7,605",4,253,1386900
38,Chicken Police - Paint it RED!,90.84%,"6,545",4,164,1084640
39,BoneTown: The Second Coming Edition,74.78%,"6,519",35,446,288080
40,The Walking Dead: The Telltale Definitive Series,89.04%,"6,227",158,410,1449690
41,Friendship with Benefits,90.80%,"5,881",17,272,1299370
44,No Longer Home,78.57%,"4,991",3,21,651490
45,Lacuna – A Sci-Fi Noir Adventure,87.98%,"4,943",5,168,1364100
46,Noob - Les Sans-Factions,83.53%,"4,906",86,"1,496",1623880
47,Transient,63.86%,"4,811",2,67,962630
49,Escort Simulator,59.49%,"4,536",0,23,1347800
50,The Life and Suffering of Sir Brante — Chapter 1&2,92.70%,"4,523",5,246,1460090
51,A Sky Full of Stars 仰望夜空的星辰,88.60%,"4,418",5,73,745960
52,1bitHeart,86.48%,"4,240",4,47,618720
53,Tangle Tower,90.01%,"4,219",16,84,359510
55,Her New Memory - Hentai Simulator,90.95%,"4,173",44,151,1296770
56,Sam & Max Save the World,81.99%,"4,171",31,359,1440440
57,The Emperor's Own: Alpha Teaser,75.41%,"4,009",0,35,1364800
58,The Viking Way,50.94%,"4,005",0,95,1377540
59,hack_me,60.08%,"3,981",0,"1,589",526740
60,Headliner: NoviNews,85.57%,"3,893",1,198,918820
61,Gal*Gun Returns,78.32%,"3,875",1,112,1425730
62,AO Tennis 2,66.76%,"3,840",37,435,1072500
63,Sepia Tears,83.54%,"3,734",0,102,429300
64,Detective Di: The Silk Rose Murders,85.58%,"3,706",0,140,792040
65,Ashwalkers,76.53%,"3,626",0,75,1273690
66,SIMULACRA 2,82.18%,"3,583",11,318,1011190
67,Motesolo : No Girlfriend Since Birth,81.17%,"3,508",3,367,1414180
68,Five Dates,84.57%,"3,401",8,257,1353270
69,Strangeland,87.39%,"3,286",1,115,1369520
70,Darkestville Castle,85.99%,"3,271",0,29,689900
71,Wytchwood,-,"3,192",0,1,729000
72,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
73,GAI Stops Auto: Right Version Simulator,79.42%,"3,139",0,25,1594400
74,Goose Goose Duck,85.60%,"3,091",478,907,1568590
76,Sakura Succubus 3,80.03%,"2,813",8,37,1406020
77,Bad Memories,78.76%,"2,742",7,54,1595030
78,墨心：波云诡船,86.35%,"2,684",1,314,1424720
79,Paradise Lust,81.42%,"2,676",7,83,1427860
80,Falcon Age,69.77%,"2,662",3,80,1075080
81,Sensual Adventures - The Game,67.55%,"2,642",0,51,1525600
82,My New Memories,74.11%,"2,631",21,89,1637070
83,Red Comrades Save the Galaxy: Reloaded,86.70%,"2,628",3,227,415610
84,Angel Wings,82.28%,"2,617",1,187,862440
86,CINERIS SOMNIA,72.81%,"2,578",0,22,752470
87,他人世界末 On-looker,88.57%,"2,572",2,233,1225780
88,Murder by Numbers,83.02%,"2,544",9,319,1140290
89,Smile For Me,92.32%,"2,326",6,102,1018850
90,Lewd Island - Season 1,66.77%,"2,319",6,68,1498120
93,Overboard!,84.00%,"2,232",20,93,1546920
94,LuvSic,57.52%,"2,149",2,253,1562040
95,Adios,90.04%,"2,081",2,42,1271400
96,StopGate,86.51%,"2,074",0,175,1376420
98,Twists of My Life,69.15%,"2,029",14,37,1159520
99,Fears to Fathom - Home Alone,82.41%,"2,022",24,112,1671340
