,Name,Rating,Followers,Online,Peak,id
0,CS:GO Player Profiles,88.80%,"355,650",0,193,413850
1,Empires of the Undergrowth,91.37%,"47,793",249,989,463530
2,Free to Play,92.36%,"25,355",0,"53,002",245550
3,Dota 2 Player Profiles,86.64%,"18,778",0,93,411180
4,"That Dragon, Cancer",85.79%,"14,633",1,165,419460
5,True Sight,87.46%,"6,521",0,229,539730
6,Metal Gear Solid Legacy,82.74%,"5,244",0,501,393360
7,Over the Dream,89.41%,"4,473",0,"2,130",406210
8,Half-Life: Alyx - Final Hours,89.25%,"4,012",2,955,1361700
9,KURSK,47.06%,"3,671",5,110,860620
10,Portal 2 - The Final Hours,76.17%,"2,453",0,450,104600
11,Titanfall - The Final Hours,36.64%,"2,271",0,33,292060
12,GameLoading: Rise of the Indies,75.46%,"2,211",0,10,357460
13,Indie Game: The Movie,88.02%,"1,938",0,"1,114",207080
14,OVERVIEW (A Walk Through The Universe),67.68%,"1,890",0,15,751110
15,Branching Paths,81.18%,"1,574",0,43,494680
16,Thank You For Playing,83.14%,"1,305",0,13,433500
17,COVID: The Outbreak,67.55%,"1,284",3,31,1287000
18,Super Game Jam,75.29%,"1,255",0,48,288290
19,Wanderlust: Travel Stories,81.57%,"1,175",1,14,1051410
20,The Art of Playing,69.91%,"1,018",0,16,349210
21,Tomb Raider - The Final Hours Digital Book,82.01%,976,0,19,233410
22,The Making of Horizon Zero Dawn,78.13%,962,0,36,804410
23,Total War: THRONES OF BRITANNIA - Rise and Fall of the Anglo-Saxons,82.55%,918,0,15,971720
24,Brukel,77.41%,852,0,8,1073900
25,Steam Dev Days,78.57%,831,0,25,534600
26,Blueplanet VR,73.89%,728,0,7,1264180
27,Making of Furi,75.10%,694,2,143,629150
28,In Search of the Most Dangerous Town on the Internet: Where Cybercrime Goes to Hide,78.14%,649,0,56,452220
29,How To Cope With Boredom and Loneliness,85.31%,620,0,21,797390
30,Zero Point,50.00%,566,0,20,268710
31,In Search of the Most Dangerous Town on the Internet,66.04%,551,0,31,380890
32,Double Fine Adventure,70.99%,529,0,53,402590
33,Noise,58.10%,510,0,8,676760
34,Nude,69.44%,492,0,5,736170
35,World 1-1,85.82%,484,0,72,357410
36,Fechtbuch: The Real Swordfighting behind Kingdom Come,86.87%,474,0,42,970070
37,Gaming In Color,72.28%,458,0,4,371240
38,An Alternative Reality: The Football Manager Documentary,81.00%,458,0,80,357470
39,A Crashlands Story: Dev Diary,81.46%,387,0,11,578300
40,Arma 3 Tac-Ops AAR,69.91%,375,0,29,758300
41,Why We Ride,73.26%,375,0,3,359080
42,"Unlocked: The World of Games, Revealed",56.05%,363,0,3,553370
43,Surviving Indie,65.74%,345,0,31,413290
44,Deliverance: The Making of Kingdom Come,88.75%,335,0,103,976180
45,Amnesia Fortnight,59.97%,318,1,32,631780
46,The Book of Distance,87.16%,306,0,6,1245640
47,The Blank Canvas - Hacking Nature,75.00%,304,0,4,633140
48,We The Voters,52.42%,302,0,4,519530
49,We are alright,86.81%,301,0,31,794310
50,From Bedrooms to Billions,70.84%,292,0,3,342430
51,The CheckPoint Series,79.71%,268,0,21,772970
52,All Work All Play,62.51%,260,0,18,410660
53,Behind The Schemes,75.64%,259,0,8,520090
54,Naval Legends,77.87%,250,0,10,738640
55,Under the Canopy,56.32%,240,0,12,632280
56,Cosmic Top Secret,74.51%,236,0,4,785100
57,Gaming the Real World,76.13%,224,0,6,528590
58,8-Bit Generation: The Commodore Wars,75.00%,213,0,6,512010
59,Good Game,79.05%,209,0,7,382620
60,Burning Man: Beyond Black Rock,65.86%,207,0,8,393970
61,Red Bull 360,44.31%,206,0,11,663360
62,The Mind of Marlo,83.57%,201,0,5,722870
63,Escalation - A Rainbow Six: Siege series,73.26%,199,0,7,797360
64,Let's Play,50.00%,196,0,2,419600
65,Zero Days VR,63.89%,195,0,4,754930
66,Thank You For Playing: Iconic Video Game Magazines,75.71%,185,0,7,429800
67,The Making of Grim Fandango Remastered,76.90%,183,0,4,347350
68,Stage of Development: Indie City,57.39%,170,0,2,591480
69,Under the Boardwalk: The MONOPOLY Story,54.17%,169,0,3,607090
70,Circle The Wagen,76.25%,168,0,6,382710
71,Indie Games in China/独行,80.00%,167,0,14,825400
72,New Game: documentary movie,75.00%,166,0,6,681040
73,Pixel Poetry,56.32%,165,0,5,371290
74,From Bedrooms to Billions: The Amiga Years,74.19%,158,0,3,551260
75,Us and the Game Industry,59.60%,145,0,2,360290
76,Wanderlust: Bangkok Prelude,78.30%,131,0,4,1306990
77,Code Girl,55.69%,130,0,3,414750
78,The Mechanical Bride,70.84%,130,0,3,413210
79,LUX SINE,66.66%,125,0,4,1229740
80,Men With Beards,72.22%,125,0,5,382680
81,Raiders! : The Story of the Greatest Fan Film Ever Made,59.42%,120,0,3,490130
82,Parliament - Parlement,78.69%,119,0,2,1232920
83,Revolution 25th Anniversary Documentary,75.71%,114,0,4,570370
84,Iverson,72.17%,111,0,2,422550
85,"Not for Broadcast: Lights, Camera, Lockdown",59.42%,110,0,1,1494730
86,Moleman 4 - Longplay (Deluxe Edition),67.06%,109,0,2,720590
87,The Mystery of the Uurnog,67.93%,108,0,4,755200
88,Game Changers,68.15%,102,0,3,437750
89,A Survey of Open Space,78.30%,99,0,5,387470
90,DeathTolls Experience,72.22%,91,0,3,847900
91,Losing LeBron,71.55%,87,0,3,382730
92,AVROD,53.32%,85,0,3,1495350
93,Stripped,-,84,0,1,389090
94,Axiom Verge Making-Of Documentary,69.20%,82,0,5,759240
95,Night Of The Living Dead VR,75.00%,79,0,3,1210910
96,Kedi,64.08%,78,0,2,742980
97,Sex and Broadcasting: a Film About Wfmu,64.08%,78,0,1,530310
98,One Couch at a Time,69.20%,76,0,2,382720
99,Aya: Awakenings,40.03%,75,0,2,382790
