,Name,Rating,Followers,Online,Peak,id
0,ACE COMBAT™ 7: SKIES UNKNOWN,83.66%,"115,217",607,"13,758",502500
1,Thief Simulator,83.68%,"92,726",695,"2,697",704850
2,Half-Life 2,95.97%,"63,099","2,269","13,216",220
3,Half-Life 2: Episode Two,94.60%,"48,642",156,"1,419",420
4,Five Nights at Freddy's,88.74%,"44,781",72,"1,316",319510
5,Half-Life 2: Update,90.28%,"44,517",69,"3,175",290930
6,Half-Life,94.88%,"35,290",479,"6,022",70
7,CHRONO TRIGGER®,83.15%,"29,323",229,846,613830
8,Phoning Home,67.26%,"25,058",2,212,431650
9,ULTRAKILL,96.48%,"22,582",422,"2,065",1229490
10,Dead Space,88.67%,"19,814",242,"2,305",17470
11,Half-Life: Source,72.65%,"19,590",49,629,280
12,The Forgotten City,91.67%,"17,491",156,577,874260
13,Grand Theft Auto III,84.28%,"14,514",229,640,12100
14,Half-Life 2: Episode One,92.96%,"14,355",116,"1,132",380
15,Half-Life 2: Lost Coast,84.91%,"12,769",18,180,340
16,Redeemer: Enhanced Edition,81.60%,"11,655",8,802,447290
17,Yume Nikki,89.39%,"10,860",28,469,650700
18,Treasure Hunter Simulator,62.71%,"9,441",13,330,748300
19,Shio,75.38%,"8,633",6,430,525360
20,Half-Life: Opposing Force,92.49%,"7,545",72,620,50
21,Helen's Mysterious Castle,87.83%,"6,659",0,32,418190
22,Half-Life: Blue Shift,88.48%,"6,080",46,420,130
23,Kero Blaster,88.26%,"5,736",3,211,292500
24,Strange Telephone,76.55%,"4,610",0,102,705290
25,Pharaonic,75.99%,"4,135",0,42,386080
26,Red Wings: Aces of the Sky,70.51%,"3,177",5,"1,114",1140630
27,Roundabout,86.91%,"3,133",0,98,303430
28,A Mortician's Tale,64.99%,"2,762",1,57,578720
29,Construct: Escape the System,69.34%,"2,272",0,20,497080
30,The Witch & The 66 Mushrooms,79.39%,"2,195",1,20,891170
31,Sector Zero,-,"2,091",0,1,348580
32,Etherborn,67.83%,"2,032",1,36,812160
33,Artifact Adventure,68.57%,"2,002",0,38,359440
35,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,59.79%,"1,589",0,18,425460
36,Awareness Rooms,75.80%,"1,552",0,122,453290
37,Steel Sword Story,67.12%,"1,545",0,11,978190
38,Little Big Adventure 2,90.03%,"1,490",10,29,398000
39,Immortal Defense,79.96%,"1,478",0,24,298360
40,Night Lights,80.69%,"1,225",0,9,590850
42,Soulless: Ray Of Hope,70.02%,"1,046",0,475,528300
43,Schein,69.79%,"1,010",0,"1,990",321920
44,Maskmaker,83.41%,819,1,24,1337530
45,Dead,82.16%,680,0,116,527150
46,Gordian Rooms: A curious heritage - A Victorian Escape Room Puzzle Adventure!,84.43%,665,5,32,1285080
47,Pixel: ru²,67.20%,632,0,994,351170
48,Dungeon of Zolthan,73.20%,625,0,"6,356",463220
49,SORE,62.01%,567,0,87,690060
50,Loot Hound™,76.26%,556,0,33,411680
51,Jump Off The Bridge,81.37%,538,3,338,1057780
52,Druid,70.61%,460,5,91,552390
53,Otokomizu～漢水～,75.12%,427,0,15,973440
54,Projector Face,73.38%,413,0,14,431850
55,Super Army of Tentacles 3: The Search for Army of Tentacles 2,65.00%,390,0,759,592200
56,keyg,78.38%,369,0,22,922550
57,QuietMansion2,65.02%,365,0,5,1080130
58,Castle of no Escape,55.26%,362,0,127,635060
59,Drop Hunt - Adventure Puzzle,77.23%,344,1,"2,695",596870
60,TorqueL,71.48%,313,1,7,250070
62,Alpha Version.0,78.69%,295,0,9,359970
63,The Corridor: On Behalf Of The Dead,62.10%,261,0,5,340840
64,Toast Time,70.16%,248,0,96,316660
65,Public Enemy: Revolution Simulator,77.32%,211,0,4,1125870
66,Nullysun,48.16%,186,0,10,732840
67,Fading Visage,26.80%,182,0,3,861180
68,Darkness and a Crowd,44.31%,180,0,3,659780
69,A song in the void,68.97%,173,0,10,746900
70,The Forestale,81.66%,167,0,4,817220
71,"Oh Jeez, Oh No, My Rabbits Are Gone!",81.25%,136,0,7,1199140
72,Widget Satchel,60.76%,133,0,3,890480
73,Samurai Wish,61.95%,133,0,2,877040
74,ERSATZ,73.89%,131,0,3,703720
75,Splinter Zone,75.10%,126,0,3,612160
77,Ashi: Lake of Light,80.30%,118,0,3,819040
78,Lucid Path,71.52%,108,0,3,917910
79,Digital Dungeon,23.66%,105,0,2,855480
80,BluBoy: The Journey Begins,50.00%,99,0,3,1033250
81,The Bad Gravedigger,53.31%,96,0,3,870120
82,Snowballer,55.66%,95,0,45,590790
83,Steampunk Graveyard,45.83%,83,0,2,956430
85,Scenner,35.92%,79,0,2,1090520
86,Dark Maze,41.05%,78,0,4,756420
89,Rocks and Rockets,59.88%,66,0,11,715470
91,Senna and the Forest,78.30%,63,1,4,1113690
92,TAL: Arctic,54.49%,62,0,4,887850
93,TAL: Arctic 3,65.25%,53,0,2,932120
94,Childhood Fears,74.19%,49,0,3,1563550
95,GORILLA TOWN,64.08%,48,0,1,1217560
96,Night Fly,37.04%,42,0,3,781610
97,TUBWT,46.02%,40,0,4,1052310
98,Candy Raid: The Factory,71.55%,40,0,2,868880
