,Name,Rating,Followers,Online,Peak,id
0,Factorio,97.38%,"331,457","13,080","34,700",427520
1,Transport Fever,81.06%,"85,108",362,"12,615",446800
2,Workers & Resources: Soviet Republic,88.88%,"81,995","1,300","3,891",784150
3,Transport Fever 2,84.99%,"74,675","3,791","24,308",1066780
4,Railway Empire,80.12%,"70,475",595,"5,446",503940
5,Train Simulator 2021,66.61%,"63,297","1,241","3,821",24010
6,Factory Town,87.50%,"51,368",107,"2,648",860890
7,Stormworks: Build and Rescue,89.88%,"51,077","1,592","5,746",573090
8,Mini Metro,93.84%,"50,122",338,"2,104",287980
9,Unrailed!,90.33%,"43,294",997,"9,852",1016920
10,The Final Station,83.44%,"41,016",88,"1,284",435530
11,Train Sim World® 2020,75.53%,"36,371",81,"1,933",530070
12,Mashinky,85.81%,"34,210",57,"1,622",598960
13,Pandemic Express - Zombie Escape,57.92%,"28,975",18,897,939510
14,Sunless Skies: Sovereign Edition,82.15%,"28,916",65,"2,344",596970
15,Monster Train,94.05%,"27,121",882,"14,073",1102190
16,Voxel Tycoon,82.37%,"26,248",99,"1,728",732050
17,Automation Empire,67.02%,"23,816",59,"4,721",1112790
18,Kubifaktorium,75.05%,"20,600",13,240,898720
19,Train Valley,85.94%,"19,772",23,"1,000",353640
20,Maitetsu:Pure Station,92.69%,"18,941",14,339,880950
21,Train Sim World® 2,80.62%,"17,774",627,"3,086",1282590
22,Train Fever,62.62%,"17,649",22,"3,406",304730
23,Overcrowd: A Commute 'Em Up,81.31%,"17,076",21,808,726110
24,Railroad Corporation,70.58%,"16,121",48,306,797400
25,Bounty Train,67.57%,"14,704",29,602,371520
26,Train Valley 2,86.70%,"13,606",144,448,602320
27,OpenTTD,90.95%,"12,720",421,"3,254",1536610
28,Train Station Renovation,78.68%,"10,624",41,"1,921",914010
29,Derail Valley,88.70%,"10,233",41,"1,159",588030
30,NIMBY Rails,85.52%,"9,671",178,834,1134710
32,Tracks - The Train Set Game,88.04%,"8,056",17,83,657240
33,Cities in Motion 2,56.37%,"8,041",33,"1,783",225420
35,Transport INC,72.85%,"7,528",13,496,936500
36,Ticket to Ride,86.47%,"6,898",324,"2,164",108200
37,Zompiercer,80.41%,"6,297",33,68,1262460
38,Trainz: A New Era,69.21%,"6,044",137,303,315660
39,Rail Route,86.01%,"5,833",180,461,1124180
40,Train Mechanic Simulator 2017,63.86%,"5,533",1,330,538810
41,Trainz Railroad Simulator 2019,67.17%,"5,368",341,495,553520
42,Train Station Simulator,59.94%,"4,700",2,49,738610
43,Cities in Motion,73.93%,"4,648",19,"1,170",73010
44,Metro Sim Hustle,76.47%,"4,584",10,84,882250
45,Rolling Line,90.18%,"4,475",41,96,754150
46,STATIONflow,81.69%,"4,134",9,306,1122120
47,TramSim,76.19%,"3,987",50,713,1314140
48,Simutrans,71.79%,"3,822",25,199,434520
49,Sid Meier's Railroads!,67.38%,"3,452",97,"1,008",7600
50,Maitetsu,86.88%,"3,426",2,37,714800
51,Metro Simulator,70.67%,"3,187",24,347,994890
52,Tiny Rails,70.19%,"2,951",7,153,614630
53,Trainz™ Simulator 12,66.39%,"2,795",76,245,24670
54,Steam: Rails to Riches,72.83%,"2,790",1,37,595930
55,Transports,64.29%,"2,776",2,80,659920
56,Train Station Renovation - First Job,81.46%,"2,722",8,311,1281080
57,A-Train PC Classic / みんなのA列車で行こうPC,73.11%,"2,700",68,311,492090
58,Diesel Railcar Simulator,86.05%,"2,139",5,37,750170
59,Chris Sawyer's Locomotion™,78.20%,"2,018",8,61,356430
60,铁道物语：陆王（Railway Saga:Land King）,75.94%,"1,955",13,255,955170
61,A-Train 9 V4.0 : Japan Rail Simulator,63.53%,"1,920",4,27,278550
62,Switchcars,83.93%,"1,893",0,156,442210
63,Miner's Mettle,59.88%,"1,891",0,13,1058800
64,ZUSI 3 - Aerosoft Edition,82.54%,"1,862",50,94,1040730
65,Railroad Tycoon II Platinum,82.56%,"1,849",75,239,7620
66,Hmmsim Metro,86.53%,"1,841",43,169,1591420
67,Railroad Tycoon 3,72.61%,"1,762",57,180,7610
68,Fear Equation,72.51%,"1,660",1,46,428350
70,National Machine,60.21%,"1,509",0,9,856010
71,Transport Services,55.16%,"1,472",0,33,993690
72,World of Subways 4 – New York Line 7,62.14%,"1,423",2,163,343070
73,Train Frontier Classic,76.11%,"1,358",3,33,713460
74,Subway Simulator,53.02%,"1,282",2,15,785660
75,The Last Express Gold Edition,75.09%,"1,266",0,58,252710
77,Cosmic Express,86.39%,"1,217",4,56,583270
78,Transport Giant,55.13%,"1,201",24,99,271370
79,Russian Subway Dogs,88.67%,"1,098",0,22,762610
80,Conduct DELUXE!,77.90%,"1,090",1,19,737870
82,Tumbleweed Express,79.04%,"1,018",0,70,372350
84,Conductor,86.50%,884,0,15,584930
85,My Train Arrives,74.77%,842,2,21,1137020
86,Railroad Pioneer,57.31%,750,2,84,306490
88,EEP 13,65.38%,639,1,26,541270
90,Paper Train Traffic,69.26%,608,0,124,447310
91,Railroad X,47.88%,549,1,12,251020
92,Soko Loco Deluxe,81.17%,514,0,19,1003730
93,World of Subways 1 – The Path,59.47%,502,1,11,306370
94,The 18th Floor,52.03%,501,0,8,855320
95,Hypertrain,69.77%,489,0,16,833030
96,TrainerVR,80.69%,480,0,7,763790
97,Great British Railway Journeys,66.57%,479,0,13,1226690
98,Locoland,71.74%,468,2,195,352130
