,Name,Rating,Followers,Online,Peak,id
0,Watch_Dogs™,71.22%,"87,863",200,"47,887",243470
1,Call of Duty®: Advanced Warfare - Gold Edition,62.16%,"84,487",72,"12,675",209650
2,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,93.29%,"50,474",31,"5,683",260230
3,Call of Duty®: Ghosts,59.79%,"35,004",78,"13,831",209160
4,Necromunda: Hired Gun,69.47%,"32,933",54,"5,497",1222370
5,Sakuna: Of Rice and Ruin,89.44%,"32,543",267,"7,043",1356670
6,Carnal Instinct,74.05%,"32,217",28,293,1495320
7,Blair Witch,75.08%,"25,126",16,"1,716",1092660
8,Sakura Spirit,76.62%,"22,933",5,537,313740
9,PewDiePie: Legend of the Brofist,85.02%,"14,863",3,376,390520
10,Montaro,92.65%,"13,781",3,"1,001",495890
11,Summer in Mara,74.27%,"13,147",29,"1,003",962580
12,Cat Quest II,92.55%,"12,215",129,610,914710
14,Calico,86.70%,"8,404",10,399,1112890
15,Rise of the Triad,65.31%,"5,377",11,"2,035",217140
16,Fuga: Melodies of Steel,83.97%,"5,325",132,415,1357860
17,FATE,89.62%,"5,158",38,354,246840
19,Spice&Wolf VR2,89.04%,"4,826",0,34,1348700
20,NEKO-NIN exHeart 2,86.88%,"4,822",1,47,828580
21,PHOGS!,85.38%,"4,514",16,80,850320
22,Sam & Max Save the World,81.92%,"4,176",10,359,1440440
23,Samorost 2,80.91%,"4,119",3,86,40720
25,Higher Critters - 1v4,74.80%,"3,599",0,131,1248120
26,Wobbledogs,92.09%,"3,259",54,304,1424330
27,Dog Sled Saga,85.68%,"3,217",4,86,286240
28,Sexy Tails And Other Puzzlingly Attractive Furry Things,78.86%,"2,624",1,40,1567080
31,NEKO-NIN exHeart 2 Love +PLUS,81.36%,"2,223",0,22,1027130
32,QP Shooting - Dangerous!!,86.78%,"2,134",0,101,316600
33,Mimpi Dreams,86.99%,"2,052",6,32,444770
34,Fidel Dungeon Rescue,87.90%,"1,836",0,135,573170
36,Turbo Pug,87.30%,"1,624",61,"15,462",418070
37,Retro Game Crunch,74.41%,"1,617",1,50,290040
38,An Airport for Aliens Currently Run by Dogs,84.25%,"1,545",1,58,1246250
39,Outpost 13,37.25%,"1,510",0,15,351060
40,Dance of Death: Du Lac & Fey,75.34%,"1,505",1,14,976920
41,Montaro RE,90.67%,"1,472",1,45,971680
42,Best Friend Forever,69.04%,"1,429",0,64,1034850
43,Domestic Dog,75.33%,"1,392",0,228,340340
45,Corgi Warlock,74.49%,"1,334",0,"1,541",414920
46,Paw Patrol: On A Roll!,79.99%,"1,309",34,81,758730
47,Dog Duty,77.52%,"1,262",0,19,578690
49,Don't Disturb,79.11%,"1,204",0,25,501840
51,Russian Subway Dogs,88.67%,"1,098",0,22,762610
54,CAT Interstellar: Recast,73.26%,"1,046",0,5,1684710
55,Inspector Waffles,85.12%,"1,036",2,30,1055850
56,Love Stories: Furry Shades of Gay,79.70%,"1,022",1,59,1399930
57,Turbo Pug DX,75.01%,"1,019",2,"40,590",513780
58,Catgirl & Doggirl Cafe,70.12%,951,0,11,1142270
60,Dig Dog,71.15%,910,0,8,655380
61,Animal Rescuer: Prologue,67.70%,905,0,27,1428610
63,Coloring Book for Adults,76.53%,834,2,55,1431240
64,Space Hack,44.30%,813,1,221,315260
65,MDK 2,73.83%,813,3,8,38460
66,Rabbit Riot,79.46%,733,0,58,1557230
67,My Exercise,85.93%,711,0,35,1004330
68,Save Your Nuts,71.69%,709,0,16,752170
69,Animal Rescuer,68.88%,688,1,8,1428780
70,Purrfect Apawcalypse: Love at Furst Bite,88.86%,651,0,22,1532510
71,Osteoblasts,82.82%,631,0,14,1450650
72,In My Shadow,77.67%,624,0,14,1406200
73,Shephy,71.48%,619,1,42,651340
74,8-Bit Commando,54.65%,609,0,465,287860
75,Wanko of Marriage ~Welcome to The Dog's Tail!~,56.05%,557,0,7,1233200
76,Loot Hound™,76.26%,556,0,33,411680
77,Balthazar's Dream,79.71%,516,0,48,583890
79,Dogworld,84.89%,483,1,17,1198210
81,Returning the favor of the dog,65.42%,460,0,9,1392430
83,ASTRO AQUA KITTY,76.62%,436,0,10,1346390
84,Puppy Cross,88.75%,411,2,75,1183500
85,The Unlikely Legend of Rusty Pup,79.39%,379,0,8,800690
87,Beast Pets,77.77%,378,1,13,629970
88,Ruff Night At The Gallery,83.66%,376,2,13,1463470
89,TwoKinds Online,-,366,0,3,690100
90,B.ARK,75.64%,346,0,12,1416760
91,UNKNOWN REGION,51.44%,332,0,5,1048280
92,Purrfect Apawcalypse: Patches' Infurno,85.04%,329,1,13,1599470
93,Purrfect Apawcalypse: Purrgatory Furever,85.20%,324,1,14,1559430
94,Futanari of the Amazon,57.21%,321,1,6,1579320
98,My Little Dog Adventure,62.93%,276,0,11,1424780
99,Quickscoper Doge: The Dank Illuminati Memes,86.11%,275,0,9,690420
