,Name,Rating,Followers,Online,Peak,id
0,ARK: Survival Evolved,79.77%,"1,249,512","44,704","157,400",346110
1,Rust,85.93%,"856,565","104,100","245,243",252490
2,The Forest,93.84%,"625,035","5,706","64,879",242760
3,Sid Meier’s Civilization® VI,81.65%,"616,045","29,437","162,657",289070
4,Garry's Mod,95.76%,"605,466","29,981","73,863",4000
5,Terraria,97.11%,"586,997","26,099","489,886",105600
6,Stardew Valley,96.93%,"583,057","30,595","94,879",413150
7,Cities: Skylines,91.95%,"579,631","11,663","60,386",255710
8,ASTRONEER,89.34%,"480,297","1,567","17,986",361420
9,RimWorld,96.82%,"464,522","32,482","50,907",294100
10,Raft,91.48%,"452,909","5,352","42,288",648800
11,7 Days to Die,86.21%,"385,713","18,255","47,025",251570
12,Valheim,94.77%,"361,047","20,793","502,387",892970
13,Frostpunk,89.70%,"331,686","5,780","29,361",323190
14,Stranded Deep,75.03%,"331,496",511,"6,036",313120
15,Factorio,97.37%,"331,424","11,884","34,700",427520
16,Oxygen Not Included,94.72%,"330,996","7,307","27,486",457140
17,Space Engineers,87.12%,"301,241","7,575","23,888",244850
18,Scrap Mechanic,90.83%,"289,374","2,468","46,643",387990
19,Besiege,93.79%,"281,869",252,"11,206",346010
20,Conan Exiles,77.48%,"277,541","9,131","53,402",440900
21,Kerbal Space Program,93.10%,"275,856","3,795","19,149",220200
22,Planet Coaster,89.16%,"274,862","1,987","21,971",493340
23,Starbound,91.83%,"259,613","2,182","88,709",211820
24,They Are Billions,83.54%,"255,231","1,851","22,395",644930
25,Satisfactory,95.42%,"245,421","7,958","32,831",526870
26,Empyrion - Galactic Survival,79.42%,"245,220","2,863","8,829",383120
27,Hurtworld,75.07%,"243,334",257,"13,333",393420
28,Planet Zoo,88.07%,"239,930","3,353","38,630",703080
29,Jurassic World Evolution,84.09%,"235,089","1,207","60,296",648350
30,Dungeon Defenders II,75.26%,"234,496",802,"18,785",236110
31,Green Hell,85.30%,"230,589","1,615","20,003",815370
32,Osiris: New Dawn,59.94%,"217,665",141,"4,773",402710
33,Life is Feudal: Your Own,65.03%,"217,116",430,"7,896",290080
34,Kenshi,92.95%,"204,091","2,902","10,579",233860
35,House Flipper,90.71%,"194,016","2,094","10,899",613100
36,Prison Architect,89.34%,"193,132","1,305","16,211",233450
37,Two Point Hospital,89.15%,"185,945","1,083","34,009",535930
38,The Universim,79.80%,"185,851",85,"2,825",352720
39,Project Zomboid,88.24%,"185,227","5,526","7,191",108600
40,Eco,80.20%,"183,837","1,339","6,964",382310
41,Dyson Sphere Program,95.90%,"182,895","4,998","59,815",1366540
42,My Time At Portia,91.04%,"176,513","1,032","13,299",666140
43,Foundation,83.89%,"169,502",515,"4,088",690830
44,Medieval Dynasty,89.44%,"169,428","1,944","18,738",1129580
45,Portal Knights,81.02%,"168,215",193,"6,545",374040
46,Robocraft,71.96%,"160,068",290,"26,725",301520
47,PC Building Simulator,92.46%,"156,187",528,"3,884",621060
48,Craftopia,78.93%,"149,269",436,"27,246",1307550
49,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",275,"72,533",838350
50,Banished,88.45%,"139,043","1,011","24,636",242920
51,LEGO® Worlds,75.78%,"139,002",317,"4,911",332310
52,Surviving Mars,82.71%,"138,495","1,150","23,744",464920
53,Stonehearth,74.58%,"130,698",170,"1,851",253250
54,Kingdoms and Castles,89.60%,"130,527",629,"4,856",569480
55,Car Mechanic Simulator 2018,88.38%,"127,208","1,698","8,474",645630
56,Planet Explorers,62.40%,"124,383",13,"2,125",237870
57,Creativerse,79.24%,"120,715",223,"10,929",280790
58,Trove,79.74%,"117,499","1,948","58,949",304050
59,Gear Up,72.73%,"115,992",4,"2,743",214420
60,Avorion,88.80%,"113,920","1,494","4,533",445220
61,Medieval Engineers,55.51%,"113,689",46,"3,984",333950
62,Planetbase,76.58%,"113,392",274,"6,670",403190
63,Going Medieval,86.46%,"111,810","1,941","14,676",1029780
64,Rising World,80.77%,"111,264",48,486,324080
65,Forager,90.06%,"110,743",418,"13,438",751780
66,TerraTech,87.78%,"109,818",732,"5,726",285920
67,Age of Empires® III (2007),88.82%,"109,135","1,009","9,490",105450
68,X4: Foundations,73.20%,"104,616","1,313","15,198",392160
69,Graveyard Keeper,83.43%,"103,836",825,"16,993",599140
70,Space Haven,84.82%,"103,253",431,"5,687",979110
71,SpellForce 3,72.41%,"102,877",146,"8,932",311290
72,Tropico 6,84.92%,"102,866",924,"15,294",492720
73,The Guild 3,57.79%,"102,584",85,"3,513",311260
74,Subsistence,72.03%,"101,296",478,"1,376",418030
75,The Sims™ 4,87.95%,"100,969","9,743","25,403",1222670
76,Offworld Trading Company,74.49%,"99,030",65,"2,698",271240
77,Reign Of Kings,56.99%,"98,322",23,"13,278",344760
78,Crossout,75.81%,"98,196","2,363","9,701",386180
