,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","355,842","1,295,114",570
1,7 Days to Die,86.21%,"385,713","17,726","47,025",251570
2,Minion Masters,90.06%,"265,476",811,"10,329",489520
3,They Are Billions,83.54%,"255,231","1,803","22,395",644930
4,Dungeon Defenders II,75.26%,"234,496",786,"18,785",236110
5,Craft The World,85.67%,"95,647",251,"3,283",248390
6,EDEN STAR,63.36%,"79,268",1,110,259570
7,Night of the Dead,78.36%,"68,463",549,"4,434",1377380
8,Dig or Die,87.36%,"66,616",17,868,315460
9,Plants vs. Zombies GOTY Edition,95.01%,"59,534","1,514","12,893",3590
10,Tribes of Midgard,74.50%,"53,858","9,998","30,930",858820
11,Dungeons 3,92.35%,"53,087",162,"3,289",493900
12,Rise to Ruins,86.68%,"52,283",62,"1,469",328080
13,Kingdom: Classic,88.16%,"51,950",130,"64,944",368230
14,Kingdom Two Crowns,86.04%,"49,426",297,"3,223",701160
15,Dungeon of the ENDLESS™,85.72%,"47,502",87,"6,323",249050
16,Kingdom: New Lands,84.50%,"42,499",94,"3,518",496300
17,Bad North: Jotunn Edition,87.94%,"39,750",50,"1,136",688420
18,Orcs Must Die! 2,91.82%,"38,942",262,"16,119",201790
20,Castle Story,60.37%,"35,034",70,"1,565",227860
21,Bloons TD 6,95.83%,"34,778","15,070","53,943",960090
22,METAL GEAR SURVIVE,64.29%,"34,623",27,"7,713",543900
23,Sanctum 2,87.78%,"33,861",35,"13,621",210770
24,The Immortal Mayor,61.60%,"33,378",44,"3,232",1426730
25,Dungeons 2,78.59%,"33,086",44,"11,705",262280
26,Dungeon Defenders,90.49%,"30,025",262,"21,862",65800
27,Orcs Must Die! 3,81.56%,"27,779","3,664","13,210",1522820
28,FortressCraft Evolved!,70.98%,"25,601",47,732,254200
29,DRAGON QUEST HEROES™ Slime Edition,66.28%,"25,462",9,933,410850
30,Orcs Must Die! Unchained,67.08%,"25,131",5,"7,768",427270
31,Plants vs. Zombies: Battle for Neighborville™,68.38%,"24,549",106,"1,263",1262240
32,Rock of Ages 2: Bigger & Boulder™,81.54%,"23,810",10,"2,273",434460
33,Mindustry,93.70%,"23,425",451,"2,691",1127400
34,Dream Engines: Nomad Cities - A survival city builder with flying cities,70.98%,"22,661",51,524,1076750
35,Legion TD 2 - Multiplayer Tower Defense,76.23%,"22,584",326,"3,284",469600
36,Kingdom Rush Origins - Tower Defense,91.66%,"21,930",63,"2,000",816340
37,Creeper World 4,91.06%,"21,246",414,"3,828",848480
38,Space Stories: Darth Star,64.68%,"21,075",0,9,763770
39,Ratropolis,85.44%,"21,009",66,"1,470",1108370
40,HYPERCHARGE: Unboxed,86.00%,"19,634",21,925,523660
41,Dungeon Defenders: Awakened,67.34%,"19,493",710,"2,877",1101190
42,Dice Tower Defense,65.64%,"18,588",0,14,700660
43,Until We Die,76.89%,"18,157",65,"2,335",1197570
45,DG2: Defense Grid 2,81.17%,"17,785",36,"1,331",221540
46,Kingdom Rush - Tower Defense,93.72%,"17,740",114,"2,022",246420
47,Kingdom Rush Frontiers - Tower Defense,93.16%,"17,733",78,981,458710
48,Stronghold HD,91.86%,"17,249",179,755,40950
49,Deathtrap,79.91%,"15,816",10,948,310510
50,X-Morph: Defense,87.88%,"15,685",20,918,408410
51,Sanctum,85.98%,"15,142",5,"7,380",91600
52,Conan Unconquered,67.51%,"15,084",7,"1,011",989690
53,Eden Rising,63.53%,"14,902",3,"1,387",345330
54,Kingdom Rush Vengeance - Tower Defense,91.85%,"14,464",140,"3,206",1367550
55,Bloons TD 5,91.06%,"14,232",243,"1,660",306020
56,Infectonator: Survivors,64.68%,"14,010",6,193,269310
57,Overdungeon,77.58%,"13,688",16,"2,205",919370
58,Bloons TD Battles,87.46%,"13,665","1,203","2,634",444640
59,Cows VS Vikings,84.10%,"13,388",0,221,854860
