,Name,Rating,Followers,Online,Peak,id
0,RPG Maker MV,88.46%,"86,320","1,042","2,486",363890
1,Blender,94.92%,"76,283","4,102","5,133",365670
2,Game Dev Tycoon,93.45%,"61,726",160,"7,761",239820
3,Death's Gambit,73.74%,"57,139",17,"2,538",356650
4,Rivals of Aether,92.49%,"43,361",195,"2,922",383980
5,Mad Games Tycoon,87.13%,"26,814",28,"1,434",341000
6,RPG Maker VX Ace,90.83%,"24,022",169,"4,196",220700
7,Gunpoint,94.63%,"20,375",4,"2,647",206190
8,Nidhogg,86.30%,"17,257",12,"2,215",94400
9,GameMaker Studio 2 Desktop,81.68%,"17,241",246,470,585410
10,Overcrowd: A Commute 'Em Up,81.31%,"17,076",24,808,726110
11,GameGuru,70.03%,"15,797",20,"1,093",266310
12,Build a Game Universe,-,"14,768",0,22,387820
13,Valdis Story: Abyssal City,81.51%,"13,375",4,"1,959",252030
14,Godot Engine,92.03%,"12,902",50,91,404790
15,Visual Novel Maker,65.51%,"12,637",16,166,495480
16,Pixel Game Maker MV,68.74%,"12,144",72,152,837510
17,AppGameKit Classic: Easy Game Development,79.36%,"11,925",10,"1,007",325180
18,Echo of the Wilds,69.66%,"9,819",1,179,305780
19,RPG World - Action RPG Maker,67.90%,"8,654",1,39,492150
20,Leadwerks Game Engine,70.42%,"8,019",3,150,251810
21,PrprLive,84.93%,"5,794","1,686","1,686",1279610
22,BLACKHOLE,82.48%,"5,263",1,248,322680
23,Super Crate Box,86.09%,"5,244",5,553,212800
25,Within the blade,81.65%,"4,273",1,"1,433",622870
26,SRPG Studio,76.27%,"4,169",26,67,857320
27,Excive A-1000,69.36%,"4,131",0,3,1008870
28,Cursed Castilla (Maldita Castilla EX),80.35%,"3,763",0,264,534290
29,Savant - Ascent,89.03%,"3,715",1,599,259530
30,Zombie Party,80.25%,"3,663",1,999,384500
31,GeoVox,50.00%,"3,391",0,8,368470
32,CopperCube 6 Game Engine,74.87%,"3,257",8,31,857350
33,INK,78.22%,"3,238",1,184,385710
34,The Textorcist: The Story of Ray Bibbia,80.55%,"3,155",0,385,940680
35,Risen Kingdom,74.87%,"2,831",4,146,1216880
36,D'LIRIUM,89.17%,"2,823",1,80,670160
37,RED HOT VENGEANCE,91.90%,"2,584",6,245,1058640
38,Stealth Bastard Deluxe,84.12%,"2,489",1,270,209190
39,iFAction Game Maker,75.07%,"2,481",8,18,1195270
40,Uncanny Valley,55.62%,"2,461",0,77,359580
41,Samurai Gunn,86.32%,"2,310",0,80,239090
42,Skelly Selest,85.97%,"2,259",1,15,685400
43,Return.,85.67%,"2,250",0,40,906390
44,GameMaker Studio 2 Mobile,68.83%,"2,234",9,42,585620
45,Game Dev Studio,80.78%,"2,223",1,171,773580
46,Super Blue Boy Planet,86.63%,"2,161",2,255,560260
47,FEMINAZI: The Triggering,78.12%,"2,070",0,"1,882",585550
48,Super Hydorah,84.48%,"1,575",0,31,628800
49,Branching Paths,81.18%,"1,574",0,43,494680
50,School of Horror,32.35%,"1,559",1,5,874830
51,Until the Last Plane,69.58%,"1,492",0,73,1240550
52,Neighborhorde,77.88%,"1,452",0,21,446760
53,Coin Crypt,81.35%,"1,429",0,344,264690
54,Defold,76.60%,"1,396",4,23,1365760
55,Vzerthos: The Heir of Thunder,67.57%,"1,274",1,147,536450
56,Home,65.31%,"1,231",0,356,215670
57,The Oil Blue: Steam Legacy Edition,67.71%,"1,228",0,451,386700
58,Ilamentia,63.76%,"1,195",0,96,334710
59,GameMaker Studio 2 Web,64.07%,"1,190",8,13,585600
60,Morphblade,85.24%,"1,127",1,153,494720
61,Super Jigsaw Puzzle: Generations,87.45%,"1,081",118,221,1036950
