,Name,Rating,Followers,Online,Peak,id
0,No Man's Sky,71.14%,"680,963","5,674","212,613",275850
1,Oxygen Not Included,94.72%,"330,996","6,977","27,486",457140
2,Elite Dangerous,76.49%,"294,215","4,170","28,923",359320
3,Kerbal Space Program,93.10%,"275,856","3,570","19,149",220200
4,Dyson Sphere Program,95.90%,"182,895","4,820","59,815",1366540
5,Surviving Mars,82.71%,"138,495","1,054","23,744",464920
6,EVERSPACE™,77.75%,"122,244",99,"1,448",396750
7,Avorion,88.80%,"113,920","1,419","4,533",445220
8,Planetbase,76.58%,"113,392",258,"6,670",403190
9,X4: Foundations,73.20%,"104,616","1,198","15,198",392160
10,PULSAR: Lost Colony,88.22%,"103,708",151,"1,205",252870
11,Space Haven,84.82%,"103,253",384,"5,687",979110
12,Rebel Galaxy,82.84%,"100,008",64,"5,717",290300
13,Star Conflict,73.81%,"96,709",176,"4,973",212070
15,STAR WARS™: Squadrons,69.41%,"92,882",174,"36,492",1222730
16,EVERSPACE™ 2,87.32%,"81,519",285,"3,072",1128920
17,StarMade,67.68%,"78,438",12,960,244770
18,EVE Online,74.57%,"77,112","3,322","10,627",8500
19,Industries of Titan,68.75%,"68,229",56,"2,217",427940
20,Starpoint Gemini Warlords,71.86%,"67,738",22,"1,260",419480
21,Hardspace: Shipbreaker,87.88%,"66,949",307,"7,286",1161580
22,Starpoint Gemini 2,67.95%,"54,537",19,"20,842",236150
23,Starbase,68.44%,"54,384","6,778","9,969",454120
24,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",628,"93,109",204880
25,Space Pirates And Zombies 2,76.64%,"52,492",13,"2,283",252470
26,SpaceEngine,92.69%,"49,448",75,596,314650
27,Rodina,88.27%,"48,780",3,224,314230
28,HELLION,54.07%,"42,835",7,"1,941",588210
29,Imagine Earth,76.54%,"42,187",22,327,280720
30,Interstellar Rift,69.55%,"36,985",27,389,363360
31,Between the Stars,78.95%,"35,676",8,429,727130
32,Starmancer,59.20%,"35,543",297,916,1062000
33,Genesis Alpha One Deluxe Edition,66.44%,"26,151",21,783,712190
34,Endless Sky,88.76%,"25,779",92,"3,035",404410
35,Deliver Us The Moon,85.41%,"25,456",4,469,428660
37,Take On Mars,54.60%,"24,554",11,435,244030
38,Shortest Trip to Earth,74.55%,"22,614",15,"1,786",812040
39,Celestial Command,71.25%,"21,425",3,75,330460
40,House of the Dying Sun,85.96%,"20,707",1,207,283160
41,Universe Sandbox Legacy,78.30%,"20,383",18,"3,326",72200
42,Star Traders: Frontiers,83.30%,"20,167",102,"1,111",335620
43,X3: Terran Conflict,82.32%,"18,082",64,"1,442",2820
44,X Rebirth,43.12%,"17,179",16,"14,732",2870
45,Mars Horizon,81.35%,"17,085",359,"2,525",765810
46,Void Destroyer 2,79.62%,"15,883",5,264,369530
47,Infinity: Battlescape,76.62%,"15,721",1,227,1079620
48,Ancient Space,46.02%,"14,916",0,283,249190
49,Cosmonautica,48.88%,"14,753",0,849,320340
50,Evochron Legacy SE,76.02%,"14,603",2,198,398170
51,Ostranauts,71.61%,"13,699",3,390,1022980
52,Starship EVO,82.49%,"13,557",21,193,711980
53,Rover Mechanic Simulator,74.88%,"13,064",10,171,864680
54,Evochron Mercenary,72.90%,"13,005",1,774,71000
55,Interstellar Transport Company,70.23%,"12,791",1,172,573490
56,Space Crew,74.84%,"12,308",15,"1,546",1176710
57,Starcom: Nexus,87.49%,"12,139",7,554,863590
59,SimpleRockets 2,86.97%,"12,017",40,373,870200
60,Starpoint Gemini 3,53.15%,"11,908",4,215,977720
61,SpaceBourne,76.68%,"11,809",5,168,732240
62,3030 Deathwar Redux - A Space Odyssey,89.20%,"11,002",2,138,464360
63,Star Rangers™ XE,43.70%,"10,972",0,41,333340
64,Drifter,56.86%,"10,568",0,47,259450
65,Galaxy on Fire 2™ Full HD,72.43%,"10,212",4,605,212010
66,Galactic Crew,53.77%,"9,840",0,19,693750
67,Astrox: Hostile Space Excavation,78.85%,"9,653",1,138,414720
68,Strike Suit Zero,74.48%,"9,548",3,"1,093",209540
69,Autocraft,55.01%,"9,153",0,62,287220
70,Rebel Galaxy Outlaw,64.13%,"8,869",23,318,910830
71,Astrox Imperium,83.76%,"8,660",10,167,954870
72,Space Mechanic Simulator,-,"8,523",0,1,429380
73,Space Colony: Steam Edition,71.81%,"8,501",2,220,297920
74,Interstellaria,55.68%,"8,465",0,952,280360
75,Void Destroyer,59.30%,"7,479",0,137,259660
76,A.R.M. PLANETARY PROSPECTORS EP1 Asteroid Resource Mining,46.55%,"7,375",0,5,344890
77,Redout: Space Assault,42.54%,"7,271",0,35,886060
78,The Orville - Interactive Fan Experience,85.36%,"7,236",2,61,1096200
79,Wayward Terran Frontier: Zero Falls,70.41%,"7,121",2,95,392080
80,Stellar Warfare,74.38%,"6,724",13,115,1113030
81,Children of a Dead Earth,84.95%,"6,712",8,117,476530
82,Objects in Space,54.26%,"6,694",5,193,824070
83,Landinar: Into the Void,57.40%,"6,688",0,159,794270
