,Name,Rating,Followers,Online,Peak,id
0,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","97,647","3,257,248",578080
1,Deep Rock Galactic,95.39%,"1,346,099","5,080","36,224",548430
2,Dead by Daylight,81.53%,"1,298,168","56,841","105,093",381210
3,ARK: Survival Evolved,79.77%,"1,249,512","46,722","157,400",346110
4,Left 4 Dead 2,96.42%,"865,195","15,985","162,399",550
5,Rust,85.93%,"856,565","106,543","245,243",252490
6,Fallout 4,78.77%,"846,011","19,979","472,962",377160
7,No Man's Sky,71.14%,"680,963","6,149","212,613",275850
8,The Forest,93.84%,"625,035","6,118","64,879",242760
9,Killing Floor 2,86.81%,"617,961","2,775","69,987",232090
10,Dying Light: Enhanced Edition,93.98%,"603,769","4,467","45,876",239140
11,Terraria,97.11%,"586,997","27,123","489,886",105600
12,Subnautica,94.91%,"546,416","2,376","51,156",264710
13,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
14,Unturned,90.52%,"508,491","18,179","63,462",304930
15,Don't Starve Together,95.13%,"505,458","12,147","68,418",322330
16,ASTRONEER,89.34%,"480,297","1,667","17,986",361420
17,DayZ,67.69%,"477,791","26,042","45,878",221100
18,Tom Clancy’s The Division™,67.96%,"472,315",454,"114,228",365590
19,RimWorld,96.82%,"464,522","33,423","50,907",294100
20,The Long Dark,89.86%,"460,431","1,287","14,433",305620
21,Raft,91.48%,"452,909","5,666","42,288",648800
22,Counter-Strike: Source,94.77%,"435,159","3,988","100,056",240
23,Ring of Elysium,73.97%,"424,290",852,"63,435",755790
24,Hunt: Showdown,81.16%,"396,304","14,827","32,698",594650
25,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,012","45,704",460930
26,7 Days to Die,86.21%,"385,713","18,990","47,025",251570
27,Far Cry® 5,78.14%,"374,607","9,245","92,445",552520
28,Rise of the Tomb Raider™,92.63%,"368,952","1,372","44,588",391220
29,Just Survive,58.66%,"362,602",1,"40,335",295110
30,Valheim,94.77%,"361,047","21,933","502,387",892970
31,theHunter: Call of the Wild™,84.57%,"356,627","2,407","18,081",518790
32,Metro Exodus,86.81%,"348,587",987,"15,375",412020
33,This War of Mine,93.16%,"344,261",642,"9,503",282070
34,Paladins®,85.03%,"331,872","10,345","60,743",444090
35,Frostpunk,89.70%,"331,686","5,997","29,361",323190
36,Stranded Deep,75.03%,"331,496",551,"6,036",313120
37,Factorio,97.37%,"331,424","12,415","34,700",427520
38,Oxygen Not Included,94.72%,"330,996","7,643","27,486",457140
39,Left 4 Dead,94.00%,"307,581",555,"30,616",500
40,Northgard,86.40%,"301,336","2,193","15,592",466560
41,Space Engineers,87.12%,"301,241","7,854","23,888",244850
42,SCUM,72.18%,"294,185","10,110","68,322",513710
43,Scrap Mechanic,90.83%,"289,374","2,730","46,643",387990
44,Conan Exiles,77.48%,"277,541","9,411","53,402",440900
45,Among Us,92.14%,"273,036","10,760","447,476",945360
46,Far Cry® 4,80.87%,"269,607",680,"16,963",298110
47,Resident Evil 2,95.77%,"263,717",808,"74,227",883710
48,Evolve Stage 2,67.03%,"263,159",18,"51,127",273350
49,Starbound,91.83%,"259,613","2,252","88,709",211820
50,They Are Billions,83.54%,"255,231","1,956","22,395",644930
51,NARAKA: BLADEPOINT,67.75%,"249,815","21,746","70,731",1203220
52,Risk of Rain 2,95.19%,"248,653","6,130","71,548",632360
53,Satisfactory,95.42%,"245,421","8,286","32,831",526870
54,Empyrion - Galactic Survival,79.42%,"245,220","2,928","8,829",383120
55,Hurtworld,75.07%,"243,334",273,"13,333",393420
56,GTFO,86.64%,"236,110",499,"5,247",493520
57,Jurassic World Evolution,84.09%,"235,089","1,256","60,296",648350
58,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,222","38,268",750920
59,Dungeon Defenders II,75.26%,"234,496",811,"18,785",236110
60,SMITE®,79.66%,"230,829","16,975","31,169",386360
61,Green Hell,85.30%,"230,589","1,665","20,003",815370
62,Apex Legends™,88.13%,"229,969","127,958","330,879",1172470
63,Dying Light 2 Stay Human,-,"222,355",0,34,534380
64,Osiris: New Dawn,59.94%,"217,665",143,"4,773",402710
65,Life is Feudal: Your Own,65.03%,"217,116",466,"7,896",290080
66,Subnautica: Below Zero,89.94%,"216,187","1,685","42,115",848450
67,Mad Max,89.84%,"215,925",625,"33,356",234140
68,Warhammer: End Times - Vermintide,78.35%,"211,417",106,"24,700",235540
69,Plague Inc: Evolved,92.56%,"210,944",434,"17,889",246620
70,Friday the 13th: The Game,77.50%,"207,391",912,"16,096",438740
71,Miscreated,66.36%,"206,747",206,"5,159",299740
72,Kenshi,92.95%,"204,091","2,945","10,579",233860
73,Far Cry® Primal,81.41%,"203,247",251,"14,783",371660
74,DEATH STRANDING,91.89%,"202,696","1,214","32,515",1190460
75,Warhammer: Vermintide 2,81.50%,"199,384","3,838","73,316",552500
