,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","25,108","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","506,739","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","96,150","3,257,248",578080
3,Deep Rock Galactic,95.39%,"1,346,099","5,008","36,224",548430
4,Team Fortress 2,93.06%,"1,231,323","77,861","151,253",440
5,Cyberpunk 2077,75.05%,"1,177,161","8,196","1,054,388",1091500
6,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","46,280","201,053",359550
7,Left 4 Dead 2,96.42%,"865,195","15,967","162,399",550
8,Rust,85.93%,"856,565","106,328","245,243",252490
9,Fallout 4,78.77%,"846,011","19,990","472,962",377160
10,Warframe,89.62%,"755,251","42,606","189,837",230410
11,No Man's Sky,71.14%,"680,963","6,111","212,613",275850
12,Killing Floor 2,86.81%,"617,961","2,783","69,987",232090
13,Arma 3,89.33%,"610,379","16,661","56,679",107410
14,Garry's Mod,95.76%,"605,466","31,519","73,863",4000
15,Dying Light: Enhanced Edition,93.98%,"603,769","4,466","45,876",239140
16,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
17,Unturned,90.52%,"508,491","18,357","63,462",304930
18,Destiny 2,84.10%,"498,711","44,655","292,513",1085660
19,Squad,86.61%,"497,710","5,511","15,338",393380
20,DayZ,67.69%,"477,791","25,965","45,878",221100
21,Tom Clancy’s The Division™,67.96%,"472,315",443,"114,228",365590
22,Halo: The Master Chief Collection,91.63%,"450,548","8,596","161,024",976730
23,Counter-Strike: Source,94.77%,"435,159","3,970","100,056",240
24,Ring of Elysium,73.97%,"424,290",842,"63,435",755790
25,Red Dead Redemption 2,85.24%,"411,084","14,303","55,271",1174180
26,Hunt: Showdown,81.16%,"396,304","14,777","32,698",594650
27,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,016","45,704",460930
28,7 Days to Die,86.21%,"385,713","18,909","47,025",251570
29,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",418,"22,614",10180
30,Far Cry® 5,78.14%,"374,607","9,127","92,445",552520
