,Name,Rating,Followers,Online,Peak,id
0,Human: Fall Flat,93.25%,"488,573","1,526","127,517",477160
1,Rise of the Tomb Raider™,92.63%,"368,952","1,407","44,588",391220
2,Portal 2,97.64%,"303,997","2,395","98,460",620
3,Besiege,93.79%,"281,869",271,"11,206",346010
4,Resident Evil 2,95.77%,"263,717",810,"74,227",883710
5,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,250","38,268",750920
6,HITMAN™ 2,89.37%,"231,772","1,543","361,001",863550
7,Ori and the Blind Forest,93.70%,"213,863",111,"13,108",261570
8,Resident Evil 7 Biohazard,92.68%,"191,836",529,"20,449",418370
9,The Talos Principle,93.53%,"180,221",146,"4,007",257510
10,Tomb Raider,95.16%,"175,016","1,062","89,538",203160
11,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",923,"46,550",1172380
12,Break the G̵amè̢̢͘,72.17%,"169,159",1,165,739540
13,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",214,"5,037",418240
14,INSIDE,94.26%,"161,351",71,"4,170",304430
15,PC Building Simulator,92.46%,"156,187",558,"3,884",621060
16,World of Guns: Gun Disassembly,81.48%,"153,966",114,"1,597",262410
17,Little Nightmares,92.73%,"152,199",725,"78,169",424840
18,It Takes Two,93.70%,"151,273","1,978","21,567",1426210
19,A Plague Tale: Innocence,92.08%,"151,055",213,"4,058",752590
20,Ori and the Will of the Wisps,94.75%,"142,463",458,"34,807",1057090
21,Batman™: Arkham Knight,79.91%,"142,276","1,140","27,406",208650
22,SUPERHOT,87.82%,"137,038",59,"5,584",322500
23,BattleBlock Theater®,95.55%,"136,292",208,"14,781",238460
24,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",329,"5,174",859570
25,The Escapists 2,87.54%,"132,999",337,"11,202",641990
26,Portal,96.85%,"128,459",524,"20,672",400
27,Mirror,95.43%,"126,433",292,"7,565",644560
28,SOMA,93.76%,"120,403",99,"4,072",282140
29,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",414,"9,079",387290
30,The Witness,83.29%,"115,785",163,"6,185",210970
31,Teardown,92.84%,"114,047","1,438","8,339",1167630
32,GRIS,94.79%,"113,596",63,959,683320
33,The Escapists,87.80%,"108,395",56,"3,354",298630
34,Keep Talking and Nobody Explodes,94.99%,"105,733",201,"1,767",341800
35,Darksiders III,73.98%,"102,635",342,"7,730",606280
36,House Party,86.30%,"97,572",242,"1,074",611790
37,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",710,"13,263",359870
38,"Papers, Please",94.96%,"95,060",536,"6,129",239030
39,BONEWORKS,89.11%,"94,004",372,"8,717",823500
40,Little Nightmares II,92.88%,"93,366",170,"7,103",860510
41,My Summer Car,91.47%,"90,992",821,"5,509",516750
42,Into the Breach,91.71%,"88,493",347,"14,682",590380
43,Outer Wilds,92.63%,"87,697",557,"4,463",753640
44,What Remains of Edith Finch,93.22%,"87,406",21,329,501300
45,Thronebreaker: The Witcher Tales,89.02%,"85,931",124,"3,371",973760
46,Poly Bridge,89.25%,"84,383",127,"4,134",367450
47,Chinese Parents,89.77%,"82,457",110,"32,593",736190
48,Untitled Goose Game,92.47%,"76,015",157,"1,951",837470
49,The Vanishing of Ethan Carter,86.13%,"75,926",4,"1,443",258520
50,Life is Strange 2,82.88%,"74,964",289,"468,717",532210
51,Hob,85.99%,"71,500",10,"1,179",404680
52,CARRION,91.65%,"71,454",84,"6,347",953490
53,CrossCode,91.84%,"71,321",155,"3,429",368340
54,Layers of Fear,87.70%,"67,945",73,"145,384",391720
55,Hardspace: Shipbreaker,87.88%,"66,949",319,"7,286",1161580
56,Resident Evil,90.07%,"66,423",179,"4,388",304240
57,Assassin’s Creed® Rogue,81.87%,"65,908",140,"2,371",311560
58,Danganronpa: Trigger Happy Havoc,94.32%,"65,531",355,"3,392",413410
59,The Stanley Parable,90.46%,"64,685",49,"4,818",221910
60,Unheard,94.44%,"64,204",55,"7,754",942970
61,Helltaker,96.53%,"64,080",137,"6,509",1289310
62,Half-Life 2,95.97%,"63,069",964,"13,216",220
63,Strange Brigade,81.51%,"62,314",66,"1,956",312670
64,Portal Stories: Mel,93.80%,"61,785",84,"3,545",317400
65,Return of the Obra Dinn,94.20%,"61,275",91,"1,256",653530
66,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",111,"2,968",350640
67,Plants vs. Zombies GOTY Edition,95.01%,"59,534","1,566","12,893",3590
68,Darksiders Genesis,82.54%,"57,934",453,"6,433",710920
69,Danganronpa V3: Killing Harmony,84.12%,"57,127",365,"4,691",567640
70,Detention,77.88%,"55,156",6,"2,335",555220
71,Townscaper,95.02%,"54,402",69,"1,089",1291340
72,OneShot,95.74%,"53,268",36,824,420530
73,Door Kickers,91.89%,"52,964",42,"2,041",248610
74,FAR: Lone Sails,91.04%,"51,315",13,924,609320
75,Sven Co-op,90.85%,"51,196",471,"6,572",225840
76,Transmissions: Element 120,91.42%,"50,455",5,790,365300
77,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,93.29%,"50,455",18,"5,683",260230
78,Mini Metro,93.84%,"50,113",333,"2,104",287980
79,HuniePop,94.23%,"49,398",174,"3,018",339800
80,Catherine Classic,85.00%,"48,849",50,"1,265",893180
81,Obduction,77.54%,"48,755",16,"1,915",306760
82,Trailmakers,88.44%,"48,654",542,"2,132",585420
83,Half-Life 2: Episode Two,94.61%,"48,640",192,"1,419",420
84,Bridge Constructor Portal,87.69%,"48,377",25,"1,745",684410
85,Secret World Legends,66.25%,"48,174",132,"3,731",215280
86,The Council,81.91%,"47,121",29,784,287630
87,Sherlock Holmes: Crimes and Punishments,87.77%,"46,931",82,889,241260
88,ISLANDERS,92.48%,"46,625",155,"1,783",1046030
89,Never Alone (Kisima Ingitchuna),78.98%,"46,081",16,482,295790
90,Pacify,85.82%,"45,414",488,"3,173",967050
91,Danganronpa 2: Goodbye Despair,94.28%,"45,122",456,"1,869",413420
92,Phoenix Wright: Ace Attorney Trilogy,94.79%,"45,052",429,"3,611",787480
93,Brothers - A Tale of Two Sons,92.84%,"45,048",13,"2,019",225080
94,Kona,80.10%,"44,603",0,349,365160
95,Half-Life 2: Update,90.28%,"44,513",75,"3,175",290930
96,In Silence,78.25%,"43,785",84,"2,396",1361000
97,Resident Evil 7 Teaser: Beginning Hour,85.21%,"43,577",10,"3,910",530620
98,Superliminal,91.96%,"42,767",156,"1,439",1049410
99,Bendy and the Ink Machine,85.74%,"42,518",80,"3,457",622650
