,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","5,076","36,224",548430
1,Dead by Daylight,81.53%,"1,298,168","57,025","105,093",381210
2,Left 4 Dead 2,96.42%,"865,195","16,002","162,399",550
3,Wallpaper Engine,96.92%,"672,048","30,387","66,512",431960
4,The Forest,93.84%,"625,035","6,196","64,879",242760
5,Killing Floor 2,86.81%,"617,961","2,737","69,987",232090
6,Dying Light: Enhanced Edition,93.98%,"603,769","4,505","45,876",239140
7,Subnautica,94.91%,"546,416","2,405","51,156",264710
8,Don't Starve Together,95.13%,"505,458","12,232","68,418",322330
9,DayZ,67.69%,"477,791","26,132","45,878",221100
10,The Long Dark,89.86%,"460,431","1,314","14,433",305620
11,Halo: The Master Chief Collection,91.63%,"450,548","8,595","161,024",976730
12,Hunt: Showdown,81.16%,"396,304","14,876","32,698",594650
13,Just Survive,58.66%,"362,602",1,"40,335",295110
14,Metro Exodus,86.81%,"348,587",995,"15,375",412020
15,DOOM,93.94%,"327,579","1,827","44,271",379720
16,Left 4 Dead,94.00%,"307,581",553,"30,616",500
17,Undertale,95.23%,"307,354",844,"10,484",391540
18,Darkest Dungeon®,89.51%,"302,542","4,259","19,357",262060
19,Resident Evil 2,95.77%,"263,717",814,"74,227",883710
20,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
21,Path of Exile,89.92%,"241,945","36,963","157,103",238960
22,GTFO,86.64%,"236,110",497,"5,247",493520
23,Black Mesa,94.09%,"236,029",859,"7,158",362890
24,Dying Light 2 Stay Human,-,"222,355",0,34,534380
25,The Binding of Isaac: Rebirth,96.57%,"222,230","17,009","70,701",250900
26,Osiris: New Dawn,59.94%,"217,665",143,"4,773",402710
27,Phasmophobia,96.21%,"216,528","16,102","112,717",739630
28,Subnautica: Below Zero,89.94%,"216,187","1,702","42,115",848450
29,Warhammer: End Times - Vermintide,78.35%,"211,417",106,"24,700",235540
30,Half-Life: Alyx,96.82%,"207,624",611,"42,858",546560
31,Friday the 13th: The Game,77.50%,"207,391",916,"16,096",438740
32,DOOM Eternal,89.24%,"206,899","4,256","104,891",782330
33,Miscreated,66.36%,"206,747",206,"5,159",299740
34,Firewatch,86.64%,"192,787",56,"17,568",383870
35,Resident Evil 7 Biohazard,92.68%,"191,836",532,"20,449",418370
36,No More Room in Hell,88.21%,"189,082",428,"10,922",224260
37,The Solus Project,77.25%,"188,920",4,652,313630
38,Grounded,84.80%,"186,347","2,211","32,012",962130
39,Hellblade: Senua's Sacrifice,89.88%,"183,286",123,"5,653",414340
40,Getting Over It with Bennett Foddy,81.08%,"177,602",408,"5,054",240720
41,Remnant: From the Ashes,83.26%,"169,449",697,"48,289",617290
42,We Happy Few,73.40%,"168,153",123,"3,498",320240
43,Don't Starve,95.30%,"165,845","1,197","16,796",219740
44,Outlast 2,88.52%,"165,571",187,"5,966",414700
45,Prey,88.44%,"161,647",633,"24,594",480490
46,INSIDE,94.26%,"161,351",69,"4,170",304430
47,The Wild Eight,69.82%,"159,714",283,"1,707",526160
48,Deceit,77.94%,"154,404",744,"16,923",466240
49,Little Nightmares,92.73%,"152,199",711,"78,169",424840
50,A Plague Tale: Innocence,92.08%,"151,055",211,"4,058",752590
51,Depth,86.09%,"150,351",145,"10,916",274940
52,The Isle,81.26%,"148,944","4,527","11,973",376210
53,Vampyr,74.29%,"146,859",171,"16,120",427290
54,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
55,Batman™: Arkham Knight,79.91%,"142,276","1,124","27,406",208650
56,Resident Evil 3,75.82%,"141,564",323,"60,293",952060
58,Generation Zero®,64.88%,"137,603",568,"11,416",704270
59,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",340,"5,174",859570
60,VRChat,89.47%,"135,546","16,511","27,732",438100
61,Doki Doki Literature Club!,95.52%,"132,697",937,"7,402",698780
62,Alien: Isolation,91.18%,"131,821",248,"10,870",214490
63,Mortal Kombat X,80.39%,"131,055",357,"15,743",307780
64,Call of Duty®: Black Ops II,83.95%,"123,438",213,"18,277",202970
65,DESOLATE,67.27%,"123,359",55,"1,832",671510
66,SOMA,93.76%,"120,403",104,"4,072",282140
67,Resident Evil Village,93.64%,"119,425","1,356","106,631",1196590
68,Hello Neighbor,76.74%,"113,472",109,"1,414",521890
69,Killing Floor,93.72%,"113,306",351,"24,107",1250
70,Mortal Kombat 11,83.92%,"110,285","2,315","35,147",976310
71,Days Gone,90.47%,"109,372","3,548","27,450",1259420
72,SCP: Secret Laboratory,90.19%,"108,404","4,791","7,679",700330
73,Mutant Year Zero: Road to Eden,88.53%,"97,706",45,"4,067",760060
74,Infestation: The New Z,52.56%,"94,858",245,"14,437",555570
75,Outlast,94.60%,"94,352",298,"11,827",238320
76,BONEWORKS,89.11%,"94,004",373,"8,717",823500
77,Little Nightmares II,92.88%,"93,366",168,"7,103",860510
78,The Evil Within 2,90.22%,"90,861",226,"9,918",601430
79,State of Decay 2: Juggernaut Edition,77.17%,"89,835","1,689","19,211",495420
80,Control Ultimate Edition,86.93%,"88,935",665,"9,193",870780
81,Outer Wilds,92.63%,"87,697",548,"4,463",753640
82,What Remains of Edith Finch,93.22%,"87,406",20,329,501300
83,Chernobylite,79.00%,"85,920",857,"3,944",1016800
84,Romero's Aftermath,48.69%,"85,438",0,"4,302",349700
85,The Evil Within,82.48%,"83,110",212,"4,499",268050
86,Call of Duty: World at War,91.33%,"82,877",656,"4,825",10090
87,STEINS;GATE,94.62%,"82,691",54,"1,238",412830
88,Chinese Parents,89.77%,"82,457",105,"32,593",736190
89,Counter-Strike Nexon: Studio,65.27%,"80,531",414,"10,007",273110
90,Zombie Army Trilogy,85.60%,"79,674",70,"4,320",301640
91,SUNLESS SEA,81.18%,"79,476",66,"4,049",304650
92,Salt and Sanctuary,88.92%,"79,203",152,"2,430",283640
93,Fallout 76,71.80%,"79,116","7,987","32,982",1151340
94,Darkwood,91.95%,"79,010",89,"1,051",274520
95,Barotrauma,89.85%,"78,558","1,134","5,284",602960
96,Metro 2033 Redux,85.90%,"78,457",287,"5,139",286690
97,Exanima,79.90%,"78,046",92,838,362490
98,Codename CURE,82.26%,"77,422",54,"1,308",355180
99,Dead Rising 3 Apocalypse Edition,72.18%,"76,816",80,"11,418",265550
