,Name,Rating,Followers,Online,Peak,id
0,Youtubers Life,74.79%,"90,009",95,"7,553",428690
1,Mr. Prepper,80.00%,"57,622",144,"6,911",761830
2,Loop Hero,91.25%,"49,707","1,075","51,156",1282730
3,Punch Club,77.96%,"42,048",45,"4,305",394310
4,Path Of Wuxia,88.29%,"39,586",71,"15,597",1189630
5,The Tenants,81.23%,"37,242",292,"4,583",1009560
6,Driftland: The Magic Revival,72.49%,"34,936",17,456,718650
7,Beat Cop,80.12%,"25,407",12,526,461950
8,Summer Memories,88.42%,"24,114",83,"5,036",1227890
9,Siege Survival: Gloria Victis,78.73%,"21,935",56,"1,361",1167140
10,Draw & Guess,83.34%,"19,037",984,"41,766",1483870
11,The Bus,76.58%,"18,046",28,"1,660",491540
12,Peaky Blinders: Mastermind,73.11%,"17,874",3,252,1013310
13,Mr. Prepper: Prologue,81.54%,"17,568",11,"1,089",1340530
14,112 Operator,83.60%,"16,542",60,"1,805",793460
15,Robolife-Days with Aino,87.30%,"15,775",30,543,1477810
16,Diesel Brothers: Truck Building Simulator,62.44%,"15,771",24,"1,377",750050
17,Train Valley 2,86.68%,"13,604",105,448,602320
18,WRC 8 FIA World Rally Championship,69.44%,"12,065",27,498,1004750
20,Hundred Days - Winemaking Simulator,69.29%,"11,050",25,813,1042380
21,Accident,76.21%,"10,300",1,271,852220
22,TasteMaker: Restaurant Simulator,84.39%,"9,262",16,814,1289340
23,CHANGE: A Homeless Survival Experience,88.04%,"9,104",10,320,926140
24,Space Mechanic Simulator,-,"8,523",0,1,429380
25,Legends of IdleOn - Idle MMO,87.17%,"8,362","3,363","6,593",1476970
26,Siege Survival: Gloria Victis Prologue,84.31%,"8,222",4,348,1362420
27,Touhou Mystia's Izakaya,92.93%,"7,848",17,664,1584090
29,Transport INC,72.85%,"7,525",15,496,936500
30,Lawn Mowing Simulator,69.87%,"7,484","1,166","2,108",1480560
31,Fast Food Manager,68.32%,"7,476",1,31,1519790
32,Mind Scanners,78.04%,"7,240",14,174,1389550
33,Landlord's Super,84.82%,"6,939",32,430,1127840
34,Computer Tycoon,78.39%,"6,810",7,74,686680
35,Heart's Medicine - Time to Heal,87.78%,"6,441",6,216,494230
36,Fishing: North Atlantic,70.86%,"6,292",317,"1,292",1264250
38,"Cook, Serve, Delicious!",91.34%,"6,143",19,"1,560",247020
40,Gas Station Simulator: Prologue - Early Days,87.30%,"6,072",44,459,1528080
42,Rail Route,85.99%,"5,800",110,461,1124180
43,Marble Age,79.37%,"5,307",2,259,346810
45,King of Retail,88.77%,"5,039",342,951,968250
46,My Child Lebensborn,86.84%,"4,915",12,239,1114070
47,Love Tavern,69.62%,"4,877",26,424,1354230
48,For the People,74.57%,"4,655",2,294,1146600
49,No Time to Relax,88.47%,"4,454",82,"1,649",829660
51,TM - Prologue,87.87%,"4,449",13,281,1614730
52,The Wild at Heart,84.91%,"4,422",1,79,1093290
53,Carrier Deck,82.48%,"4,405",20,336,580720
54,WE ARE FOOTBALL,70.11%,"4,371",525,"3,905",1196470
56,Lemon Cake,84.45%,"4,300",16,218,1338330
57,Hero-U: Rogue to Redemption,86.08%,"4,067",4,209,375440
60,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
61,Terroir,69.19%,"3,747",0,55,559910
62,NGU INDUSTRIES,80.75%,"3,605",938,"8,369",1433990
64,Legend of Homebody,76.21%,"3,156",4,385,744260
65,A Town Uncovered,79.34%,"3,056",12,75,1330190
66,Esports Life Tycoon,60.13%,"3,001",11,423,897410
67,John Wick Hex,66.30%,"2,853",1,85,1405790
68,Lord of Dwarves,73.47%,"2,713",2,35,477900
69,Not For Broadcast: Prologue,87.32%,"2,699",2,31,1201400
71,Farm for your Life,77.20%,"2,686",1,337,266390
73,Heart's Medicine - Hospital Heat,88.43%,"2,523",3,146,605990
74,The Unexpected Quest,71.85%,"2,495",4,59,1307670
75,Elsinore,87.27%,"2,484",6,46,512890
76,Alchemist Simulator,71.01%,"2,298",1,92,1105040
78,The Cooking Game VR,63.42%,"2,239",0,9,857180
80,Arise: A Simple Story,83.99%,"2,121",0,15,866140
81,Lawnmower Game: Next Generation,82.32%,"2,099",0,10,1346980
82,Sapper - Defuse The Bomb Simulator,55.40%,"2,052",0,63,1083070
83,Mechsprofit: Mech Tycoon Simulator,65.93%,"2,030",0,3,674890
84,Diner Bros,82.48%,"2,009",11,91,846800
86,Timeflow – Time & Money Sim,88.49%,"1,950",12,646,1005930
87,Accident: The Pilot,70.88%,"1,791",6,83,1292910
88,Prison Tycoon: Under New Management,59.91%,"1,781",2,105,1515460
89,Game Tycoon 2,50.00%,"1,727",0,969,404640
90,The Political Machine 2020,77.41%,"1,718",8,266,1188680
93,Idling to Rule the Gods,84.49%,"1,583",898,"2,783",466170
94,Zafehouse Diaries 2,67.39%,"1,566",0,89,653940
96,Little Lives,78.93%,"1,396",2,62,1505560
