,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","433,154","1,308,963",730
1,Grand Theft Auto V,82.79%,"2,336,535","83,811","364,548",271590
2,Left 4 Dead 2,96.42%,"865,195","15,451","162,399",550
3,Mount & Blade II: Bannerlord,86.17%,"737,748","11,542","248,216",261550
4,Euro Truck Simulator 2,96.64%,"659,530","18,457","61,081",227300
5,Sid Meier’s Civilization® VI,81.65%,"616,045","27,764","162,657",289070
6,Arma 3,89.33%,"610,379","14,633","56,679",107410
7,Garry's Mod,95.76%,"605,466","28,173","73,863",4000
8,Cities: Skylines,91.95%,"579,631","11,015","60,386",255710
9,RimWorld,96.82%,"464,522","31,405","50,907",294100
10,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","7,693","93,701",435150
11,Counter-Strike: Source,94.77%,"435,159","3,264","100,056",240
12,Stellaris,86.01%,"407,722","11,456","68,602",281990
13,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","22,283","69,906",489830
14,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",387,"22,614",10180
15,Factorio,97.37%,"331,424","11,163","34,700",427520
16,American Truck Simulator,94.81%,"315,375","6,086","19,153",270880
17,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,110","287,411",72850
18,Left 4 Dead,94.00%,"307,581",564,"30,616",500
19,Just Cause™ 3,79.83%,"302,613","1,576","23,459",225540
20,Scrap Mechanic,90.83%,"289,374","2,276","46,643",387990
21,XCOM® 2,83.18%,"285,411","5,139","133,022",268500
22,Kerbal Space Program,93.10%,"275,856","3,618","19,149",220200
23,BeamNG.drive,94.90%,"250,756","6,275","13,572",284160
24,House Flipper,90.71%,"194,016","1,999","10,899",613100
25,Prison Architect,89.34%,"193,132","1,200","16,211",233450
26,Sid Meier's Civilization® V,94.95%,"178,879","17,786","91,363",8930
27,Crusader Kings III,91.87%,"178,033","11,687","98,872",1158310
28,Tabletop Simulator,94.38%,"171,957","5,051","37,198",286160
29,ENDLESS™ Space 2,81.03%,"171,909",925,"53,435",392110
30,Mount & Blade: Warband,96.34%,"167,408","3,283","33,054",48700
31,Don't Starve,95.30%,"165,845","1,134","16,796",219740
32,Europa Universalis IV,84.74%,"165,520","17,409","48,165",236850
33,Sid Meier's Civilization®: Beyond Earth™,57.15%,"143,979",449,"86,892",65980
34,Farming Simulator 19,91.78%,"142,342","17,011","59,466",787860
35,Surviving Mars,82.71%,"138,495","1,109","23,744",464920
36,Assetto Corsa,89.38%,"136,976","5,222","11,691",244210
37,DRAGON BALL XENOVERSE 2,85.07%,"136,669",810,"19,416",454650
38,Outward,73.22%,"135,949",560,"11,296",794260
