,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","465,726","1,308,963",730
1,Mount & Blade II: Bannerlord,86.17%,"737,748","12,077","248,216",261550
2,Sid Meier’s Civilization® VI,81.65%,"616,045","28,878","162,657",289070
3,Arma 3,89.33%,"610,379","15,381","56,679",107410
4,Squad,86.61%,"497,710","5,207","15,338",393380
5,Total War: THREE KINGDOMS,69.70%,"461,869","2,896","192,298",779340
6,Counter-Strike: Source,94.77%,"435,159","3,542","100,056",240
7,Total War: WARHAMMER II,92.11%,"379,908","24,120","84,920",594570
8,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",402,"22,614",10180
9,This War of Mine,93.16%,"344,261",613,"9,503",282070
10,War Thunder,78.91%,"337,799","20,929","63,406",236390
11,Total War: WARHAMMER,76.75%,"323,369",726,"113,019",364360
12,World of Warships,80.32%,"321,709","5,422","379,096",552990
13,Northgard,86.40%,"301,336","1,918","15,592",466560
14,Totally Accurate Battle Simulator,96.25%,"296,159","2,166","13,674",508440
15,Middle-earth™: Shadow of War™,85.06%,"290,587","2,088","68,183",356190
16,Heroes & Generals,67.21%,"287,451","1,416","21,026",227940
17,Hearts of Iron IV,90.59%,"272,158","28,624","46,806",394360
18,Insurgency,90.40%,"271,988",596,"121,575",222880
19,Black Squad,75.99%,"260,757","1,069","15,939",550650
20,FOR HONOR™,66.32%,"256,503","3,678","225,831",304390
21,Warface,67.77%,"247,197","1,997","13,867",291480
22,Call of Duty®: WWII,62.66%,"244,891",202,"19,406",476600
23,Mad Max,89.84%,"215,925",542,"33,356",234140
24,PlanetSide 2,80.97%,"212,979","2,124","29,676",218230
25,Insurgency: Sandstorm,83.26%,"211,997","2,189","14,606",581320
26,Sniper Elite 4,88.14%,"208,208",962,"15,101",312660
27,Hell Let Loose,81.18%,"196,146","6,271","14,190",686810
28,DCS World Steam Edition,81.69%,"187,024","1,056","3,044",223750
29,Crusader Kings III,91.87%,"178,033","12,307","98,872",1158310
30,ENDLESS™ Space 2,81.03%,"171,909",982,"53,435",392110
31,Verdun,83.99%,"171,638",208,"4,541",242860
33,ELEX,73.17%,"157,235",627,"22,969",411300
34,Post Scriptum,74.33%,"151,255",400,"7,753",736220
35,Rising Storm 2: Vietnam,84.31%,"142,087","1,011","24,518",418460
36,Black Desert,74.46%,"140,901","20,614","60,395",582660
37,Company of Heroes 2,77.02%,"135,908","6,038","164,688",231430
38,World War 3,60.73%,"135,083",18,"11,108",674020
39,Arma 2,80.26%,"134,422",5,991,33900
40,Foxhole,80.39%,"133,390","3,020","5,709",505460
41,Total War™: ROME II - Emperor Edition,78.54%,"130,671","5,397","118,240",214950
42,Call of Duty®: Black Ops II,83.95%,"123,438",186,"18,277",202970
43,Total War: ATTILA,78.38%,"121,279","1,988","26,346",325610
44,World of Tanks Blitz,79.02%,"118,293","10,226","48,598",444200
45,"Warhammer 40,000: Dawn of War III",46.94%,"117,822",109,"25,676",285190
46,Gear Up,72.73%,"115,992",5,"2,743",214420
47,Arma 2: Operation Arrowhead,90.24%,"115,686",278,"19,175",33930
48,ACE COMBAT™ 7: SKIES UNKNOWN,83.65%,"115,196",311,"13,758",502500
49,Wolfenstein: The New Order,89.00%,"111,197",578,"11,986",201810
51,Sniper Elite 3,79.95%,"110,619",168,"10,861",238090
52,Age of Empires® III (2007),88.82%,"109,135","1,016","9,490",105450
53,Men of War: Assault Squad 2,88.43%,"105,437","1,438","9,750",244450
54,Naval Action,62.62%,"104,432",795,"5,222",311310
55,Iron Harvest,70.22%,"101,513",765,"8,164",826630
56,A Total War Saga: THRONES OF BRITANNIA,66.13%,"101,033",448,"22,797",712100
57,Day of Infamy,81.22%,"100,760",74,"9,210",447820
58,Ravenfield,94.83%,"100,043",822,"3,939",636480
59,Homefront®: The Revolution,58.00%,"97,544",69,"4,365",223100
60,Ryse: Son of Rome,83.77%,"96,693",81,"3,257",302510
61,Imperator: Rome,56.72%,"96,337",780,"41,945",859580
62,RUNNING WITH RIFLES,85.64%,"92,471",117,"14,149",270150
63,Command & Conquer™ Remastered Collection,89.10%,"91,422",852,"42,587",1213210
64,Ultimate Epic Battle Simulator,72.27%,"90,176",106,"10,326",616560
65,Call to Arms,76.61%,"87,796",312,"2,882",302670
66,Galactic Civilizations III,75.01%,"87,606",400,"6,297",226860
67,Argo,50.48%,"84,920",51,"6,659",530700
68,Call of Duty®: Advanced Warfare - Gold Edition,62.16%,"84,489",30,"12,675",209650
69,Battlefield V,66.10%,"83,357","2,427","30,881",1238810
70,Call of Duty: World at War,91.33%,"82,877",614,"4,825",10090
71,Game of Thrones - A Telltale Games Series,74.51%,"81,296",9,"6,771",330840
72,Battlefleet Gothic: Armada,67.01%,"80,066",35,"9,253",363680
73,Zombie Army Trilogy,85.60%,"79,674",61,"4,320",301640
74,Battlefield: Bad Company™ 2,84.03%,"79,644",131,"21,923",24960
75,Planetary Annihilation: TITANS,81.90%,"79,347",256,"4,577",386070
76,Freeman: Guerrilla Warfare,75.92%,"78,842",56,"2,127",773951
77,Holdfast: Nations At War,87.45%,"78,646",398,"2,833",589290
78,Sniper Ghost Warrior 3,63.59%,"78,220",291,"4,086",368070
79,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,90.76%,"76,938",227,"16,551",35450
80,Age of Wonders: Planetfall,77.82%,"76,367",495,"10,462",718850
81,Valkyria Chronicles™,88.36%,"73,921",62,"5,039",294860
82,Ancestors Legacy,77.31%,"73,018",71,"4,940",620590
83,Call of Duty®: Modern Warfare® Remastered,61.31%,"70,885",55,"1,409",393080
84,Steel Division: Normandy 44,71.84%,"70,236",116,"4,678",572410
85,BATTALION 1944,60.60%,"67,666",1,"16,771",489940
86,From the Depths,87.43%,"66,625",517,"1,700",268650
87,Wolfenstein: The Old Blood,86.57%,"65,250",206,"3,064",350080
89,MechWarrior Online™ Solaris 7,75.96%,"62,259",892,"4,155",342200
90,Art of War: Red Tides,76.94%,"61,692",11,"4,031",558100
91,War of Rights,82.61%,"60,786",136,"1,327",424030
92,Call of Duty®: Infinite Warfare,49.62%,"60,071",173,"15,417",292730
93,Ultimate General: Civil War,86.29%,"59,813",652,"1,678",502520
94,America's Army: Proving Grounds,77.05%,"58,839",327,"3,073",203290
95,Worms W.M.D,80.61%,"58,802",635,"4,767",327030
96,Call of Duty®: Black Ops,88.38%,"58,545",593,"63,343",42700
97,Wargame: Red Dragon,86.94%,"58,442",800,"4,779",251060
98,STAR WARS™ Empire at War - Gold Pack,95.05%,"56,993","1,738","5,716",32470
99,Cold Waters,82.58%,"56,825",203,865,541210
