,Name,Rating,Followers,Online,Peak,id
0,Rocket League®,88.29%,"618,696","36,068","147,632",252950
1,Football Manager 2019,84.19%,"63,148","3,808","75,982",872790
2,Football Manager 2020,87.20%,"58,844","12,867","189,464",1100600
3,EA SPORTS™ FIFA 21,73.37%,"55,359","23,257","44,388",1313860
4,Football Manager 2017,58.28%,"53,449","1,466","72,824",482730
5,Football Manager 2021,91.11%,"49,031","64,612","93,865",1263850
6,eFootball PES 2020,69.53%,"45,535","1,725","21,018",996470
7,eFootball PES 2021 SEASON UPDATE,72.16%,"29,198","13,560","20,674",1259970
8,PRO EVOLUTION SOCCER 2019,52.73%,"19,699",242,"6,551",770240
9,Captain Tsubasa: Rise of New Champions,60.75%,"16,999",100,"4,442",1163550
10,PRO EVOLUTION SOCCER 2018,60.47%,"16,061",109,"7,082",592580
11,Kopanito All-Stars Soccer,80.77%,"12,143",13,422,399820
12,Altitude,87.80%,"12,063",5,"4,940",41300
13,"Football, Tactics & Glory",87.25%,"11,157",103,740,375530
14,Supraball,75.47%,"10,535",0,"3,329",321400
16,FootLOL: Epic Fail League,79.64%,"5,208",0,"1,310",263740
17,PRO EVOLUTION SOCCER 2018 LITE,49.83%,"5,034",1,"1,695",592600
18,Ball 3D,79.18%,"4,794",90,"1,116",485610
20,PRO EVOLUTION SOCCER 2019 LITE,60.20%,"4,431",2,"2,451",950100
21,WE ARE FOOTBALL,70.06%,"4,374",601,"3,905",1196470
22,ACE - Arena: Cyber Evolution,64.77%,"4,100",0,288,285580
23,Soccer Manager 2020,72.78%,"3,473",85,"1,126",1078730
24,Ultraball,-,"2,989",0,8,708030
25,Soccer Manager 2021,68.61%,"2,769",576,"1,187",1448530
26,Robot Soccer Challenge,64.53%,"2,709",0,5,580820
27,Soccer Manager 2016,67.12%,"2,694",0,"1,031",407120
28,Soccer Manager 2015,66.14%,"2,632",0,715,356370
29,Pixel Cup Soccer 17,81.54%,"2,383",0,90,492340
30,Soccer Manager 2017,63.89%,"2,034",0,847,510630
31,Tennis Manager 2021,75.33%,"2,010",25,338,1433010
32,Football Manager 2020 Touch,82.20%,"2,007",391,"4,641",1100620
33,Football Manager 2019 Touch,76.65%,"1,760",111,"1,792",872820
34,Super Arcade Football,65.85%,"1,678",1,17,420550
