,Name,Rating,Followers,Online,Peak,id
0,Sea of Thieves,89.02%,"296,979","12,051","66,906",1172620
1,ATLAS,46.77%,"166,006",967,"58,939",834910
2,Blackwake,81.10%,"129,829",38,"6,159",420290
3,Assassin’s Creed® IV Black Flag™,87.95%,"120,289",712,"16,049",242050
4,Pillars of Eternity II: Deadfire,85.09%,"117,087",875,"22,724",560130
5,Naval Action,62.61%,"104,423",794,"5,222",311310
6,Worlds Adrift,61.60%,"80,396",0,"2,057",322780
7,Skull & Bones™,-,"71,558",0,1,370010
8,Salt,75.27%,"68,046",2,363,327860
9,Assassin’s Creed® Rogue,81.88%,"65,914",168,"2,371",311560
10,Return of the Obra Dinn,94.20%,"61,277",72,"1,256",653530
11,Windward,77.48%,"58,881",12,"3,510",326410
12,One Piece Pirate Warriors 3,78.31%,"53,629",62,"4,274",331600
13,Sins of a Solar Empire®: Rebellion,90.57%,"52,912",538,"93,109",204880
14,Space Pirates And Zombies 2,76.64%,"52,490",17,"2,283",252470
15,Abandon Ship,72.27%,"43,681",12,734,551860
16,ONE PIECE: PIRATE WARRIORS 4,88.51%,"40,832",447,"9,219",1089090
17,Tempest: Pirate Action RPG,68.44%,"35,643",21,"1,109",418180
18,ArcheAge,51.95%,"33,729",74,"6,509",304030
19,The Last Leviathan,66.95%,"29,357",2,266,489460
20,Risen 3 - Titan Lords,71.61%,"26,910",116,"8,011",249230
21,One Piece Burning Blood,75.71%,"26,197",19,857,425220
22,"Pirates, Vikings, and Knights II",84.65%,"25,733",25,878,17570
23,The Pirate: Caribbean Hunt,78.62%,"25,424",69,"1,968",512470
24,Port Royale 4,58.77%,"23,196",118,"1,934",1024650
25,Man O' War: Corsair - Warhammer Naval Battles,60.96%,"20,967",1,196,344240
26,Pixel Piracy,63.06%,"20,486",3,"2,176",264140
27,Assassin's Creed Freedom Cry,73.28%,"19,990",13,447,277590
28,ONE PIECE World Seeker,72.50%,"19,747",15,"1,233",755500
29,Shantae and the Pirate's Curse,89.48%,"19,501",10,490,345820
30,Maelstrom,79.65%,"19,198",5,"1,327",764050
31,Blazing Sails,85.43%,"16,458",65,"1,680",1158940
32,Buoyancy,74.29%,"16,154",9,294,1012610
33,Void Destroyer 2,79.62%,"15,882",1,264,369530
34,King of Seas,56.02%,"14,187",48,"1,138",1209410
35,Risen 2: Dark Waters,76.84%,"13,518",110,"10,867",40390
36,Landless,49.78%,"13,031",0,37,617030
37,Space Pirate Trainer,90.47%,"12,055",27,229,418650
38,Out of Reach: Treasure Royale,63.47%,"10,644",0,129,867400
39,Distant Star: Revenant Fleet,62.97%,"10,357",0,82,335830
40,Nantucket,75.21%,"10,211",2,"1,261",621220
41,Feral Blue,60.91%,"10,198",0,81,618100
42,Sid Meier's Pirates!,90.78%,"10,035",103,"1,342",3920
43,Forsaken Isle,56.36%,"9,994",0,101,347940
44,Astrox: Hostile Space Excavation,78.85%,"9,652",1,138,414720
45,Flinthook,71.84%,"9,644",1,459,401710
46,Gothic II: Gold Edition,88.84%,"9,075",401,788,39510
47,Sea Dogs: To Each His Own - Pirate Open World RPG,73.09%,"8,391",128,449,223330
48,Blood and Gold: Caribbean!,59.38%,"7,706",7,497,413710
49,Unearned Bounty,64.08%,"7,242",0,142,377260
50,The Secret of Monkey Island: Special Edition,91.72%,"7,151",46,746,32360
52,The Curse of Monkey Island,92.21%,"6,232",41,374,730820
53,Port Royale 3,70.50%,"6,033",72,614,205610
55,The Falconeer,73.85%,"5,684",4,67,1135260
56,LEGO® Pirates of the Caribbean: The Video Game,85.19%,"5,274",99,371,311770
57,Giant Life,69.91%,"5,246",0,4,1081250
58,The Pirate: Plague of the Dead,71.74%,"5,025",11,398,723790
59,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,90.41%,"4,909",20,"1,813",32460
60,Space Pirates and Zombies,87.63%,"4,847",16,"3,735",107200
61,Pirates Outlaws,80.37%,"4,462",11,255,1046300
62,Shadowhand: RPG Card Game,78.18%,"4,344",7,231,427490
63,Hero of the Kingdom II,89.98%,"4,156",5,776,346560
64,Hero-U: Rogue to Redemption,86.08%,"4,067",0,209,375440
65,BATTLECREW™ Space Pirates,52.87%,"4,000",0,153,411480
66,Sins of a Solar Empire: Trinity®,72.35%,"3,824",16,957,201290
