,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","381,069","1,295,114",570
1,The Witcher® 3: Wild Hunt,97.05%,"786,023","14,714","103,329",292030
2,Monster Hunter: World,83.48%,"745,080","12,485","334,684",582010
3,Total War: THREE KINGDOMS,69.70%,"461,869","3,067","192,298",779340
4,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,560","93,701",435150
5,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,669","69,906",489830
6,The Elder Scrolls® Online,80.65%,"394,490","20,727","49,234",306130
7,Total War: WARHAMMER II,92.11%,"379,908","25,772","84,920",594570
8,Baldur's Gate 3,86.61%,"353,419","2,294","73,980",1086940
9,Paladins®,85.03%,"331,872","10,459","60,743",444090
10,Total War: WARHAMMER,76.75%,"323,369",794,"113,019",364360
11,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,709","287,411",72850
12,Darkest Dungeon®,89.51%,"302,542","4,259","19,357",262060
13,Totally Accurate Battle Simulator,96.25%,"296,159","2,150","13,674",508440
14,Middle-earth™: Shadow of War™,85.06%,"290,587","2,265","68,183",356190
15,Conan Exiles,77.48%,"277,541","9,448","53,402",440900
16,Minion Masters,90.06%,"265,476",843,"10,329",489520
17,FOR HONOR™,66.32%,"256,503","3,993","225,831",304390
18,Path of Exile,89.92%,"241,945","36,963","157,103",238960
19,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",572,"29,498",637650
20,Dungeon Defenders II,75.26%,"234,496",815,"18,785",236110
22,Grim Dawn,91.74%,"223,388","2,871","61,458",219990
23,Slime Rancher,96.08%,"221,645","1,851","6,452",433340
24,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",530,"48,668",241930
25,KurtzPel,62.65%,"214,588",392,"11,937",844870
26,Ori and the Blind Forest,93.70%,"213,863",109,"13,108",261570
27,Warhammer: End Times - Vermintide,78.35%,"211,417",106,"24,700",235540
28,BIOMUTANT,67.29%,"210,413",266,"55,048",597820
29,Warhammer: Vermintide 2,81.50%,"199,384","3,883","73,316",552500
30,Wolcen: Lords of Mayhem,55.62%,"192,095",889,"127,542",424370
31,Dragon's Dogma: Dark Arisen,87.84%,"189,412",726,"27,368",367500
32,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,816","12,106",335300
33,Hellblade: Senua's Sacrifice,89.88%,"183,286",123,"5,653",414340
34,Slay the Spire,96.40%,"178,205","7,420","33,086",646570
35,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",913,"46,550",1172380
36,鬼谷八荒,86.35%,"170,182","1,384","184,171",1468810
37,Portal Knights,81.02%,"168,215",187,"6,545",374040
38,Mount & Blade: Warband,96.34%,"167,408","3,791","33,054",48700
39,ATLAS,46.77%,"166,019","1,260","58,939",834910
40,Disco Elysium - The Final Cut,92.42%,"163,866","1,733","8,081",632470
41,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"162,979",916,"7,185",349040
42,GreedFall,77.26%,"162,378",331,"16,345",606880
43,Pillars of Eternity,85.98%,"158,922",739,"41,906",291650
44,ELEX,73.17%,"157,235",735,"22,969",411300
45,Artifact,46.90%,"152,783",21,"60,646",583950
46,Dark and Light,54.24%,"151,382",228,"14,089",529180
47,ENDLESS™ Legend,82.56%,"147,291",336,"10,468",289130
48,Castle Crashers®,94.63%,"146,567",550,"16,013",204360
49,Sword Art Online: Fatal Bullet,77.83%,"145,791",119,"21,727",626690
50,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",393,"10,649",485510
51,Ori and the Will of the Wisps,94.75%,"142,463",446,"34,807",1057090
52,Black Desert,74.46%,"140,901","21,450","60,395",582660
53,Brawlhalla,83.87%,"139,643","23,853","34,816",291550
54,RWBY: Grimm Eclipse,79.97%,"136,592",6,"3,298",418340
55,Outward,73.22%,"135,949",581,"11,296",794260
56,Tales of Zestiria,80.50%,"132,519",84,"9,696",351970
57,Mortal Kombat X,80.39%,"131,055",357,"15,743",307780
58,Stonehearth,74.58%,"130,698",186,"1,851",253250
59,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",401,"11,259",211420
60,Divinity: Original Sin - Enhanced Edition,88.33%,"128,891",753,"7,565",373420
61,BioShock Infinite,93.88%,"124,652",534,"65,332",8870
62,For The King,86.88%,"120,832","1,185","9,625",527230
63,Savage Lands,55.60%,"120,441",8,"2,157",307880
64,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",416,"9,079",387290
65,JUMP FORCE,71.10%,"118,753",313,"9,885",816020
66,DARK SOULS™ II,87.50%,"117,175",298,"79,528",236430
67,Pillars of Eternity II: Deadfire,85.08%,"117,078",913,"22,724",560130
68,FaceRig,80.11%,"113,112",948,"3,554",274920
69,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",170,"10,805",589360
70,Tales of Berseria™,90.11%,"111,791",281,"8,085",429660
71,Bless Online,38.43%,"111,351",0,"34,392",681660
73,SCP: Secret Laboratory,90.19%,"108,404","4,791","7,679",700330
74,South Park™: The Stick of Truth™,95.69%,"108,056",234,"34,811",213670
75,Tyranny,84.52%,"107,272",158,"15,792",362960
76,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,719","22,643",640820
77,Hyper Light Drifter,91.37%,"105,909",48,"4,954",257850
78,Neverwinter,76.57%,"105,431","2,191","14,866",109600
79,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,382","25,852",851850
80,Graveyard Keeper,83.43%,"103,836",892,"16,993",599140
81,Bayonetta,89.65%,"102,934",103,"4,194",460790
82,SpellForce 3,72.41%,"102,877",149,"8,932",311290
83,Darksiders III,73.98%,"102,635",335,"7,730",606280
84,The Sims™ 4,87.95%,"100,969","10,191","25,403",1222670
85,DRAGON BALL XENOVERSE,86.44%,"97,809",57,"22,850",323470
86,Mutant Year Zero: Road to Eden,88.53%,"97,706",45,"4,067",760060
87,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",718,"13,263",359870
88,Ryse: Son of Rome,83.77%,"96,693",95,"3,257",302510
89,Bless Unleashed,51.84%,"96,298","27,848","76,342",1254120
90,DARK SOULS™: REMASTERED,86.11%,"95,652","2,625","24,501",570940
91,Craft The World,85.67%,"95,647",299,"3,283",248390
92,Torchlight II,91.67%,"93,820",354,"54,821",200710
94,Marvel's Avengers,65.40%,"91,101","1,441","31,165",997070
95,Armello,80.42%,"90,904",199,"3,614",290340
96,FINAL FANTASY XIV Online,86.85%,"90,586","53,053","67,148",39210
97,Ultimate Epic Battle Simulator,72.27%,"90,176",109,"10,326",616560
98,古剑奇谭三(Gujian3),84.32%,"89,790",181,"10,183",994280
99,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",760,"12,884",20920
