,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","28,744","247,709",218620
1,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","81,917","3,257,248",578080
2,Dead by Daylight,81.53%,"1,298,168","53,270","105,093",381210
3,Dying Light: Enhanced Edition,93.98%,"603,769","4,001","45,876",239140
4,Tom Clancy’s The Division™,67.96%,"472,315",410,"114,228",365590
5,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,334","125,315",814380
6,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","22,824","69,906",489830
7,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459",954,"45,704",460930
8,Far Cry® 5,78.14%,"374,607","8,318","92,445",552520
9,Rise of the Tomb Raider™,92.63%,"368,952","1,250","44,588",391220
10,Baldur's Gate 3,86.61%,"353,419","2,236","73,980",1086940
11,Metro Exodus,86.81%,"348,587",855,"15,375",412020
12,This War of Mine,93.16%,"344,261",605,"9,503",282070
13,Assassin's Creed® Origins,84.92%,"310,838",827,"41,551",582160
14,Watch_Dogs® 2,81.33%,"296,713",303,"18,138",447040
15,Middle-earth™: Shadow of War™,85.06%,"290,587","2,043","68,183",356190
16,Assassin's Creed® Odyssey,87.59%,"277,672","2,782","62,069",812140
17,Far Cry® 4,80.87%,"269,607",595,"16,963",298110
18,Evolve Stage 2,67.03%,"263,159",18,"51,127",273350
19,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,562","91,195",287700
20,GTFO,86.64%,"236,110",468,"5,247",493520
21,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,072","38,268",750920
22,HITMAN™ 2,89.37%,"231,772","1,371","361,001",863550
23,Dishonored 2,85.14%,"219,057","1,441","22,411",403640
24,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",472,"48,668",241930
25,Sniper Elite 4,88.14%,"208,208",937,"15,101",312660
26,Friday the 13th: The Game,77.50%,"207,391",847,"16,096",438740
27,Far Cry® Primal,81.41%,"203,247",237,"14,783",371660
28,DEATH STRANDING,91.89%,"202,696","1,117","32,515",1190460
29,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","2,881","56,557",1151640
30,HITMAN™,80.89%,"195,303",186,"51,650",236870
31,Mafia III: Definitive Edition,54.85%,"184,243",478,"47,822",360430
32,Tomb Raider,95.16%,"175,016",928,"89,538",203160
33,Assassin's Creed® Unity,71.33%,"172,839",246,"12,180",289650
34,Assassin's Creed® Syndicate,77.22%,"170,210",203,"4,729",368500
35,We Happy Few,73.40%,"168,153",108,"3,498",320240
36,RAID: World War II,51.11%,"166,893",5,"1,530",414740
37,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",165,"5,037",418240
38,Prey,88.45%,"161,647",607,"24,594",480490
39,INSIDE,94.26%,"161,351",56,"4,170",304430
40,Little Nightmares,92.73%,"152,199",636,"78,169",424840
41,A Plague Tale: Innocence,92.08%,"151,055",174,"4,058",752590
42,Vampyr,74.29%,"146,859",160,"16,120",427290
43,Deus Ex: Mankind Divided,72.84%,"146,537",461,"52,485",337000
44,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
45,PAYDAY™ The Heist,91.45%,"143,029",37,"50,316",24240
46,Batman™: Arkham Knight,79.91%,"142,276","1,073","27,406",208650
47,Generation Zero®,64.88%,"137,603",499,"11,416",704270
48,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",289,"5,174",859570
49,The Escapists 2,87.54%,"132,999",311,"11,202",641990
50,Alien: Isolation,91.18%,"131,821",226,"10,870",214490
51,Far Cry 3,88.81%,"128,538",586,"23,065",220240
52,DESOLATE,67.27%,"123,359",49,"1,832",671510
53,SOMA,93.76%,"120,403",96,"4,072",282140
54,Assassin’s Creed® IV Black Flag™,87.95%,"120,276",498,"16,049",242050
55,Wolfenstein II: The New Colossus,77.06%,"114,146",458,"16,141",612880
56,Hello Neighbor,76.74%,"113,472",104,"1,414",521890
