,Name,Rating,Followers,Online,Peak,id
0,Warframe,89.62%,"755,374","67,441","189,837",230410
1,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,608","6,995","125,315",814380
2,Kenshi,92.95%,"204,124","3,746","10,579",233860
3,Shadow Tactics: Blades of the Shogun,94.06%,"166,417",534,"5,037",418240
4,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"163,019","1,364","7,185",349040
5,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,513",754,"10,649",485510
6,Shadow Warrior 2,86.00%,"141,053",189,"12,634",324800
7,NARUTO TO BORUTO: SHINOBI STRIKER,83.04%,"91,472","1,262","6,310",633230
8,Aragami,87.83%,"83,268",53,"1,713",280160
9,Katana ZERO,96.29%,"74,345",184,"1,575",460950
10,Desperados III,93.87%,"71,673",310,"6,057",610370
11,DEAD OR ALIVE 5 Last Round: Core Fighters,64.89%,"65,171",51,"2,827",311730
12,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,016",36,"1,088",502800
13,DEAD OR ALIVE 6,70.94%,"50,477",156,"2,107",838380
14,SENRAN KAGURA SHINOVI VERSUS,90.93%,"48,523",8,"1,048",411830
15,Overgrowth,74.49%,"37,614",19,606,25000
16,Action Taimanin,82.32%,"34,823",965,"2,894",1335200
17,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,87.60%,"34,017",70,"4,713",234670
18,Shadow Warrior,90.64%,"33,299",41,"25,890",233130
19,METAL GEAR RISING: REVENGEANCE,91.30%,"31,310",126,"12,205",235460
20,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,81.39%,"31,072",20,"6,831",272510
21,Mark of the Ninja,94.43%,"26,501",10,"5,066",214560
22,The Messenger,91.43%,"25,722",42,679,764790
23,Sword With Sauce,81.93%,"23,720",10,464,581630
24,Blade Symphony,64.82%,"19,122",0,"3,155",225600
25,SENRAN KAGURA Burst Re:Newal,87.59%,"16,741",12,334,889510
26,Sairento VR,82.68%,"16,502",4,98,555880
27,NEKO-NIN exHeart,89.58%,"16,065",2,89,407310
28,Mark of the Ninja: Remastered,92.53%,"15,886",61,687,860950
30,Onimusha: Warlords,88.65%,"14,592",10,526,761600
31,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,72.88%,"13,696",43,"1,603",1580780
33,Ninja Way,65.58%,"11,873",0,22,735450
34,NinNinDays,87.66%,"10,955",1,240,1075980
35,N++ (NPLUSPLUS),90.35%,"10,247",26,522,230270
37,Way of the Samurai 3,73.36%,"9,401",10,235,427510
38,Nitroplus Blasterz: Heroines Infinite Duel,84.17%,"9,387",1,250,482450
39,SENRAN KAGURA Bon Appétit! - Full Course,87.63%,"9,136",2,78,514310
40,Cyber Shadow,77.94%,"8,509",10,490,861250
41,RONIN,67.88%,"8,252",1,236,274230
42,Mini Ninjas,85.19%,"7,467",16,255,35000
43,La-Mulana,77.53%,"7,320",9,794,230700
44,STRIDER™ / ストライダー飛竜®,80.47%,"7,304",5,839,235210
45,The LEGO® NINJAGO® Movie Video Game,82.57%,"6,849",162,"5,434",640590
46,Armed with Wings: Rearmed,82.60%,"6,783",0,524,340580
47,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,84.35%,"6,244",53,189,543870
48,9 Monkeys of Shaolin,82.19%,"6,086",1,160,739080
50,Nightshade／百花百狼,90.82%,"5,373",4,220,512180
51,Shadow Warrior Classic Redux,87.12%,"5,365",8,283,225160
52,Black & White Bushido,64.05%,"5,290",0,15,404050
53,Sumoman,76.58%,"5,251",4,28,552970
54,NARUTO: Ultimate Ninja STORM,71.11%,"5,248",86,550,495140
55,Sengoku Jidai: Shadow of the Shogun,71.73%,"4,658",2,60,397190
57,Super House of Dead Ninjas,90.74%,"4,515",2,282,224820
58,YAIBA: NINJA GAIDEN Z,62.47%,"4,473",0,121,252230
59,Nelo,68.57%,"4,465",0,17,537000
60,Shadow Warrior Classic (1997),88.38%,"4,463",3,374,238070
61,Disgraced,74.77%,"4,291",0,44,485360
62,Within the blade,81.65%,"4,273",1,"1,433",622870
63,The Sandbox Evolution - Craft a 2D Pixel Universe!,47.95%,"4,161",6,83,466940
64,Boomerang X,85.87%,"3,790",11,85,1170060
66,Dread Templar,75.71%,"3,589",52,66,1334730
67,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,66.52%,"3,438",52,722,1580790
68,DDraceNetwork,91.13%,"3,372","1,749","1,924",412220
69,Master Spy,75.44%,"3,318",0,40,331190
70,Teenage Mutant Ninja Turtles™: Out of the Shadows,53.77%,"3,231",2,467,228560
73,KUNAI,76.61%,"2,882",2,98,1001800
74,Straimium Immortaly,82.31%,"2,748",0,79,515650
75,Ninja Kiwi Archive,89.57%,"2,669",311,639,1275350
76,[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge,67.92%,"2,497",73,647,1369760
77,~Azur Ring~virgin and slave's phylacteries,66.93%,"2,455",2,76,880220
78,Ninja Tycoon,69.29%,"2,411",0,139,779330
80,Stealthy ninja,50.00%,"2,347",0,6,1381780
81,Shing!,76.75%,"2,300",5,67,1103730
82,Shades of Sakura,67.38%,"2,205",2,289,1678140
83,Swords of Gurrah,79.80%,"2,174",11,124,833090
84,Shadow Blade: Reload,81.45%,"1,990",2,53,272330
85,Ninja Avenger Dragon Blade,57.21%,"1,868",0,43,603790
86,Moe! Ninja Girls,70.40%,"1,860",4,40,793150
