,Name,Rating,Followers,Online,Peak,id
0,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","97,647","3,257,248",578080
1,Grand Theft Auto V,82.79%,"2,336,535","96,238","364,548",271590
2,Dead by Daylight,81.53%,"1,298,168","56,841","105,093",381210
3,Fallout 4,78.77%,"846,011","19,979","472,962",377160
4,The Witcher® 3: Wild Hunt,97.05%,"786,023","14,549","103,329",292030
5,Warframe,89.62%,"755,251","42,845","189,837",230410
6,Monster Hunter: World,83.48%,"745,080","12,441","334,684",582010
7,Mount & Blade II: Bannerlord,86.17%,"737,748","12,929","248,216",261550
8,Euro Truck Simulator 2,96.64%,"659,530","24,175","61,081",227300
9,DARK SOULS™ III,93.01%,"562,806","11,105","129,975",374320
10,ASTRONEER,89.34%,"480,297","1,667","17,986",361420
11,Tom Clancy’s The Division™,67.96%,"472,315",454,"114,228",365590
12,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,405","125,315",814380
13,Red Dead Redemption 2,85.24%,"411,084","14,369","55,271",1174180
14,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,596","69,906",489830
15,The Elder Scrolls® Online,80.65%,"394,490","20,622","49,234",306130
16,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,012","45,704",460930
17,Rise of the Tomb Raider™,92.63%,"368,952","1,372","44,588",391220
18,Chivalry: Medieval Warfare,81.24%,"367,886",199,"25,145",219640
19,Assassin's Creed® Origins,84.92%,"310,838",894,"41,551",582160
20,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,683","287,411",72850
21,Just Cause™ 3,79.83%,"302,613","1,704","23,459",225540
22,Watch_Dogs® 2,81.33%,"296,713",301,"18,138",447040
23,SCUM,72.18%,"294,185","10,110","68,322",513710
24,Middle-earth™: Shadow of War™,85.06%,"290,587","2,263","68,183",356190
25,Scrap Mechanic,90.83%,"289,374","2,730","46,643",387990
26,Besiege,93.79%,"281,869",260,"11,206",346010
27,Assassin's Creed® Odyssey,87.59%,"277,672","3,018","62,069",812140
28,Planet Coaster,89.16%,"274,862","2,054","21,971",493340
29,Resident Evil 2,95.77%,"263,717",808,"74,227",883710
30,Evolve Stage 2,67.03%,"263,159",18,"51,127",273350
31,FOR HONOR™,66.32%,"256,503","3,985","225,831",304390
32,Life is Strange - Episode 1,95.03%,"255,042",386,"18,260",319630
33,BeamNG.drive,94.90%,"250,756","6,991","13,572",284160
34,NARAKA: BLADEPOINT,67.75%,"249,815","21,746","70,731",1203220
35,Risk of Rain 2,95.19%,"248,653","6,130","71,548",632360
36,Hurtworld,75.07%,"243,334",273,"13,333",393420
37,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,689","91,195",287700
38,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",577,"29,498",637650
39,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,222","38,268",750920
40,Dungeon Defenders II,75.26%,"234,496",811,"18,785",236110
41,Gang Beasts,75.42%,"232,178",471,"3,062",285900
42,HITMAN™ 2,89.37%,"231,772","1,502","361,001",863550
43,SMITE®,79.66%,"230,829","16,975","31,169",386360
45,Devil May Cry 5,92.69%,"218,904",527,"88,894",601150
46,Mad Max,89.84%,"215,925",625,"33,356",234140
47,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",521,"48,668",241930
48,KurtzPel,62.65%,"214,588",391,"11,937",844870
49,BIOMUTANT,67.29%,"210,413",266,"55,048",597820
50,Sniper Elite 4,88.14%,"208,208","1,103","15,101",312660
51,Friday the 13th: The Game,77.50%,"207,391",912,"16,096",438740
52,DEATH STRANDING,91.89%,"202,696","1,214","32,515",1190460
53,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","3,037","56,557",1151640
54,HITMAN™,80.89%,"195,303",213,"51,650",236870
55,Dragon's Dogma: Dark Arisen,87.84%,"189,412",718,"27,368",367500
56,Grounded,84.80%,"186,347","2,155","32,012",962130
57,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,797","12,106",335300
58,Mafia III: Definitive Edition,54.85%,"184,243",541,"47,822",360430
59,Hellblade: Senua's Sacrifice,89.88%,"183,286",123,"5,653",414340
60,Dyson Sphere Program,95.90%,"182,895","5,133","59,815",1366540
61,Getting Over It with Bennett Foddy,81.08%,"177,602",404,"5,054",240720
62,Tomb Raider,95.16%,"175,016","1,041","89,538",203160
63,Assassin's Creed® Unity,71.33%,"172,839",282,"12,180",289650
64,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",902,"46,550",1172380
65,MORDHAU,81.35%,"171,629","2,938","60,204",629760
66,Assassin's Creed® Syndicate,77.22%,"170,210",240,"4,729",368500
67,Portal Knights,81.02%,"168,215",187,"6,545",374040
68,Mount & Blade: Warband,96.34%,"167,408","3,709","33,054",48700
69,TEKKEN 7,81.66%,"166,853","3,771","18,966",389730
70,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",208,"5,037",418240
71,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"162,979",924,"7,185",349040
72,GreedFall,77.26%,"162,378",331,"16,345",606880
73,ELEX,73.17%,"157,235",736,"22,969",411300
74,Little Nightmares,92.73%,"152,199",707,"78,169",424840
75,CODE VEIN,86.15%,"151,661",527,"33,895",678960
76,A Plague Tale: Innocence,92.08%,"151,055",211,"4,058",752590
77,Craftopia,78.93%,"149,269",432,"27,246",1307550
78,The Isle,81.26%,"148,944","4,512","11,973",376210
79,Vampyr,74.29%,"146,859",171,"16,120",427290
80,Sword Art Online: Fatal Bullet,77.83%,"145,791",119,"21,727",626690
81,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",389,"10,649",485510
82,Batman™: Arkham Knight,79.91%,"142,276","1,114","27,406",208650
83,Resident Evil 3,75.82%,"141,564",323,"60,293",952060
84,Temtem,85.88%,"139,665",965,"39,572",745920
85,LEGO® Worlds,75.78%,"139,002",313,"4,911",332310
86,DRAGON BALL XENOVERSE 2,85.07%,"136,669",872,"19,416",454650
87,RWBY: Grimm Eclipse,79.97%,"136,592",6,"3,298",418340
88,Outward,73.22%,"135,949",586,"11,296",794260
89,Fallout: New Vegas,95.09%,"135,706","7,140","51,038",22380
90,The Crew™ 2,78.57%,"135,701","1,539","12,748",646910
91,Arma 2,80.26%,"134,422",4,991,33900
92,Tales of Zestiria,80.50%,"132,519",84,"9,696",351970
93,Mortal Kombat X,80.39%,"131,055",357,"15,743",307780
94,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",400,"11,259",211420
95,Steep™,79.99%,"125,268",99,"2,113",460920
96,Planet Explorers,62.40%,"124,383",17,"2,125",237870
97,DESOLATE,67.27%,"123,359",55,"1,832",671510
98,OUTRIDERS,62.36%,"122,671","1,539","125,143",680420
99,Project CARS,76.53%,"122,097",162,"10,688",234630
