,Name,Rating,Followers,Online,Peak,id
0,Darkest Dungeon®,89.51%,"302,542","4,073","19,357",262060
1,Dead Cells,95.35%,"285,472","1,362","13,802",588650
2,Risk of Rain 2,95.19%,"248,653","6,214","71,548",632360
3,The Binding of Isaac: Rebirth,96.57%,"222,230","16,297","70,701",250900
4,Hades,97.40%,"211,213","5,825","37,749",1145360
5,Slay the Spire,96.40%,"178,205","7,288","33,086",646570
6,Don't Starve,95.30%,"165,845","1,120","16,796",219740
7,Enter the Gungeon,94.47%,"147,633","1,079","15,792",311690
8,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",274,"72,533",838350
9,EVERSPACE™,77.75%,"122,244",113,"1,448",396750
10,Noita,93.65%,"120,960","1,801","5,239",881100
11,For The King,86.88%,"120,832","1,155","9,625",527230
12,Stoneshard,77.05%,"111,500",226,"10,738",625960
13,The Escapists,87.80%,"108,395",54,"3,354",298630
14,Wizard of Legend,89.15%,"98,914",356,"6,487",445980
15,Lost Castle / 失落城堡,86.44%,"96,912",74,"4,701",434650
16,嗜血印 Bloody Spell,84.51%,"94,857",32,"4,256",992300
17,Streets of Rogue,93.71%,"88,576",201,"4,320",512900
18,Into the Breach,91.71%,"88,493",297,"14,682",590380
19,Moonlighter,81.21%,"86,073",91,"6,229",606150
20,SUNLESS SEA,81.18%,"79,476",65,"4,049",304650
21,Darkwood,91.95%,"79,010",87,"1,051",274520
22,Exanima,79.90%,"78,046",104,838,362490
23,Skul: The Hero Slayer,91.25%,"77,416",601,"18,970",1147560
24,Hand of Fate,87.68%,"75,554",12,"2,178",266510
25,Road Redemption,79.96%,"75,526",35,806,300380
26,Crypt of the NecroDancer,93.79%,"74,562",152,"2,282",247080
27,Gunfire Reborn,92.02%,"74,275","2,657","35,263",1217060
28,Lobotomy Corporation | Monster Management Simulation,91.35%,"73,035",293,"2,880",568220
29,Secrets of Grindea,88.49%,"70,309",43,435,269770
30,Hand of Fate 2,82.74%,"62,198",54,"2,873",456670
31,Gloomhaven,84.66%,"60,910",544,"2,179",780290
32,Crawl,91.64%,"57,454",21,319,293780
33,Death's Gambit,73.74%,"57,138",19,"2,538",356650
34,60 Seconds!,81.48%,"56,590",34,"1,067",368360
35,FTL: Faster Than Light,94.33%,"56,554","1,832","19,301",212680
36,The Flame in the Flood,74.02%,"54,478",12,"6,158",318600
37,Tribes of Midgard,74.50%,"53,858","10,469","30,930",858820
38,Griftlands,92.45%,"53,119",304,"7,693",601840
39,Curse of the Dead Gods,84.38%,"52,853",126,"3,004",1123770
40,Nuclear Throne,93.67%,"52,555",184,"1,213",242680
41,Rise to Ruins,86.68%,"52,283",67,"1,469",328080
42,Kingdom: Classic,88.16%,"51,950",123,"64,944",368230
43,"Invisible, Inc.",88.61%,"51,866",58,"2,401",243970
44,The Binding of Isaac,93.86%,"51,467",193,"12,575",113200
45,Hero Siege,75.23%,"50,275",438,"4,177",269210
46,Loop Hero,91.25%,"49,707","1,073","51,156",1282730
47,NECROPOLIS: BRUTAL EDITION,64.20%,"48,577",6,"5,148",384490
48,Risk of Rain,91.72%,"48,438",92,"5,462",248820
49,Neon Abyss,85.38%,"48,313",317,"5,141",788100
50,Thea: The Awakening,86.96%,"47,568",70,"1,742",378720
51,Dungeon of the ENDLESS™,85.72%,"47,502",96,"6,323",249050
52,Vagante,87.34%,"44,910",113,518,323220
53,Abandon Ship,72.27%,"43,687",5,734,551860
54,Magicite,82.96%,"42,588",25,"1,985",268750
55,Kingdom: New Lands,84.50%,"42,499",93,"3,518",496300
56,Book of Demons,88.13%,"41,818",25,"2,083",449960
57,Bomber Crew,85.82%,"41,480",84,"9,898",537800
58,Iratus: Lord of the Dead,84.04%,"40,743",215,"4,258",807120
59,Paint the Town Red,91.86%,"40,424",420,"1,230",337320
60,Heat Signature,91.32%,"39,955",57,"3,877",268130
61,Bad North: Jotunn Edition,87.94%,"39,750",49,"1,136",688420
62,Curious Expedition,87.64%,"39,667",42,"1,038",358130
63,Void Bastards,83.89%,"39,500",34,"2,886",857980
64,Othercide,79.94%,"39,162",47,"1,696",798490
65,UnderMine,90.50%,"39,030",549,"3,245",656350
66,Moon Hunters,76.40%,"38,819",65,324,320040
67,Roguelands,77.90%,"38,525",23,"1,150",364420
68,Realm of the Mad God Exalt,83.13%,"38,390","2,264","10,051",200210
69,Death Road to Canada,90.11%,"37,612",70,491,252610
70,Titan Souls,76.42%,"37,566",59,"4,404",297130
71,The Last Spell,88.27%,"37,210",344,"6,755",1105670
72,WORLD OF HORROR,90.39%,"36,900",19,704,913740
73,Between the Stars,78.95%,"35,676",8,429,727130
74,Legend of Keepers: Career of a Dungeon Manager,80.89%,"35,662",76,"3,127",978520
75,Sundered®: Eldritch Edition,80.07%,"35,378",24,708,535480
76,ZOMBI,62.41%,"34,648",0,961,339230
77,NEO Scavenger,87.10%,"32,621",40,531,248860
78,Pathway,72.52%,"32,347",9,"1,952",546430
79,MISTOVER,52.90%,"32,024",0,"2,203",909510
80,Tainted Grail: Conquest,86.68%,"31,549",275,"3,294",1199030
81,The Long Journey Home,60.43%,"31,053",4,"1,390",366910
82,Heroes of Hammerwatch,86.56%,"30,956",470,"2,662",677120
83,Home Behind,83.09%,"30,626",10,"3,083",467960
84,Cultist Simulator,76.80%,"30,315",130,"3,143",718670
85,One Step From Eden,90.76%,"30,293",87,"2,360",960690
86,Sunless Skies: Sovereign Edition,82.15%,"28,919",79,"2,344",596970
87,Crying Suns,83.64%,"28,699",36,"1,479",873940
88,Wayward,81.08%,"28,182",33,140,379210
89,Renowned Explorers: International Society,88.37%,"27,904",8,915,296970
90,Duskers,85.37%,"27,820",9,411,254320
91,Rogue Legacy 2,85.11%,"27,696",239,"4,547",1253920
92,LET IT DIE,70.69%,"27,526",107,"1,939",794600
93,Spelunky,89.95%,"27,438",156,"2,919",239350
94,Monster Train,94.05%,"27,112",791,"14,073",1102190
95,BELOW,68.64%,"26,896",3,765,250680
96,Muck,93.26%,"26,885","9,833","16,715",1625450
97,Star Renegades,81.85%,"26,405",36,"1,785",651670
