,Name,Rating,Followers,Online,Peak,id
0,Forts,87.40%,"60,066",623,"7,280",410900
1,Zombie Night Terror,88.65%,"15,518",29,480,416680
2,Tethered,77.48%,"3,602",1,36,431120
3,Takelings House Party,71.34%,"2,131",1,30,868150
4,MouseCraft,82.40%,"1,478",1,115,252750
5,Flockers™,71.31%,"1,461",0,36,260330
6,Inklings,65.42%,980,0,3,498720
7,So Many Me,82.87%,958,0,19,260530
8,Tin Hearts,80.36%,759,0,5,572540
9,Clones,71.67%,605,0,829,72400
11,Ctrl CV,73.39%,564,0,63,502130
12,Save the Dodos,80.35%,561,0,266,428830
13,Spirits,65.17%,538,0,238,210170
14,COROPATA,76.25%,390,2,19,1493910
15,Terrorarium,66.94%,367,0,21,1003450
16,Dwarflings,64.38%,355,0,"1,791",562330
18,Underland,82.63%,284,0,6,1528050
19,Stubbs the Zombie in Rebel Without a Pulse,83.69%,278,19,403,7800
20,Volvox,79.04%,260,0,13,392600
21,Disobedient Sheep,66.76%,236,0,6,1035530
22,Waddle Home,76.76%,229,1,5,486290
23,Rip Them Off,36.11%,170,0,8,1295860
24,Monomino,37.90%,164,0,7,303710
25,Save the Furries,61.86%,138,2,4,325110
26,MANIC MINERS,48.11%,114,0,331,511070
27,Underland: The Climb,82.39%,112,0,6,1592340
28,Dumb Little Creatures,55.69%,107,0,3,918450
29,Call of the Ninja!,43.95%,84,0,3,350330
30,Hell Loop,66.33%,83,0,3,1473870
31,LemWars,35.22%,59,0,2,1400360
32,This is My Dungeon,64.78%,59,0,3,1376340
33,Cobots,80.00%,57,0,4,1342660
34,Panic Mode,59.42%,56,0,2,1529430
35,Catty & Batty: The Spirit Guide,81.25%,56,0,4,1483470
36,Ants! Mission of the salvation,64.76%,56,0,2,853260
38,Not Without You,67.06%,50,0,2,854950
40,Stratside,72.17%,34,0,17,604990
41,Liberation Mutagenix,64.08%,32,0,2,1572970
42,Bunny Mania 2,70.84%,27,0,2,746770
43,Kells,-,19,0,3,1595300
44,Bubble Gun 3D,-,12,0,1,1449470
45,Gaggle Brains!,-,11,0,1,1542870
47,Mochi Jump,-,7,0,1,1647110
