,Name,Rating,Followers,Online,Peak,id
0,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,106",316,"11,259",211420
1,DARK SOULS™ II,87.50%,"117,180",253,"79,528",236430
2,XCOM: Enemy Unknown,92.74%,"49,342","1,198","70,568",200510
3,Othercide,79.94%,"39,164",28,"1,696",798490
4,WORLD OF HORROR,90.37%,"36,902",16,704,913740
5,Super Meat Boy,92.86%,"23,880",49,"5,153",40800
6,La-Mulana,77.53%,"7,320",10,794,230700
7,X-COM: UFO Defense,90.43%,"6,739",48,653,7760
8,Help Will Come Tomorrow,78.43%,"6,604",10,365,1119600
9,SKYHILL: Black Mist,56.22%,"4,524",0,55,990360
11,Zeliria Sanctuary,82.76%,"3,259",0,113,855630
12,DEMON'S TILT,88.62%,"3,064",1,32,422510
13,Cardnarok: Raid with Gods,72.72%,"2,920",1,27,1231940
14,Red Comrades Save the Galaxy: Reloaded,86.70%,"2,627",3,227,415610
15,Artemishea,57.67%,"2,063",0,89,1555220
16,Sapper - Defuse The Bomb Simulator,55.40%,"2,051",1,63,1083070
17,Seed Hunter 猎源,68.54%,"1,943",0,132,1078490
18,REDO!,80.82%,"1,825",0,10,950300
19,Outbreak: The Nightmare Chronicles,66.51%,"1,596",0,9,811720
20,Exodus Borealis,84.46%,"1,416",24,63,1528810
22,Boson X,87.97%,"1,094",5,549,302610
23,Sunblaze,85.10%,"1,057",2,72,1525660
26,YORG.io 3,64.42%,695,16,65,1134480
27,AtmaSphere,74.45%,602,0,6,753660
28,Night of the Blood Moon,78.16%,565,0,7,894000
30,GLADIUM,72.20%,521,0,16,1118410
31,Almost There: The Platformer,63.34%,491,0,126,951940
33,Tank Battle,67.73%,392,2,25,1310590
34,Border of her Heart,66.91%,338,0,5,795680
35,RAZED,64.73%,325,0,6,726710
36,Hellbreaker,66.66%,319,0,7,793620
37,Sockventure,83.07%,309,0,11,1222340
38,Million to One Hero,82.04%,303,0,7,595270
39,Philophobia: The Fear of Love,81.78%,289,0,21,1035950
40,SPITLINGS,78.44%,286,0,11,1002000
41,BattleCore Arena,75.48%,286,0,27,689570
42,Smashing Spirits: Brazil's First Boxer,76.12%,231,0,9,1263200
43,Double Shot,70.75%,228,0,3,869550
44,NERVE,79.71%,223,0,5,1016000
46,Lords of Strife,63.45%,165,0,3,842870
47,BOT.vinnik Chess: Combination Lessons,82.64%,163,0,9,1339900
48,BOT.vinnik Chess: Winning Patterns,81.33%,139,0,14,1395540
49,MineRalph,80.54%,135,0,10,1071190
50,Artemis: God-Queen of The Hunt,61.69%,131,0,8,1081850
52,AFTERGRINDER,68.59%,123,0,149,618310
53,BOT.vinnik Chess: Opening Traps,75.03%,119,0,8,1493840
54,FLATLAND Vol.1,77.04%,116,0,6,1143350
55,Bot War,67.06%,115,0,2,1016330
56,Flatland Vol.2,75.77%,113,0,10,1293520
59,DOTORI,68.97%,104,0,3,1109720
60,Rocket Blasters,72.22%,94,0,2,755490
61,OkunoKA Madness,68.15%,92,0,6,969200
62,Last Day of FEAR,52.28%,86,0,3,767050
63,Neon Ships: The Type'em Up Shooter,82.85%,81,0,5,1528580
64,Flatland: Prologue,78.13%,79,0,9,1261660
65,PRIMAL DUNGEON,81.81%,78,0,8,1252850
67,Adventure Delivery Service,59.43%,74,0,2,867010
68,Super Cucho,79.32%,71,0,5,1151180
69,Sniper Ships: Shoot'em Up on Rails,77.00%,67,0,3,1555080
70,Crappy Climber,77.34%,65,0,14,1333890
72,Shadow Fear™ Path to Insanity,55.69%,62,0,2,908830
74,King Bullseye: The Chess Strike,80.54%,56,0,3,1600870
75,SATANIC PANIC 666,66.33%,52,0,4,1630910
76,BattleBlade,62.51%,52,0,2,914190
77,Tybot Invasion: The Typing Runner,80.28%,46,0,4,1636000
79,Night Spasm,40.58%,43,0,1,1291100
81,"Hard, Fast, & Flashy",69.44%,37,0,4,1226880
82,Christmas Cats Revenge,58.33%,37,0,2,1201500
83,Mygnar,76.34%,35,0,3,1418460
84,UpWakeNing,80.79%,35,0,3,1410700
85,JMPR,74.19%,35,0,2,678150
86,Tyfortress: Tactical Typing,77.41%,34,1,3,1661700
87,Hepta Beats,75.86%,34,0,3,1157670
88,Yuhha: Stolen Treasure,59.42%,25,0,1,1229450
89,Impossiball - Gamers Challenge,69.44%,25,0,7,1181160
91,A Week In The Cold,59.42%,23,0,2,1257000
92,ACIIIIIIIIIIIIIIID,72.17%,18,0,2,1623380
95,War Tank combat,76.90%,16,0,1,1567930
96,Don't Die! Douche!,70.84%,16,0,2,1399990
97,Adrift Arena,69.20%,16,0,1,1199560
99,SpinZap,59.42%,12,0,2,1283380
