,Name,Rating,Followers,Online,Peak,id
0,Witch It,85.78%,"77,416",96,"3,705",559650
1,Batman - The Telltale Series,79.74%,"46,279",56,"4,001",498240
2,Fran Bow,93.94%,"36,204",67,447,362680
3,35MM,69.65%,"34,885",1,230,466500
4,Hidden Folks,93.52%,"29,422",26,763,435400
5,Syberia 3,50.24%,"24,132",28,"2,124",464340
6,The Room,95.21%,"21,847",61,540,288160
7,The Uncertain: Last Quiet Day,76.46%,"18,413",9,"2,058",406970
8,PRICE,91.10%,"17,756",0,660,465520
9,The Room Two,95.07%,"16,893",60,401,425580
10,The Silent Age,90.20%,"16,105",1,458,352520
11,Cozy Grove,81.57%,"14,834",188,873,1458100
12,The Room Three,93.32%,"14,077",88,"1,339",456750
13,CASE: Animatronics,81.91%,"12,431",6,798,489360
14,TASOMACHI: Behind the Twilight,70.80%,"12,271",2,255,1015890
15,"Please, Don’t Touch Anything",84.62%,"12,269",8,923,354240
16,Evil Maze,72.12%,"11,991",0,"1,304",484950
17,Rusty Lake: Roots,92.23%,"11,395",25,337,532110
18,The House of Da Vinci,86.25%,"11,239",30,484,522470
19,Deponia,85.97%,"10,773",33,"1,257",214340
20,Peekaboo,76.39%,"10,684",9,"1,499",1048100
21,Hide vs. Seek,36.04%,"10,449",0,119,616220
22,Accident,76.21%,"10,300",1,271,852220
23,Find this!,73.97%,"9,915",0,13,698300
25,The Room 4: Old Sins,95.22%,"8,691",88,"1,199",1361320
26,Bear With Me - Episode One,83.11%,"8,323",0,"1,216",492630
27,Serena,75.24%,"8,210",1,"1,418",272060
28,Perky Little Things,85.41%,"8,120",4,221,811890
29,Contraband Police: Prologue,84.71%,"7,549",69,446,1396240
30,When The Past Was Around,91.02%,"7,205",2,171,1164050
31,I Expect You To Die,89.86%,"7,162",21,228,587430
32,Syberia,86.00%,"6,848",28,642,46500
33,Rusty Lake Hotel,91.58%,"6,770",21,"5,038",435120
34,Chicken Police - Paint it RED!,90.84%,"6,545",6,164,1084640
35,The Bunker,67.84%,"6,224",1,70,481110
36,Labyrinth City: Pierre the Maze Detective,89.89%,"6,024",5,566,1421790
37,Tales of Escape,66.38%,"5,733",20,290,587860
38,Space Rescue: Code Pink,75.66%,"5,678",8,177,1407210
39,The Tiny Bang Story,84.81%,"5,501",13,"164,840",96000
40,Maize,76.25%,"5,356",1,266,284240
41,Hidden Through Time,89.02%,"5,289",12,229,524910
42,Paws and Soul,51.49%,"5,208",0,19,911510
43,Viki Spotter: The Farm,77.99%,"5,074",0,6,788380
44,The Little Acre,83.18%,"4,906",1,31,423590
46,Neon Beats,92.88%,"4,786",7,210,1064610
47,Broken Sword 5 - the Serpent's Curse,84.57%,"4,780",10,"1,101",262940
48,To The Light,46.45%,"4,486",1,22,618050
50,Hero of the Kingdom,89.70%,"4,158",4,"1,003",259550
51,Hero of the Kingdom II,89.98%,"4,156",8,776,346560
52,The Eyes of Ara,80.11%,"4,066",6,81,454250
53,Agent A: A puzzle in disguise,91.49%,"4,052",3,125,801480
54,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
55,My Brother Rabbit,90.91%,"3,763",2,46,855640
56,Archaica: The Path of Light,84.38%,"3,648",0,72,550590
57,Morphopolis,80.78%,"3,639",0,362,314020
58,Nemezis: Mysterious Journey III,60.06%,"3,618",4,72,986350
59,My Beautiful Paper Smile,87.15%,"3,368",1,32,1036700
60,Darkestville Castle,85.99%,"3,271",1,29,689900
61,Juicy Memory Card,41.03%,"3,257",0,2,1352050
62,Enigmatis 2: The Mists of Ravenwood,91.75%,"3,185",7,292,284770
63,Enigmatis 3: The Shadow of Karkhala,86.95%,"3,149",4,228,495110
64,Lulu & Ennoi - Sacred Suit Girls,75.56%,"2,852",2,48,1051590
65,True Fear: Forsaken Souls Part 1,84.63%,"2,794",4,90,440420
66,Nephise Begins,60.77%,"2,778",76,482,628950
67,Grim Legends 3: The Dark City,85.83%,"2,766",4,105,458470
68,Panoptic,87.02%,"2,765",5,25,541930
69,Dark Chronicles: The Soul Reaver,76.13%,"2,761",0,6,1596640
70,Tales of Cosmos,73.30%,"2,695",0,5,350480
71,Red Comrades Save the Galaxy: Reloaded,86.70%,"2,628",3,227,415610
72,Silver Creek Falls: Chapter 1,81.33%,"2,615",0,107,392450
73,Varenje,82.75%,"2,588",2,127,460060
74,Demetrios - The BIG Cynical Adventure,78.76%,"2,576",1,61,451570
75,Evil Maze 2 | 惡魔迷宮 2,67.16%,"2,549",0,21,973060
76,Broken Sword: Director's Cut,88.91%,"2,539",12,155,57640
77,Apocalipsis,68.72%,"2,520",1,32,505330
78,Christmas Adventures: A Winter Night's Dream,43.17%,"2,502",0,11,1490790
79,Neko Dungeon | 喵酱迷城 | 喵醬迷城 | ねこダンジョン,54.48%,"2,459",0,4,799870
81,Hero of the Kingdom III,77.01%,"2,391",7,373,772430
82,Rumu,84.70%,"2,368",0,49,723270
83,Grim Legends: The Forsaken Bride,90.93%,"2,339",10,715,284850
84,Kinoko,79.95%,"2,317",0,40,1059120
85,Lost Lands: A Hidden Object Adventure,86.14%,"2,299",36,423,392950
86,Witchcraft: Pandoras Box,68.97%,"2,240",0,5,1203400
87,Enigmatis: The Ghosts of Maple Creek,79.92%,"2,205",6,233,284750
88,Attentat 1942,85.90%,"2,202",1,17,676630
89,AR-K,55.83%,"2,173",0,129,269890
90,Escape First,63.56%,"2,138",3,71,850450
91,Grim Legends 2: Song of the Dark Swan,90.75%,"2,092",5,232,279800
92,ABYSS OF THE SACRIFICE,80.94%,"2,050",0,62,1442160
94,Eventide: Slavic Fable,87.99%,"2,042",4,166,406870
95,Weapons Genius,44.25%,"2,040",1,"5,994",385400
96,Outlaws: Corwin's Treasure,55.13%,"2,038",0,4,1291830
97,Hope Lake,70.29%,"1,994",1,37,485690
98,Adam Wolfe,87.60%,"1,953",2,66,483420
99,Clockwork Tales: Of Glass and Ink,86.61%,"1,942",1,254,284830
