,Name,Rating,Followers,Online,Peak,id
0,Sid Meier’s Civilization® VI,81.65%,"616,045","29,437","162,657",289070
1,Total War: THREE KINGDOMS,69.70%,"461,869","2,938","192,298",779340
2,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,167","93,701",435150
3,Total War: WARHAMMER II,92.11%,"379,908","24,485","84,920",594570
4,Total War: WARHAMMER,76.75%,"323,369",736,"113,019",364360
5,XCOM® 2,83.18%,"285,411","5,424","133,022",268500
6,Sid Meier's Civilization® V,94.95%,"178,879","18,538","91,363",8930
7,ENDLESS™ Space 2,81.03%,"171,909","1,016","53,435",392110
9,Artifact,46.90%,"152,783",27,"60,646",583950
10,ENDLESS™ Legend,82.56%,"147,291",331,"10,468",289130
11,Sid Meier's Civilization®: Beyond Earth™,57.15%,"143,979",470,"86,892",65980
12,Total War™: ROME II - Emperor Edition,78.54%,"130,671","5,521","118,240",214950
13,Divinity: Original Sin - Enhanced Edition,88.33%,"128,891",697,"7,565",373420
14,Total War: ATTILA,78.38%,"121,279","2,040","26,346",325610
15,For The King,86.88%,"120,832","1,166","9,625",527230
16,BATTLETECH,80.31%,"118,307","2,446","35,767",637090
18,South Park™: The Stick of Truth™,95.69%,"108,056",218,"34,811",213670
19,A Total War Saga: THRONES OF BRITANNIA,66.13%,"101,033",443,"22,797",712100
20,Mutant Year Zero: Road to Eden,88.53%,"97,706",40,"4,067",760060
21,Wasteland 2: Director's Cut,80.29%,"93,016",19,"18,856",240760
22,Armello,80.42%,"90,904",199,"3,614",290340
23,Into the Breach,91.71%,"88,493",297,"14,682",590380
24,Galactic Civilizations III,75.01%,"87,606",420,"6,297",226860
25,Master of Orion,72.91%,"86,754",435,"4,852",298050
26,Divinity: Original Sin (Classic),89.23%,"84,681",22,"22,040",230230
27,Edge Of Eternity,76.53%,"83,271",96,736,269190
28,Mordheim: City of the Damned,68.78%,"79,481",167,"2,715",276810
29,Persona 4 Golden,95.36%,"76,996","1,771","29,984",1113000
30,Age of Wonders: Planetfall,77.82%,"76,367",522,"10,462",718850
31,Valkyria Chronicles™,88.36%,"73,921",65,"5,039",294860
32,ShellShock Live,91.31%,"65,726",737,"7,455",326460
33,Age of Wonders III,78.08%,"65,016",512,"19,469",226840
34,Solasta: Crown of the Magister,87.93%,"63,680",719,"8,291",1096530
35,Empire of Sin,46.13%,"61,858",122,"9,229",604540
36,Phantom Doctrine,72.98%,"60,936",54,"2,658",559100
