,Name,Rating,Followers,Online,Peak,id
0,Battlerite,83.09%,"526,206",306,"45,145",504370
2,FOR HONOR™,66.32%,"256,503","3,559","225,831",304390
3,NARAKA: BLADEPOINT,67.85%,"249,815","20,143","70,731",1203220
4,Gang Beasts,75.42%,"232,178",466,"3,062",285900
5,KurtzPel,62.65%,"214,588",345,"11,937",844870
6,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",833,"46,550",1172380
7,MORDHAU,81.35%,"171,629",946,"60,204",629760
8,TEKKEN 7,81.66%,"166,853","3,572","18,966",389730
9,DRAGON BALL FighterZ,88.11%,"166,488","3,335","44,303",678950
10,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"162,979",913,"7,185",349040
11,Batman™: Arkham Knight,79.91%,"142,276","1,060","27,406",208650
12,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",971,"10,381",958260
13,Brawlhalla,83.87%,"139,643","22,549","34,816",291550
14,DRAGON BALL XENOVERSE 2,85.07%,"136,669",829,"19,416",454650
15,RWBY: Grimm Eclipse,79.97%,"136,592",14,"3,298",418340
16,Stick Fight: The Game,91.92%,"133,731",870,"5,147",674940
17,Mortal Kombat X,80.39%,"131,055",314,"15,743",307780
18,JUMP FORCE,71.10%,"118,753",281,"9,885",816020
19,Mortal Kombat 11,83.92%,"110,285","2,094","35,147",976310
20,Absolver,68.56%,"108,540",46,"18,921",473690
21,Ghostrunner,89.68%,"106,914",214,"11,294",1139900
22,Street Fighter V,61.72%,"105,435","2,074","14,783",310950
23,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,371","25,852",851850
24,DRAGON BALL XENOVERSE,86.44%,"97,809",49,"22,850",323470
25,NARUTO TO BORUTO: SHINOBI STRIKER,83.04%,"91,393","1,346","6,310",633230
26,Sleeping Dogs: Definitive Edition,90.22%,"88,415",479,"4,035",307690
27,SCARLET NEXUS,83.32%,"86,427",370,"14,516",775500
28,Battlefield: Bad Company™ 2,84.03%,"79,644",141,"21,923",24960
29,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",27,"2,827",311730
30,SOULCALIBUR VI,79.34%,"64,911",442,"14,684",544750
31,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,82.03%,"61,835",121,"3,878",278080
32,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
33,Fate/EXTELLA,88.91%,"55,901",9,"2,946",511680
34,Skullgirls 2nd Encore,91.97%,"54,613",436,"4,016",245170
35,DC Universe™ Online,77.91%,"54,271",701,"17,701",24200
36,Riders of Icarus,65.50%,"53,958",351,"17,162",442080
37,One Piece Pirate Warriors 3,78.31%,"53,627",54,"4,274",331600
38,Batman™: Arkham Origins,85.56%,"53,530",398,"25,017",209000
39,Blade and Sorcery,93.29%,"53,459",815,"4,892",629730
40,Curse of the Dead Gods,84.38%,"52,853",124,"3,004",1123770
41,Injustice™ 2,82.94%,"52,355",271,"1,873",627270
42,DEAD OR ALIVE 6,70.91%,"50,452",51,"2,107",838380
