,Name,Rating,Followers,Online,Peak,id
0,Batman™: Arkham Knight,79.91%,"142,276","1,032","27,406",208650
1,Marvel's Avengers,65.40%,"91,101","1,350","31,165",997070
2,Battle Chasers: Nightwar,85.57%,"69,344",61,"5,375",451020
3,The Walking Dead: A New Frontier,77.84%,"63,656",46,"8,278",536220
4,Wildermyth,92.25%,"56,342","1,121","8,106",763890
5,DC Universe™ Online,77.91%,"54,271",678,"17,701",24200
6,Batman™: Arkham Origins,85.56%,"53,530",383,"25,017",209000
7,Griftlands,92.45%,"53,119",300,"7,693",601840
8,Injustice™ 2,82.94%,"52,355",268,"1,873",627270
9,The Walking Dead,95.14%,"50,997",125,"12,114",207610
10,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,93.29%,"50,455",13,"5,683",260230
11,League of Maidens®,53.19%,"47,584",132,"6,706",557180
12,Batman - The Telltale Series,79.74%,"46,279",54,"4,001",498240
13,Batman: Arkham City - Game of the Year Edition,93.83%,"45,900",485,"6,871",200260
14,The Walking Dead: The Final Season,91.57%,"45,337",69,"4,120",866800
15,The Walking Dead: Season Two,93.82%,"41,397",66,"18,627",261030
16,Void Bastards,83.89%,"39,500",32,"2,886",857980
17,The Wolf Among Us,95.46%,"38,739",63,"14,321",250320
18,Injustice: Gods Among Us Ultimate Edition,83.76%,"33,742",80,"10,344",242700
19,ULTIMATE MARVEL VS. CAPCOM 3,86.70%,"30,905",134,"2,487",357190
20,Batman: Arkham Asylum Game of the Year Edition,94.26%,"29,460",246,"6,739",35140
21,The Walking Dead: Michonne - A Telltale Miniseries,76.21%,"29,423",4,"2,435",429570
22,Gotham City Impostors Free to Play,82.50%,"27,309",25,"7,249",206210
23,Batman: The Enemy Within - The Telltale Series,87.26%,"26,430",50,"2,029",675260
24,Deep Sky Derelicts,73.76%,"26,006",27,664,698640
25,Marvel vs. Capcom: Infinite,60.23%,"25,783",20,"3,603",493840
26,The Darkness II,88.99%,"24,888",20,"12,593",67370
27,LEGO® Marvel Super Heroes 2,82.72%,"23,374",433,"1,047",647830
28,Sable,-,"22,694",0,1,757310
29,LEGO® MARVEL's Avengers,84.13%,"22,514",177,"2,112",405310
30,D4: Dark Dreams Don’t Die -Season One-,77.58%,"22,191",0,268,358090
31,LEGO® Marvel™ Super Heroes,91.55%,"21,023",425,"5,953",249130
32,Blacksad: Under the Skin,81.03%,"18,849",24,264,1003890
34,LEGO® Batman™ 3: Beyond Gotham,85.19%,"17,439",191,"2,186",313690
35,Curious Expedition 2,83.71%,"15,121",32,"3,043",1040230
37,LEGO® DC Super-Villains,86.92%,"12,688",371,866,829110
38,Seek Girl Ⅲ,81.60%,"12,643",4,503,1191210
39,Champions Online,69.47%,"11,720",133,"9,794",9880
40,God's Trigger,71.67%,"11,108",4,178,488730
41,Scribblenauts Unmasked: A DC Comics Adventure,79.31%,"10,289",11,647,249870
42,Neo Cab,80.95%,"10,149",9,157,794540
43,The Fermi Paradox,74.71%,"9,828",22,423,1543150
44,WARSAW,72.02%,"9,173",10,351,1026420
45,VRoid Studio v0.14.0,90.00%,"8,750",534,"1,034",1486350
46,Mr. Shifty,83.75%,"8,705",1,349,489140
47,ELDERBORN,82.88%,"8,576",41,391,727850
48,LIBERATED,73.27%,"8,244",1,55,875310
49,LEGO® Batman™ 2: DC Super Heroes,88.26%,"7,163",135,447,213330
50,Trap Shrine,89.43%,"7,081",2,184,951000
51,XIII,18.50%,"7,071",0,566,1154790
52,Half-Life: A Place in the West,83.70%,"6,808",1,42,466270
53,The Walking Dead: The Telltale Definitive Series,89.04%,"6,227",153,410,1449690
54,Minute of Islands,78.86%,"6,182",3,67,1049710
55,Shanghai Office Simulator,78.52%,"6,051",0,804,1163140
56,Labyrinth City: Pierre the Maze Detective,89.89%,"6,024",5,566,1421790
58,LEGO® Batman™: The Videogame,83.55%,"5,075",240,446,21000
59,Onigiri,68.97%,"4,679",126,377,290470
60,Vampires' Melody,92.82%,"4,523",3,174,1377360
61,My boss is weird,54.31%,"4,374",3,498,1506600
62,Sentinels of the Multiverse,84.76%,"4,248",48,330,337150
63,Sam & Max Save the World,81.99%,"4,171",33,359,1440440
64,Batman™: Arkham Origins Blackgate - Deluxe Edition,41.42%,"4,131",4,153,267490
65,TOKOYO: The Tower of Perpetuity,84.40%,"4,065",2,169,1393420
66,Meteor 60 Seconds!,92.51%,"4,060",3,346,788770
67,CosmicBreak Universal,57.81%,"3,887",50,"2,642",1140620
68,FRAMED Collection,87.65%,"3,810",2,145,322450
69,Marvel: Ultimate Alliance 2,50.12%,"3,709",0,139,433320
70,Metropolis: Lux Obscura,74.76%,"3,708",0,53,671390
71,Neighbours back From Hell,88.74%,"3,705",12,553,1283190
72,Giraffe and Annika,84.13%,"3,681",2,66,1122100
73,Shuyan Saga™,79.72%,"3,675",0,25,594680
74,Thief of Thieves,72.89%,"3,655",1,19,635390
75,MARVEL Puzzle Quest,67.95%,"3,644",387,"3,002",234330
76,Marvel: Ultimate Alliance,58.90%,"3,215",4,211,433300
77,XIII - Classic,86.75%,"3,178",14,261,1170760
80,A traveler's photo album,69.22%,"2,799",0,209,1480340
81,Along the Edge,84.13%,"2,792",0,42,504390
82,The Misfits,53.69%,"2,711",0,166,614940
83,Paradise Lust,81.42%,"2,676",7,83,1427860
84,Rogue Trooper Redux,72.13%,"2,554",0,69,529490
85,Shadow Man,83.46%,"2,545",1,42,251770
86,Murder by Numbers,83.02%,"2,544",12,319,1140290
87,江湖余生：缘起,72.40%,"2,524",2,270,1177400
88,Cognition: An Erica Reed Thriller,78.47%,"2,516",0,362,242780
90,Judge Dredd: Dredd vs. Death,82.15%,"2,371",3,164,3710
91,仙剑奇侠传三,77.61%,"2,355",14,753,1536070
92,Seers Isle,83.75%,"2,342",0,39,738650
93,からかい上手の高木さんVR 1学期,71.48%,"2,333",0,20,1264160
94,No Time,90.71%,"2,274",4,92,1043340
95,Overboard!,84.00%,"2,232",23,93,1546920
98,Shan Gui II: Sweet Osmanthus II,88.66%,"2,149",0,232,952420
99,Soda Girls,81.14%,"2,131",0,28,519080
