,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","24,843","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","516,205","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","99,329","3,257,248",578080
3,Grand Theft Auto V,82.79%,"2,336,535","96,794","364,548",271590
4,Deep Rock Galactic,95.39%,"1,346,099","5,076","36,224",548430
5,Team Fortress 2,93.06%,"1,231,323","76,677","151,253",440
6,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","46,901","201,053",359550
7,Left 4 Dead 2,96.42%,"865,195","16,002","162,399",550
8,Rust,85.93%,"856,565","106,807","245,243",252490
9,Fallout 4,78.77%,"846,011","20,035","472,962",377160
10,Warframe,89.62%,"755,251","43,077","189,837",230410
11,Killing Floor 2,86.81%,"617,961","2,737","69,987",232090
12,Arma 3,89.33%,"610,379","16,943","56,679",107410
13,Garry's Mod,95.76%,"605,466","32,010","73,863",4000
14,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
15,Unturned,90.52%,"508,491","18,015","63,462",304930
16,Destiny 2,84.10%,"498,711","44,840","292,513",1085660
17,Squad,86.61%,"497,710","5,636","15,338",393380
18,DayZ,67.69%,"477,791","26,132","45,878",221100
19,Tom Clancy’s The Division™,67.96%,"472,315",458,"114,228",365590
20,Halo: The Master Chief Collection,91.63%,"450,548","8,595","161,024",976730
21,Counter-Strike: Source,94.77%,"435,159","4,046","100,056",240
22,Ring of Elysium,73.97%,"424,290",860,"63,435",755790
23,Red Dead Redemption 2,85.24%,"411,084","14,429","55,271",1174180
24,Hunt: Showdown,81.16%,"396,304","14,876","32,698",594650
25,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,015","45,704",460930
26,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",415,"22,614",10180
27,Far Cry® 5,78.14%,"374,607","9,298","92,445",552520
28,Rise of the Tomb Raider™,92.63%,"368,952","1,390","44,588",391220
29,Just Survive,58.66%,"362,602",1,"40,335",295110
30,theHunter: Call of the Wild™,84.57%,"356,627","2,448","18,081",518790
31,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
32,Metro Exodus,86.81%,"348,587",995,"15,375",412020
33,War Thunder,78.91%,"337,799","23,288","63,406",236390
34,Paladins®,85.03%,"331,872","10,459","60,743",444090
35,DOOM,93.94%,"327,579","1,827","44,271",379720
36,World of Warships,80.32%,"321,709","5,778","379,096",552990
37,Left 4 Dead,94.00%,"307,581",553,"30,616",500
38,Just Cause™ 3,79.83%,"302,613","1,727","23,459",225540
39,Watch_Dogs® 2,81.33%,"296,713",301,"18,138",447040
40,Heroes & Generals,67.21%,"287,451","1,707","21,026",227940
41,Borderlands 2,92.54%,"287,122","3,794","124,678",49520
42,Insurgency,90.40%,"271,988",680,"121,575",222880
43,Far Cry® 4,80.87%,"269,607",674,"16,963",298110
44,Resident Evil 2,95.77%,"263,717",814,"74,227",883710
45,Evolve Stage 2,67.03%,"263,159",18,"51,127",273350
46,Black Squad,75.99%,"260,757","1,167","15,939",550650
47,Call of Duty®: Black Ops III,75.70%,"260,696","4,744","63,681",311210
48,Risk of Rain 2,95.19%,"248,653","6,124","71,548",632360
49,Warface,67.77%,"247,197","2,245","13,867",291480
50,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
51,Hurtworld,75.07%,"243,334",273,"13,333",393420
52,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,704","91,195",287700
53,GTFO,86.64%,"236,110",497,"5,247",493520
54,Black Mesa,94.09%,"236,029",859,"7,158",362890
55,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,241","38,268",750920
56,HITMAN™ 2,89.37%,"231,772","1,523","361,001",863550
57,Apex Legends™,88.13%,"229,969","128,770","330,879",1172470
58,Borderlands: The Pre-Sequel,79.47%,"219,143",527,"68,238",261640
59,Mad Max,89.84%,"215,925",629,"33,356",234140
60,PlanetSide 2,80.97%,"212,979","2,581","29,676",218230
61,Insurgency: Sandstorm,83.26%,"211,997","2,423","14,606",581320
62,Sniper Elite 4,88.14%,"208,208","1,129","15,101",312660
63,Half-Life: Alyx,96.82%,"207,624",611,"42,858",546560
64,DOOM Eternal,89.24%,"206,899","4,256","104,891",782330
65,Far Cry® Primal,81.41%,"203,247",251,"14,783",371660
66,Hell Let Loose,81.18%,"196,146","7,064","14,190",686810
67,HITMAN™,80.89%,"195,303",213,"51,650",236870
68,Resident Evil 7 Biohazard,92.68%,"191,836",532,"20,449",418370
69,No More Room in Hell,88.21%,"189,082",428,"10,922",224260
70,DCS World Steam Edition,81.69%,"187,024","1,112","3,044",223750
71,Mafia III: Definitive Edition,54.85%,"184,243",535,"47,822",360430
