,Name,Rating,Followers,Online,Peak,id
0,BattleBlock Theater®,95.55%,"136,292",163,"14,781",238460
1,NEKOPARA Vol. 1,93.39%,"83,447",70,487,333600
2,Desperados III,93.87%,"71,678",195,"6,057",610370
3,NEKOPARA Vol. 3,94.32%,"52,580",23,"2,571",602520
4,NEKOPARA Vol. 2,94.43%,"51,636",19,"1,228",420110
5,Shelter 2,81.42%,"45,623",8,607,275100
6,NEKOPARA Vol. 0,91.74%,"35,604",25,960,385800
7,Sakuna: Of Rice and Ruin,89.46%,"32,540",67,"7,043",1356670
8,while True: learn(),88.95%,"30,483",12,844,619150
9,Beat Cop,80.12%,"25,407",10,526,461950
11,Cat Quest,92.02%,"20,422",27,"1,651",593280
12,家有大貓 Nekojishi,89.02%,"17,265",8,451,570840
13,Epic Battle Fantasy 5,94.70%,"17,254",65,"2,648",432350
14,Animallica,72.25%,"16,909",43,126,638850
15,NEKO-NIN exHeart,89.58%,"16,063",1,89,407310
16,NEKOPARA Extra,93.51%,"13,707",8,575,899970
17,Epic Battle Fantasy 4,92.19%,"13,569",26,"1,128",265610
18,VTube Studio,84.29%,"12,414","1,077","1,867",1325860
19,NEKOPALIVE,87.64%,"12,216",2,94,469990
20,Cat Quest II,92.55%,"12,205",37,610,914710
22,Gibbous - A Cthulhu Adventure,86.24%,"11,390",9,297,914020
23,The Cat Lady,89.90%,"11,265",5,187,253110
24,Cat Goes Fishing,90.44%,"10,920",115,638,343780
25,Gato Roboto,90.70%,"9,229",5,915,916730
26,Cattails | Become a Cat!,90.86%,"8,705",34,442,634160
27,Catlateral Damage,84.48%,"8,557",0,94,329860
28,Calico,86.70%,"8,400",14,399,1112890
29,HellCat,78.71%,"7,993",0,11,864860
30,Timelie,91.16%,"7,943",2,215,1150950
31,Cat's Kiss,85.44%,"7,882",8,175,1409770
33,Atomicrops,88.49%,"7,086",91,563,757320
34,MewnBase,88.38%,"6,586",7,102,743130
35,Chicken Police - Paint it RED!,90.84%,"6,545",4,164,1084640
36,Fuga: Melodies of Steel,84.16%,"5,298",65,415,1357860
37,NEKO-NIN exHeart 2,86.88%,"4,822",1,47,828580
38,Nyan Cat: Lost In Space,88.43%,"4,731",4,88,415420
39,ANOTHER EDEN,65.96%,"4,546",114,935,1252600
40,Garfield Kart - Furious Racing,85.20%,"4,483",83,536,1085510
42,No More Heroes,68.46%,"4,096",14,463,1420290
43,Nemezis: Mysterious Journey III,60.06%,"3,618",2,72,986350
44,The Purring Quest,80.29%,"3,405",0,90,409100
45,Let the Cat in,73.62%,"3,379",0,137,369400
46,Hustle Cat,88.14%,"3,340",1,111,453340
47,The Cat Games,84.46%,"3,331",1,107,603260
48,I and Me,87.88%,"3,261",0,21,399600
49,No More Heroes 2: Desperate Struggle,63.68%,"3,094",7,64,1420300
50,New Super Lucky's Tale,84.50%,"3,003",1,26,1038300
51,PUSS!,83.47%,"2,934",2,93,719750
52,Capsa,55.65%,"2,756",0,32,588120
53,Living together with Fox Demon,61.95%,"2,690",64,96,1528560
54,Sexy Tails And Other Puzzlingly Attractive Furry Things,78.86%,"2,623",2,40,1567080
55,Love Stories: Sex and the Furry Titty,84.35%,"2,386",5,68,1532770
56,Cat Simulator,39.70%,"2,350",0,150,393390
57,NEKO ARENA,78.72%,"2,247",0,15,1173380
58,NEKO-NIN exHeart 2 Love +PLUS,81.36%,"2,223",0,22,1027130
59,QP Shooting - Dangerous!!,86.78%,"2,134",0,101,316600
60,Cat Burglar: A Tail of Purrsuit,85.56%,"2,092",1,899,760510
61,Wand Wars,85.19%,"2,017",0,16,422110
62,Stray Cat Crossing,86.34%,"1,975",0,57,385330
63,9-nine-:Episode 3,85.37%,"1,967",1,51,1142830
64,Hot Tin Roof: The Cat That Wore A Fedora,61.56%,"1,928",0,459,253390
65,The Big Journey,81.88%,"1,901",0,13,742480
66,Flame Over,67.69%,"1,802",0,60,345080
67,Aqua Kitty - Milk Mine Defender,81.24%,"1,686",1,148,263880
69,Meow Motors,82.19%,"1,684",1,16,773430
70,Tallowmere 2: Curse of the Kittens,78.77%,"1,472",3,197,655740
71,她2 : 我还想再见到你 Her2 : I Want To See You Again,82.09%,"1,440",0,47,1003750
76,Lonely Catgirl is the Purrfect Pussy,76.35%,"1,324",0,20,1509040
77,The Last Dream: Developer's Edition,73.87%,"1,323",1,132,395860
78,Cats Organized Neatly,92.18%,"1,303",17,215,1369340
79,Pix the Cat,76.19%,"1,242",0,153,330180
80,Fort Meow,85.28%,"1,232",1,103,352070
82,Detective From The Crypt,81.17%,"1,218",1,17,1352200
83,Super Phantom Cat,77.77%,"1,214",0,20,988100
84,El Tango de la Muerte,87.97%,"1,161",0,10,701380
86,A Wild Catgirl Appears!,54.93%,"1,142",0,644,429580
87,Hidden Paws,82.49%,"1,115",1,56,816490
88,The Cat and the Coup,88.26%,"1,105",0,15,95700
89,Russian Subway Dogs,88.67%,"1,098",1,22,762610
91,Button City,74.53%,"1,090",3,29,1273750
93,The Cat Machine,83.34%,"1,054",0,30,386900
94,Inspector Waffles,85.12%,"1,036",3,30,1055850
95,CAT Interstellar: Recast,72.17%,"1,031",1,5,1684710
96,In Her Eyes,79.52%,"1,024",0,15,1213000
97,Kitten'd,77.20%,"1,007",0,10,842140
98,MagiCat,85.26%,"1,004",3,108,656970
99,Mushroom Cats,90.63%,997,1,115,1071120
