,Name,Rating,Followers,Online,Peak,id
0,Quantum Break,83.74%,"105,279",87,"2,719",474960
1,Command & Conquer™ Remastered Collection,89.10%,"91,426",917,"42,587",1213210
2,隐形守护者 The Invisible Guardian,84.45%,"52,424",256,"82,345",998940
3,Obduction,77.49%,"48,756",17,"1,915",306760
4,Command & Conquer: Red Alert 3,82.68%,"40,237",523,"2,984",17480
5,Late Shift,84.47%,"30,845",30,395,584980
6,Not For Broadcast,92.02%,"27,960",24,326,1147550
7,Her Story,86.99%,"25,507",16,663,368370
8,Succubus Cafe,81.40%,"20,022",38,352,1520500
9,Super Seducer : How to Talk to Girls,79.32%,"17,959",8,431,695920
10,Telling Lies,65.56%,"16,355",4,687,762830
11,Command & Conquer: Red Alert 3 - Uprising,80.44%,"14,478",321,"1,681",24800
12,Command & Conquer 3: Tiberium Wars,87.26%,"12,881",305,"1,131",24790
13,Super Seducer 2 - Advanced Seduction Tactics,79.06%,"12,880",12,646,863570
14,The Complex,74.74%,"11,893",7,382,1107790
15,realMyst: Masterpiece Edition,83.19%,"10,404",6,292,244430
16,THE QUIET MAN™,38.46%,"9,844",0,127,790540
17,Stories Untold,84.15%,"9,362",9,374,558420
18,Contradiction - Spot The Liar!,91.36%,"9,189",4,70,373390
19,Command & Conquer 3: Kane's Wrath,91.26%,"8,205",329,554,24810
20,She Sees Red - Interactive Movie,75.64%,"7,752",5,155,1081510
21,The Shapeshifting Detective,74.68%,"6,761",4,141,898650
22,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.20%,"6,731",198,757,795630
23,At Dead Of Night,88.82%,"6,344",21,197,1450830
24,Tesla Effect: A Tex Murphy Adventure,82.90%,"6,274",2,494,261510
25,The Bunker,67.84%,"6,226",0,70,481110
26,Transference™,68.98%,"5,606",0,23,647570
27,Press X to Not Die,86.99%,"5,395",0,56,402330
28,Spice&Wolf VR2,89.04%,"4,826",0,34,1348700
29,Erica,75.06%,"4,609",8,133,1514930
30,Command & Conquer 4: Tiberian Twilight,20.74%,"4,541",9,"1,068",47700
32,428: Shibuya Scramble,86.90%,"4,447",7,78,648580
33,SIMULACRA,86.99%,"4,380",18,333,712730
34,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,969",73,180,1182920
35,SIMULACRA 2,82.18%,"3,582",5,318,1011190
36,Motesolo : No Girlfriend Since Birth,81.15%,"3,513",31,367,1414180
37,Death Come True,74.16%,"3,505",2,125,1321070
38,Five Dates,84.57%,"3,405",3,257,1353270
39,STAR WARS™ Jedi Knight: Dark Forces II,73.48%,"3,241",7,152,32380
40,Dragon and Weed: Origins - Prologue,45.31%,"3,172",0,4,1251190
41,Roundabout,86.91%,"3,133",0,98,303430
42,Visitor 来访者,75.55%,"3,067",0,307,882960
43,Streets of Fury EX,88.24%,"3,064",2,34,350910
44,The Light Remake,84.41%,"2,859",2,58,1077520
45,MISSING: An Interactive Thriller - Episode One,79.39%,"2,723",0,24,354650
46,Not For Broadcast: Prologue,87.32%,"2,699",3,31,1201400
47,ECHOPLEX,74.90%,"2,654",0,6,611060
48,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",77,261,973600
49,The Infectious Madness of Doctor Dekker,80.69%,"2,557",1,165,545540
50,Dragon's Lair,74.09%,"2,460",2,177,227380
51,Riven: The Sequel to MYST,80.80%,"2,396",13,82,63610
52,Harvester,86.02%,"2,333",0,132,287020
53,Smile For Me,92.32%,"2,328",5,102,1018850
54,Attentat 1942,85.90%,"2,203",0,17,676630
55,The Solitaire Conspiracy,86.13%,"2,080",0,189,1424980
56,Self Reliance 自我性赖,84.06%,"2,033",1,57,1016110
57,Myst: Masterpiece Edition,77.81%,"1,935",5,67,63660
58,What The Dub?!,80.77%,"1,705",7,75,1495860
59,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,667",119,213,1182930
60,Cibele,50.28%,"1,621",0,119,408120
61,Branching Paths,81.18%,"1,574",0,43,494680
63,Star Trek™: Starfleet Academy,72.93%,"1,534",0,22,364810
64,Phantasmagoria,79.77%,"1,524",2,56,501990
65,Funny Business with My Precious Coach (Anipuzzle Series),71.26%,"1,462",0,7,1402410
66,Iron Sky: Invasion,57.68%,"1,436",17,"6,279",224900
67,Movavi Video Editor 15 Plus - Video Editing Software,77.87%,"1,387",35,101,969020
68,审判者,38.49%,"1,360",0,458,1591860
69,The Last Dream: Developer's Edition,73.87%,"1,323",1,132,395860
70,Dark Nights with Poe and Munro,76.99%,"1,318",1,50,1098170
71,Night Trap - 25th Anniversary Edition,76.91%,"1,285",0,42,643620
72,Heroic Armored Company,62.10%,"1,276",2,13,1388370
73,Doctor Who: The Lonely Assassins,85.33%,"1,269",0,147,1508270
75,Deathtrap Dungeon: The Interactive Video Adventure,83.52%,"1,260",0,26,1191940
76,I Saw Black Clouds,59.35%,"1,249",3,70,1346830
78,STAR WARS™: Rebel Assault I + II,61.58%,"1,185",0,26,456540
