,Name,Rating,Followers,Online,Peak,id
2,Nocked! True Tales of Robin Hood,79.50%,573,0,15,1073840
3,The Space in Between,73.98%,401,0,24,1430240
4,The Automatician,57.21%,392,0,6,657700
7,RESONARK X,73.45%,111,0,5,1366570
8,Nino Maze LOFI,79.89%,72,0,5,1333460
9,Pink Gum,77.40%,61,0,2,1358540
12,MindWorks,69.20%,54,0,2,1373820
13,Mastho is Together,82.85%,37,0,5,1578060
14,Clarevoyance,69.20%,33,0,2,1145830
15,Sudokolorful,72.42%,32,1,5,1693610
16,Neon Beat Rider,59.42%,27,0,2,1291720
18,Word Wise,69.20%,20,0,3,1533570
19,Zen Arts: Relaxing Pendulum Paint Simulator,40.58%,17,0,1,1593570
21,L'Onza the Bounty Hunter,59.42%,13,0,1,1513240
22,Football Bus Battle 2021,59.42%,12,0,2,1649440
25,Rise 2.0,59.42%,5,0,1,1543020
27,Wingspan Soundtrack,73.26%,0,0,1,1332420
28,04:42 Still Free from Haven Soundtrack,84.89%,0,0,1,1294690
29,Bastion: Original Soundtrack,85.07%,0,0,1,107104
30,Come Back Home Please Demo Soundtrack,59.42%,-,-,-,1692660
31,Bunny's Trail Soundtrack,-,-,-,-,1658060
32,Luna's Fishing Garden Soundtrack,59.42%,-,-,-,1643810
33,Yupitergrad - Original Soundtrack,76.90%,-,-,-,1637590
34,Road 96 🎧 Soundtrack,64.08%,-,-,-,1616120
35,Bunny's Ban Soundtrack,-,-,-,-,1592800
36,The Wanderer: Frankenstein’s Creature - Original Soundtrack,-,-,-,-,1501590
37,Chronicle: Unit Eight Original Soundtrack,-,-,-,-,1480200
38,Project Wingman Soundtrack,68.00%,-,-,-,1476780
39,Seditionis: Tower Defense Soundtrack,-,-,-,-,1467290
40,Bunny's Maze Soundtrack,-,-,-,-,1382550
41,Lithium City Soundtrack,-,-,-,-,1337950
42,Space Haven Soundtrack,67.06%,-,-,-,1325700
43,Blaze Revolutions Soundtrack,-,-,-,-,1318360
44,Apprehend;Girlfriend Soundtrack,-,-,-,-,1302210
45,WoMen in Science Soundtrack,-,-,-,-,1267060
46,Lords Of The Fallen Soundtrack,59.42%,-,-,-,1247000
47,Sniper Ghost Warrior Contracts - Soundtrack,76.90%,-,-,-,1244510
48,Herakles and the Princess of Troy OST,59.42%,-,-,-,1103370
