,Name,Rating,Followers,Online,Peak,id
0,Fallout 76,71.80%,"79,116","7,125","32,982",1151340
1,Danganronpa: Trigger Happy Havoc,94.32%,"65,531",302,"3,392",413410
2,Danganronpa V3: Killing Harmony,84.12%,"57,127",348,"4,691",567640
3,60 Seconds!,81.48%,"56,590",34,"1,067",368360
4,War for the Overworld,83.21%,"50,085",64,"2,227",230190
5,Danganronpa 2: Goodbye Despair,94.28%,"45,122",454,"1,869",413420
6,POSTAL 2,94.11%,"39,294",307,"4,636",223470
7,POSTAL 4: No Regerts,84.19%,"39,039",28,916,707030
8,Drug Dealer Simulator,84.61%,"38,362",222,"7,574",682990
9,Journey To The Savage Planet,83.54%,"29,909",30,"2,162",973810
10,Not For Broadcast,92.02%,"27,940",15,326,1147550
11,LET IT DIE,70.69%,"27,526",111,"1,939",794600
12,Trover Saves the Universe,88.33%,"24,314",12,951,1051200
13,Basement,69.33%,"23,736",16,329,340150
14,Contraband Police,-,"20,193",0,1,756800
15,The End Is Nigh,89.29%,"18,336",8,"1,641",583470
16,60 Parsecs!,81.60%,"16,840",22,727,646270
17,Kindergarten,91.54%,"16,622",34,561,589590
18,Rapture Rejects,41.75%,"15,766",0,962,686600
19,Idol Manager,83.92%,"14,462",703,"2,930",821880
20,60 Seconds! Reatomized,91.13%,"13,894",171,873,1012880
21,Reigns: Game of Thrones,73.74%,"11,887",6,515,897820
22,Cyanide & Happiness - Freakpocalypse (Episode 1),56.07%,"11,869",3,"1,286",869880
23,Monster Prom 2: Monster Camp,94.01%,"11,487",69,"2,252",1140270
24,Garbage,69.86%,"11,111",18,553,1253710
25,GOAT OF DUTY,83.17%,"10,952",6,"3,018",555000
26,Garbage: Hobo Prophecy,73.17%,"10,534",3,888,1494440
28,Afterparty,69.69%,"10,043",5,104,762220
29,Reventure,91.80%,"9,755",32,"1,105",900270
30,Death and Taxes,85.88%,"9,661",17,632,1166290
32,West of Dead,73.41%,"8,502",1,224,1016790
33,Prison Simulator Prologue,86.46%,"8,412",32,"1,016",1431610
34,Lakeview Cabin Collection,88.60%,"8,336",2,980,361990
35,The Book of Unwritten Tales 2,86.14%,"8,052",3,419,279940
36,Attack of the Earthlings,79.55%,"7,303",2,95,621930
37,Green Project,82.18%,"6,739",35,407,1274490
39,BoneTown: The Second Coming Edition,74.78%,"6,519",29,446,288080
40,Lightmatter,87.35%,"6,437",5,396,994140
41,Reigns: Her Majesty,80.90%,"6,428",7,292,717640
42,Madden NFL 21,47.99%,"6,228",705,"3,226",1239520
43,POSTAL Redux,87.04%,"5,888",8,628,401680
44,Manual Samuel - Anniversary Edition,78.83%,"5,550",7,"9,036",504130
45,BoneCraft,78.86%,"5,502",2,98,1001220
46,Zenith,66.03%,"5,066",0,113,438420
47,"Warhammer 40,000: Dakka Squadron - Flyboyz Edition",75.74%,"5,029",0,107,1253190
48,The Journey Down: Chapter Two,88.92%,"4,874",1,87,262850
49,Hell Architect: Prologue,77.52%,"4,562",18,366,1382910
50,The Journey Down: Chapter One,82.85%,"4,411",0,245,220090
51,DLC Quest,85.60%,"4,265",1,"1,032",230050
52,Lakeview Valley,80.24%,"4,168",4,103,783840
53,Space Tyrant,80.77%,"4,133",1,232,562230
54,POSTAL,81.94%,"3,976",10,"412,063",232770
56,Ashina: The Red Witch: Prologue,79.10%,"3,878",0,380,1259180
57,Family Man,70.06%,"3,803",13,226,904360
58,The Darkside Detective: A Fumble in the Dark,89.45%,"3,758",8,216,795420
59,Viscerafest,85.07%,"3,523",4,146,1406780
60,Red Falls Season 1,68.10%,"3,165",22,128,1590730
61,The Miskatonic,72.38%,"3,164",0,117,870290
62,Slayaway Camp,89.40%,"3,109",4,186,530390
64,The Procession to Calvary,91.04%,"2,716",1,73,1071130
65,Not For Broadcast: Prologue,87.32%,"2,699",0,31,1201400
66,Goblins and Grottos,63.15%,"2,639",0,44,389190
68,AR-K: The Great Escape,81.34%,"2,530",0,19,368890
69,Kung Fu Jesus,62.51%,"2,484",0,3,1140790
70,The Low Road,70.63%,"2,279",1,19,603700
71,Struggling,80.37%,"2,267",7,142,1035560
72,Overboard!,84.00%,"2,232",23,93,1546920
75,Doors of Insanity,72.77%,"2,145",0,92,1268810
76,Takelings House Party,71.34%,"2,129",3,30,868150
77,Four Last Things,89.11%,"2,078",0,37,503400
79,Lair of the Clockwork God,89.73%,"1,905",0,41,1060600
80,Space SEX,50.00%,"1,828",1,13,571100
81,Suits: A Business RPG,82.94%,"1,816",5,162,410670
82,Zueirama,88.06%,"1,768",8,60,952290
83,Misadventures of Laura Silver,81.19%,"1,753",0,52,1026160
84,Deep Sixed,76.19%,"1,741",0,43,591000
85,Chuusotsu! 1st Graduation: Time After Time,82.31%,"1,738",0,22,630870
86,KOEWOTAYORINI SP / 声之寄托SP,85.34%,"1,722",0,58,777200
87,Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos,66.93%,"1,715",0,6,646600
89,The Spy Who Shrunk Me,68.53%,"1,681",0,12,754850
90,Scheming Through The Zombie Apocalypse: The Beginning,81.17%,"1,656",0,24,813540
91,Astrologaster,88.02%,"1,652",0,32,742520
92,Rage in Peace,83.47%,"1,576",0,28,658690
93,Kandidatos,86.86%,"1,574",33,289,1395560
94,XO,81.68%,"1,572",1,29,399720
95,SLUDGE LIFE,85.19%,"1,552",8,62,1144770
96,Roombo: First Blood - JUSTICE SUCKS,84.45%,"1,515",3,74,1004610
97,Scarlet Hollow — Episode 1,90.65%,"1,511",2,35,1406040
98,CUCKOLD SIMULATOR: Life as a Beta Male Cuck,88.42%,"1,486",13,70,1141550
99,Dad Quest,79.60%,"1,407",0,17,524250
