,Name,Rating,Followers,Online,Peak,id
0,RimWorld,96.82%,"464,522","31,405","50,907",294100
1,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","7,693","93,701",435150
2,鬼谷八荒,86.35%,"170,182","1,210","184,171",1468810
3,UBOAT,77.35%,"103,847",533,"5,755",494840
5,Mass Effect™ Legendary Edition,89.46%,"92,897","5,858","59,817",1328670
6,Armello,80.42%,"90,904",202,"3,614",290340
7,Mordheim: City of the Damned,68.78%,"79,481",162,"2,715",276810
8,Valkyria Chronicles™,88.36%,"73,921",61,"5,039",294860
9,Starpoint Gemini Warlords,71.86%,"67,738",26,"1,260",419480
10,Solasta: Crown of the Magister,87.93%,"63,680",673,"8,291",1096530
11,Gloomhaven,84.66%,"60,910",489,"2,179",780290
12,Battle Brothers,85.84%,"59,292","1,101","8,060",365360
13,Wildermyth,92.25%,"56,342","1,119","8,106",763890
14,Starpoint Gemini 2,67.95%,"54,537",18,"20,842",236150
15,Valkyria Chronicles 4 Complete Edition,84.94%,"54,319",96,"2,546",790820
16,The Banner Saga 2,86.14%,"47,302",40,"1,924",281640
17,Heroes of the Three Kingdoms 8,54.64%,"46,390",167,"25,160",875210
18,The Legend of Heroes: Trails in the Sky,89.67%,"46,072",115,"2,014",251150
19,Partisans 1941,82.14%,"41,670",49,"3,061",1227530
20,Disgaea PC,84.93%,"40,997",71,"2,937",405900
21,SD GUNDAM G GENERATION CROSS RAYS,83.59%,"40,192",263,"10,415",728530
22,Stellar Tactics,80.16%,"39,032",9,130,465490
23,XCOM®: Chimera Squad,71.85%,"37,401",312,"35,955",882100
24,The Last Spell,88.27%,"37,210",330,"6,755",1105670
25,Wargroove,82.45%,"35,943",95,"5,065",607050
26,Between the Stars,78.95%,"35,676",7,429,727130
27,圣女战旗 Banner of the Maid,87.14%,"35,202",22,"3,737",994730
28,Fell Seal: Arbiter's Mark,86.82%,"34,914",97,"1,791",699170
29,The Banner Saga,86.98%,"34,764",68,"4,476",237990
30,Expeditions: Viking,81.83%,"34,128",151,"2,901",445190
31,The Age of Decadence,79.24%,"33,609",19,703,230070
32,Ash of Gods: Redemption,74.01%,"33,022",8,"1,002",691690
33,TROUBLESHOOTER: Abandoned Children,90.98%,"32,444",133,"1,012",470310
34,Pathway,72.52%,"32,347",12,"1,952",546430
35,Fantasy Grounds Classic,77.40%,"31,298",56,991,252690
36,Card Hunter,83.38%,"30,540",113,"5,800",293260
37,Planescape: Torment: Enhanced Edition,90.69%,"30,167",106,955,466300
38,Renowned Explorers: International Society,88.37%,"27,904",11,915,296970
39,Star Renegades,81.85%,"26,405",37,"1,785",651670
40,WARTILE,74.88%,"26,184",0,332,404200
41,Halcyon 6: Starbase Commander,80.07%,"25,359",4,"2,988",371200
42,Colony Ship: A Post-Earth Role Playing Game,78.99%,"25,133",11,380,648410
43,Urtuk: The Desolation,86.72%,"24,676",63,949,1181830
44,King Arthur: Knight's Tale,73.72%,"24,511",9,390,1157390
45,Disgaea 5 Complete,84.08%,"23,044",146,"2,191",803600
46,Strategic Mind: The Pacific,74.17%,"22,688",13,151,991810
47,Necromunda: Underhive Wars,57.70%,"22,514",31,"4,260",566440
48,The Dwarves,71.47%,"22,421",3,972,403970
49,Phoenix Point: Year One Edition,69.39%,"22,078",433,"4,993",839770
52,MASSIVE CHALICE,69.69%,"20,491",4,697,246110
53,Star Traders: Frontiers,83.30%,"20,167",103,"1,111",335620
54,Chroma Squad,89.50%,"18,941",8,949,251130
55,Disgaea 2 PC,86.32%,"18,828",53,918,495280
56,The Banner Saga 3,78.48%,"18,561",39,"1,428",485460
59,Low Magic Age,87.30%,"17,180",32,212,576770
60,Warhammer Underworlds: Online,61.88%,"16,994",13,793,1022310
61,Trials of Fire,84.48%,"16,327",36,"1,765",1038370
62,Day of Dragons,60.18%,"15,362",613,"2,490",1088090
63,Children of Zodiarcs,67.98%,"15,160",5,429,436290
64,Legends of Eisenwald,73.32%,"14,967",11,872,246760
65,Dark Deity,77.39%,"14,513",77,"2,043",1374840
66,Kingdom Rush Vengeance - Tower Defense,91.85%,"14,464",140,"3,206",1367550
67,Fallen: A2P Protocol,39.81%,"13,938",0,146,325790
68,Iron Danger,71.85%,"12,736",2,209,899310
69,恐惧之间 Fear surrounds,85.77%,"12,429",516,"7,373",1526490
70,Fort Triumph,76.14%,"12,159",14,556,612570
72,Phantom Brave PC,82.37%,"12,083",15,219,409870
74,Templar Battleforce,88.46%,"12,028",6,106,370020
75,Fallout Tactics: Brotherhood of Steel,76.45%,"11,977",46,222,38420
76,Vaporum,83.22%,"11,939",5,142,629690
77,Warbanners,68.72%,"11,814",1,122,650440
78,The Waylanders,66.28%,"11,798",0,321,957710
79,Fae Tactics,80.90%,"11,660",27,576,995980
80,Fallen Enchantress: Legendary Heroes,70.83%,"11,616",54,"2,682",228260
81,FLAMBERGE,79.92%,"11,556",0,8,355420
82,Popup Dungeon,75.31%,"10,872",14,661,349730
83,Jagged Alliance: Rage!,50.97%,"10,462",3,308,463170
84,The Hand of Merlin,74.01%,"10,457",8,150,600610
85,Dustwind,71.88%,"10,393",0,143,600460
86,TINY METAL,67.41%,"10,190",2,109,751500
87,Agarest: Generations of War Zero,71.02%,"10,166",5,442,260130
88,Hyperdevotion Noire: Goddess Black Heart (Neptunia),77.53%,"10,070",1,499,415480
89,Warbands: Bushido,66.84%,"9,542",1,129,556820
90,Agarest: Generations of War,69.90%,"9,537",12,"3,813",237890
91,Tactical Monsters Rumble Arena,86.05%,"9,510",65,"1,283",705220
93,Game of Thrones Winter is Coming,59.40%,"9,450",799,"1,681",1105420
94,WARSAW,72.02%,"9,173",11,351,1026420
95,Blackguards,61.02%,"9,163",18,"2,360",249650
97,SUPER ROBOT WARS X,86.85%,"8,895",76,852,1031510
99,Light Fairytale Episode 1,76.36%,"8,704",0,22,539330
