,Name,Rating,Followers,Online,Peak,id
0,RimWorld,96.82%,"464,522","30,851","50,907",294100
1,Frostpunk,89.70%,"331,686","5,206","29,361",323190
2,Oxygen Not Included,94.72%,"330,996","6,915","27,486",457140
3,Northgard,86.40%,"301,336","1,756","15,592",466560
4,They Are Billions,83.54%,"255,231","1,779","22,395",644930
5,Prison Architect,89.34%,"193,132","1,160","16,211",233450
6,The Universim,79.80%,"185,851",89,"2,825",352720
7,Foundation,83.89%,"169,502",485,"4,088",690830
8,Medieval Dynasty,89.43%,"169,428","1,654","18,738",1129580
9,Banished,88.45%,"139,043",998,"24,636",242920
10,Surviving Mars,82.71%,"138,495","1,049","23,744",464920
11,Stonehearth,74.58%,"130,698",161,"1,851",253250
12,Kingdoms and Castles,89.60%,"130,527",588,"4,856",569480
13,Dawn of Man,84.96%,"127,454",756,"23,864",858810
14,Planetbase,76.58%,"113,392",266,"6,670",403190
15,Going Medieval,86.46%,"111,810","1,803","14,676",1029780
16,Space Haven,84.82%,"103,253",379,"5,687",979110
17,Offworld Trading Company,74.49%,"99,030",55,"2,698",271240
18,Life is Feudal: Forest Village,64.48%,"96,003",127,"1,962",496460
19,Craft The World,85.67%,"95,647",233,"3,283",248390
21,Amazing Cultivation Simulator,85.13%,"89,410",880,"18,349",955900
22,Endzone - A World Apart,76.01%,"88,186",145,"6,426",933820
23,Colony Survival,87.91%,"74,140",159,"1,488",366090
24,SPORE™,89.61%,"72,420",922,"5,630",17390
25,Industries of Titan,68.75%,"68,229",56,"2,217",427940
26,Farm Together,91.62%,"62,501",680,"3,671",673950
27,Judgment: Apocalypse Survival Simulation,78.31%,"61,515",40,"1,277",455980
28,Kingdoms Reborn,86.39%,"57,038",714,"2,014",1307890
29,Stationeers,81.26%,"53,413",270,"1,093",544550
30,Cliff Empire,84.91%,"52,488",49,"3,099",809140
31,Rise to Ruins,86.68%,"52,283",59,"1,469",328080
32,Kingdom: Classic,88.16%,"51,950",124,"64,944",368230
33,Factory Town,87.50%,"51,365",72,"2,648",860890
34,Kingdom Two Crowns,86.04%,"49,426",303,"3,223",701160
35,Empires of the Undergrowth,91.36%,"47,790",211,989,463530
36,Flotsam,71.75%,"47,463",22,"2,075",821250
37,ISLANDERS,92.48%,"46,625",141,"1,783",1046030
38,Stronghold: Warlords,60.49%,"43,702",95,"4,434",907650
39,Becastled,80.16%,"43,457",85,"1,507",1330460
40,Kingdom: New Lands,84.50%,"42,499",88,"3,518",496300
41,Imagine Earth,76.54%,"42,187",22,327,280720
42,Ostriv,88.23%,"39,801",124,"1,148",773790
44,Surviving the Aftermath,64.96%,"36,972",90,"1,943",684450
45,Frozenheim,68.16%,"36,555",58,"2,523",1134100
46,Starmancer,59.20%,"35,543",295,916,1062000
47,Castle Story,60.37%,"35,034",63,"1,565",227860
48,The Immortal Mayor,61.60%,"33,378",43,"3,232",1426730
50,Per Aspera,69.07%,"30,952",64,"4,342",803050
51,Screeps: World,85.52%,"30,828",57,359,464350
52,CryoFall,76.50%,"28,629",153,"3,681",829590
53,Aven Colony,73.23%,"25,906",41,"1,738",484900
54,First Feudal,72.51%,"25,879",17,135,733460
55,Before We Leave,75.38%,"25,230",58,"2,313",1073910
56,Atomic Society,69.25%,"25,183",52,253,514500
57,Hammerting,71.12%,"24,690",130,"1,456",760650
59,Founders' Fortune,81.28%,"24,185",85,863,1104330
60,Depraved,63.04%,"24,185",9,723,762650
61,Academia : School Simulator,79.99%,"22,962",29,406,672630
62,Ancient Cities,52.79%,"22,428",10,549,667610
63,As Far As The Eye,76.12%,"21,612",53,"1,532",1119700
64,Ratropolis,85.44%,"21,009",72,"1,470",1108370
65,Drake Hollow,77.30%,"20,620",73,781,739650
66,Kubifaktorium,75.05%,"20,601",6,240,898720
68,Rebuild 3: Gangs of Deadsville,81.94%,"20,365",43,"1,185",257170
69,The Colonists,80.87%,"20,046",35,723,677340
70,Autonauts,86.37%,"20,041",126,"3,598",979120
71,Stronghold Crusader HD,94.51%,"20,015",652,"2,612",40970
72,Embark,62.88%,"19,832",4,243,1055090
73,Ymir,72.64%,"19,426",52,564,378360
74,Until We Die,76.89%,"18,157",64,"2,335",1197570
75,Gnomoria,75.15%,"17,963",20,"2,050",224500
76,Stronghold HD,91.86%,"17,249",149,755,40950
79,Buoyancy,74.17%,"16,155",9,294,1012610
81,Ruinarch,78.95%,"15,484",9,"1,075",909320
82,KeeperRL,83.31%,"15,093",18,146,329970
83,Songs of Syx,89.03%,"14,981",217,318,1162750
84,Patron,73.32%,"14,704",863,"1,349",1538570
85,Regions Of Ruin,84.54%,"14,599",20,"3,062",680360
86,The Guild II Renaissance,79.62%,"14,496",74,"1,249",39680
87,Maia,46.18%,"13,992",1,101,252250
88,Ostranauts,71.61%,"13,699",2,390,1022980
89,Stronghold Kingdoms,63.95%,"13,177",345,"8,616",47410
90,Garbage,69.86%,"11,111",18,553,1253710
91,Odd Realm,84.79%,"10,795",4,96,688060
92,Garbage: Hobo Prophecy,73.17%,"10,534",3,888,1494440
93,Ragnorium,74.46%,"10,293",8,120,474020
95,Blueprint Tycoon,77.93%,"10,233",2,978,454060
96,Snowtopia: Ski Resort Builder,70.39%,"10,228",8,577,1124260
97,Galactic Crew,53.77%,"9,840",0,19,693750
98,Pure Farming 2018,69.33%,"9,545",6,"1,890",534370
99,Ecosystem,77.03%,"9,363",9,158,1133120
