,Name,Rating,Followers,Online,Peak,id
0,Free to Play,92.36%,"25,355",1,"53,002",245550
1,Portal 2 - The Final Hours,76.17%,"2,453",0,450,104600
2,Titanfall - The Final Hours,36.64%,"2,271",0,33,292060
3,Indie Game: The Movie,88.02%,"1,938",1,"1,114",207080
4,Mad Max: Fury Road,77.54%,"1,510",0,54,396120
5,The Making of Horizon Zero Dawn,78.13%,962,0,36,804410
6,The Great C,82.29%,925,0,14,841460
7,Motivational Growth,75.57%,911,0,13,359410
8,THE LAST -NARUTO THE MOVIE-,80.13%,641,0,34,439650
9,The Bond,84.98%,495,0,8,911250
10,Mad Max 2: The Road Warrior,75.00%,370,0,7,396130
11,Mad Max (1979),75.00%,327,0,8,398330
12,The Book of Distance,87.16%,306,0,6,1245640
13,Mad Max Beyond Thunderdome,68.15%,256,0,7,396140
14,Kamile: The Fall,64.73%,199,0,2,1142410
15,Landflix Odyssey,70.57%,162,0,4,794850
16,Lyceum of the Strange,63.89%,123,0,4,948230
17,Exaella OVA,64.78%,121,0,2,869160
18,ROAD TO NINJA -NARUTO THE MOVIE-,69.20%,106,0,5,439640
19,Systematic Insanity,-,100,0,1,1159430
20,Naruto Shippuden the Movie: Blood Prison,64.78%,93,0,5,439630
21,Naruto Shippuden the Movie: The Lost Tower,-,77,0,2,439620
22,Naruto the Movie: Legend of the Stone of Gelel,59.42%,75,0,3,439570
23,Naruto the Movie: Ninja Clash in the Land of Snow,67.06%,72,0,3,439560
24,Naruto Shippuden the Movie: The Will of Fire,50.00%,71,0,3,439610
25,Naruto the Movie: Guardians of the Crescent Moon Kingdom,59.42%,71,0,2,439580
26,Naruto Shippuden the Movie,-,66,0,2,439590
27,Naruto Shippuden the Movie: Bonds,-,58,0,3,439600
28,Afterlife,42.61%,43,0,3,1012370
29,Meteor,45.83%,35,0,2,912790
30,Fiendish Thieves,52.78%,28,0,2,1491680
31,Passion At All Costs - Documentary,59.42%,-,-,-,1389340
