,Name,Rating,Followers,Online,Peak,id
0,WILL: A Wonderful World / WILL：美好世界,90.62%,"32,509",22,"1,126",588040
1,Our End of the World,77.07%,"26,433",15,720,703700
2,Cyber Manhunt,91.08%,"22,138",508,"2,807",1216710
3,Draw & Guess,83.26%,"19,406","17,769","41,766",1483870
4,The Jackbox Party Pack 7,92.44%,"13,114",220,"10,599",1211630
5,"Kid,napper: Gosh, I'm Kidnapped by a Pupil",86.14%,"9,215",6,263,862690
7,Touhou Mystia's Izakaya,92.95%,"7,881",86,664,1584090
9,Scribble It!,83.36%,"6,764",182,"1,661",1088150
10,我来自江湖 From Jianghu,71.80%,"6,604",234,"1,965",1058770
11,枝江往事,92.33%,"6,346",31,"1,142",1641270
12,月球坠落时 Moon Fall,83.46%,"5,535",3,101,1092400
13,Typoman,81.93%,"5,534",3,54,336240
14,Vampires' Melody,92.82%,"4,528",7,174,1377360
15,1bitHeart,86.48%,"4,241",5,47,618720
16,Roman's Christmas / 罗曼圣诞探案集,91.39%,"3,984",10,348,926340
17,Re: LieF ~ Shin'ainaru Anata e~,88.48%,"3,802",13,167,1518770
18,~Be a maid in the Demon World~ The Secret Café of the Demon Angel Hero.,77.83%,"3,529",1,105,1377550
19,风信楼,88.47%,"3,391",21,229,1126310
20,Lost Words: Beyond the Page,85.72%,"3,358",1,43,599610
22,前程似锦 Excellent Expectations,82.64%,"3,148",2,64,759940
23,恋爱绮谭~不存在的夏天~,91.12%,"2,841",13,106,1345740
24,Lost in Secular Love,83.68%,"2,815",3,42,520850
25,墨心：波云诡船,86.35%,"2,686",3,314,1424720
26,莫比乌斯之环-不属于任何人的交响悲歌-MOBIUS & ELEGY BELONGS TO NOBODY,69.58%,"2,374",0,25,1094320
27,迷雾之夏-The Vigilant Villa,76.72%,"2,319",10,479,1254900
28,懒人修仙传,62.86%,"2,303",285,"1,522",892420
29,Sweet House,73.78%,"2,251",10,200,1659800
30,Epiphyllum in Love,93.11%,"2,223",1,97,1161870
31,副作用之瞳-Tlicolity Eyes-,69.36%,"1,931",10,67,1195830
32,云端之约,87.00%,"1,881",2,65,1422540
33,Don't Forget Me,69.20%,"1,856",0,35,1335800
36,Knell of St. Godhrkar,84.08%,"1,784",6,24,1377450
37,Words for Evil,75.09%,"1,773",1,634,335790
38,I'a I'a Cofflhu Fhtagnyaa,81.93%,"1,706",1,57,1373320
39,What The Dub?!,80.77%,"1,705",7,75,1495860
40,Yoshiwara Higanbana,85.79%,"1,614",5,97,1487590
41,Wordle,80.28%,"1,509",7,193,1334000
42,MyCompany996,71.50%,"1,415",7,449,1249060
43,夜永 Eternal Love,89.66%,"1,405",2,304,1416240
44,THE MONSTER OF MEMORY:DESTINY,80.31%,"1,340",3,40,1430030
45,Letter Quest: Grimm's Journey Remastered,85.27%,"1,315",2,"1,284",373970
46,Chinatris,83.45%,"1,262",3,219,1139800
47,SELF,74.26%,"1,250",0,38,1074170
48,Lingua Fleur: Lily,87.92%,"1,215",0,19,986280
49,Letter Quest: Grimm's Journey,85.71%,"1,077",1,803,328730
50,天降锦鲤 ~ My Lucky Koi,86.39%,"1,048",0,11,1184420
51,Witch of Ice Kingdom Ⅱ,75.72%,"1,031",0,22,568830
52,Love in the distance,62.17%,"1,017",0,179,1521190
53,侠隐行录：困境疑云Wuxia archive: Crisis escape,72.61%,"1,011",1,53,923840
54,Traditional Chinese Medicine Simulator,80.00%,"1,005",9,14,909380
56,God of Word,68.79%,967,1,38,467320
57,Spellspire,67.68%,932,0,18,626580
60,場外人生,80.31%,875,5,36,1120370
61,流言侦探,77.68%,820,0,91,1559300
62,Wordle 3,79.41%,819,0,40,1428820
63,Typefighters (Steam Edition),63.60%,806,0,81,434290
64,WhiteLily 2：梦醒少女,87.65%,803,2,65,1286330
65,Amazing Pyramids: Rebirth,72.42%,784,0,4,1460870
68,异世界的无厘头生活,61.11%,762,1,19,1300160
69,Pixel Painter,71.27%,762,21,"14,105",648120
70,铁道少女:梦想轨迹 Railway To Dream,86.48%,756,0,25,1294060
71,Copy Editor: A RegEx Puzzle,59.37%,727,1,16,1489660
72,Coffee flavor of love 咖啡甜恋,86.92%,677,1,16,1508920
73,秘密舞会,89.61%,676,1,115,1494190
74,渡劫 x 魔女 ~ Team up with A Magician！,77.32%,659,0,7,1283210
75,Trackless,81.95%,609,0,10,586660
76,Tales of the Mirror,51.49%,598,256,288,1649830
78,NEKO PAPALA,55.17%,499,0,8,1472160
80,Alphabear: Hardcover Edition,73.98%,477,0,120,644080
81,The Mikado Birdgirl in Taichung,83.53%,459,0,10,1368780
82,安堂的心理咨询室：杯中之心〈ANDOU：Pulse of cup〉,75.23%,446,1,15,1416160
83,Synonymy,47.93%,420,0,247,342890
85,Stop Online - Battle of Words,58.80%,384,0,117,406310
86,CLEARWORLD,61.96%,371,0,6,1494860
87,冷血症骰子,83.37%,365,0,16,1401220
88,Kotoba no Puzzle: Mojipittan Encore,76.97%,365,0,58,1366960
89,雾之本境S Conspiracy Field: Fog Shadow,62.85%,364,0,25,1339410
90,古代人生 Ancient Life,50.00%,350,1,37,1465190
93,The HeartBeat,85.12%,324,1,5,1386710
94,You Can Kana,77.41%,310,8,11,1031900
95,HEX Hacking Simulator,68.00%,303,0,7,1281610
96,Glider Sim,71.94%,302,0,6,1422940
97,Duck Creator,73.04%,297,0,12,1441900
98,Desktop NEKO Girl,67.59%,296,1,14,1480440
