,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","28,822","66,512",431960
1,Subverse,80.55%,"174,461",55,"25,318",1034140
2,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",986,"10,381",958260
3,Mirror,95.43%,"126,433",256,"7,565",644560
4,House Party,86.30%,"97,572",220,"1,074",611790
5,NEKOPARA Vol. 1,93.39%,"83,447",76,487,333600
6,AI＊Shoujo/AI＊少女,74.01%,"72,519",58,599,1250650
7,VR Kanojo / VRカノジョ,74.47%,"64,162",4,66,751440
8,コイカツ！ / Koikatsu Party,89.76%,"58,935",197,367,1073440
9,NEKOPARA Vol. 3,94.32%,"52,580",21,"2,571",602520
10,Monster Girl Island: Prologue,93.74%,"51,807",68,"1,538",943700
11,NEKOPARA Vol. 2,94.43%,"51,636",19,"1,228",420110
12,League of Maidens®,53.19%,"47,584",132,"6,706",557180
13,Tricolour Lovestory,89.11%,"46,062",29,"2,733",668630
14,Dream Daddy: A Dad Dating Simulator,87.84%,"44,137",30,"14,471",654880
16,Breeders of the Nephelym: Alpha,88.20%,"41,261",207,"2,702",1161770
17,Haydee,82.63%,"39,275",5,381,530890
18,Action Taimanin,82.31%,"34,786",505,"2,894",1335200
19,Material Girl,89.13%,"33,329",13,"3,167",644570
20,Lost,79.34%,"32,023",4,"1,074",1126290
21,Dark Elf,85.98%,"29,980",9,"1,263",665180
22,Seek Girl:Fog Ⅰ,80.33%,"27,971",14,870,1263370
23,Being a DIK - Season 1,93.29%,"27,494",161,"1,185",1126320
24,Genital Jousting,89.16%,"26,515",4,610,469820
25,Lust for Darkness,67.43%,"25,762",9,288,523650
26,CUSTOM ORDER MAID 3D2 It's a Night Magic,81.50%,"25,655",23,311,1097580
27,Senren＊Banka,95.89%,"25,173",55,"1,450",1144400
28,LOVE³ -Love Cube-,90.38%,"25,094",4,380,939600
29,Sakura Clicker,82.28%,"25,094",101,"9,127",383080
30,Cloud Meadow,78.53%,"25,010",93,527,1223750
31,Yokai's Secret,88.09%,"24,971",8,"1,015",1146630
32,Summer Memories,88.42%,"24,114",83,"5,036",1227890
33,封灵档案,62.36%,"23,632",143,"4,224",1520470
34,MONMUSU,77.37%,"23,330",33,"4,291",533540
35,Negligee,75.54%,"22,088",0,218,432100
36,HuniePop 2: Double Date,88.39%,"21,313",246,"15,388",930210
37,Cute Honey,86.75%,"20,127",8,"1,160",1347430
38,Succubus Cafe,81.28%,"19,968",18,352,1520500
39,Swaying Girl,87.04%,"19,791",12,"1,447",1393350
40,Rebirth:Mr Wang,77.97%,"19,082",3,"1,812",1394800
41,Maitetsu:Pure Station,92.69%,"18,938",3,339,880950
42,Super Naughty Maid 2,83.90%,"18,336",5,93,1097880
43,Mahou Arms,80.40%,"17,826",0,103,1165870
44,King Exit,91.61%,"17,438",10,557,712840
45,Gal*Gun 2,85.42%,"17,304",12,145,851890
46,家有大貓 Nekojishi,89.02%,"17,265",8,451,570840
47,Futa Fix Dick Dine and Dash,84.80%,"16,890",18,399,1173400
48,Sex with the Devil,71.69%,"16,817",21,615,1202690
49,The Heiress,82.73%,"16,208",4,720,680320
50,VR Paradise,80.73%,"15,973",15,971,896890
51,Meltys Quest,91.83%,"15,940",18,463,723090
52,Robolife-Days with Aino,87.30%,"15,775",30,543,1477810
53,West Sweety,83.19%,"15,766",3,388,1186400
54,DEEP SPACE WAIFU,93.30%,"15,617",1,268,639790
55,Treasure Hunter Claire,86.27%,"15,456",8,702,828070
56,Amorous,80.03%,"15,372",52,438,778700
57,Man of the House,88.22%,"15,300",129,612,1148150
58,Hentai Crush,83.93%,"15,239",6,"1,166",1003520
59,Evenicle,88.62%,"14,929",30,266,955560
61,City of Broken Dreamers: Book One,88.79%,"14,767",42,386,1358250
62,PerfectLover,85.79%,"14,715",4,179,1181140
63,Venture Seas,77.44%,"14,583",29,335,1096520
64,Princess & Conquest,85.92%,"13,984",68,212,1083880
65,Love Vibe: Aria,54.37%,"13,890",2,38,884320
66,Last Evil,90.01%,"13,528",60,734,823910
67,Otaku's Fantasy,85.09%,"13,200",1,370,712050
68,Acting Lessons,92.81%,"12,692",58,263,1045520
69,Seek Girl Ⅲ,81.60%,"12,643",3,503,1191210
70,SWORD x HIME,76.03%,"12,636",8,442,1384630
71,Kindred Spirits on the Roof,91.11%,"12,567",6,228,402620
72,SUCCUBUS: Prologue,80.63%,"12,342",8,643,1344350
73,Lucy Got Problems,85.38%,"12,177",1,97,879510
74,Agony UNRATED,64.16%,"11,882",7,522,879420
75,Seek Girl,78.71%,"11,833",2,242,998930
76,Love Ribbon,88.83%,"11,832",0,162,559610
77,Love Esquire - RPG/Dating Sim/Visual Novel,86.39%,"11,807",16,528,849740
78,Hell Girls,85.11%,"11,739",4,"1,688",575550
79,Wet Girl,85.13%,"11,343",4,266,1008710
80,NinNinDays,87.66%,"10,955",1,240,1075980
81,Booty Calls,53.87%,"10,825",123,367,823550
82,Seed of the Dead,76.13%,"10,679",1,110,958480
83,Corruption of Champions II,89.80%,"10,366",145,423,1292690
84,Seek Girl Ⅳ,72.15%,"10,335",0,484,1212830
85,Hentai Girl,90.62%,"10,206",18,450,878750
86,Seeds of Chaos,77.63%,"10,010",14,133,1205950
87,Coming Out on Top,90.47%,"10,004",9,394,642090
88,Negligee: Love Stories (adult ver),66.59%,"9,820",0,139,467680
