,Name,Rating,Followers,Online,Peak,id
0,Sid Meier's Civilization® V,94.95%,"178,884","19,070","91,363",8930
1,Game Dev Tycoon,93.45%,"61,726",160,"7,761",239820
2,Plants vs. Zombies GOTY Edition,95.02%,"59,575","5,291","12,893",3590
3,Mini Metro,93.84%,"50,122",351,"2,104",287980
4,Bad North: Jotunn Edition,87.93%,"39,752",109,"1,136",688420
5,Crashlands,83.93%,"39,122",67,"1,761",391730
6,Shadowrun: Dragonfall - Director's Cut,86.72%,"36,059",49,"2,703",300550
7,The Banner Saga,86.98%,"34,765",62,"4,476",237990
8,Clicker Heroes,88.47%,"34,221","3,060","65,882",363970
9,Hidden Folks,93.52%,"29,424",35,763,435400
10,AdVenture Capitalist,86.86%,"24,539","1,448","22,998",346900
11,GRID Autosport,75.73%,"22,084",43,"3,554",255220
12,The Room,95.21%,"21,851",56,540,288160
13,Human Resource Machine,90.13%,"21,349",31,778,375820
14,Machinarium,92.70%,"21,192",28,"1,279",40700
15,SteamWorld Heist,91.98%,"20,481",19,"1,120",322190
16,Kingdom Rush - Tower Defense,93.72%,"17,745",240,"2,022",246420
17,Kingdom Rush Frontiers - Tower Defense,93.16%,"17,732",190,981,458710
18,Sonic & All-Stars Racing Transformed Collection,91.71%,"16,485",82,"5,861",212480
19,Talisman: Digital Edition,75.50%,"15,401",200,"3,590",247000
20,Root,89.06%,"15,026",75,496,965580
21,7 Billion Humans,88.50%,"13,017",78,715,792100
22,Out There: Ω Edition,73.05%,"13,016",4,491,334420
23,The Witcher Adventure Game,75.56%,"12,305",4,294,303800
24,Halo: Spartan Assault,77.55%,"12,141",6,680,277430
25,Tharsis,68.55%,"10,851",2,694,323060
26,Gems of War - Puzzle RPG,78.04%,"10,464","2,064","3,007",329110
27,Aurora Dusk: Steam Age,78.63%,"10,202",2,357,397160
28,Little Inferno,91.17%,"9,791",14,"2,129",221260
29,Poker Night at the Inventory,86.07%,"9,413",11,"10,146",31280
30,LYNE,92.90%,"8,553",7,239,266010
31,Defender's Quest: Valley of the Forgotten (DX edition),91.91%,"8,124",10,"3,014",218410
32,SpaceChem,88.65%,"8,005",16,"1,962",92800
33,Hook,93.89%,"7,607",4,261,367580
34,Hitman GO: Definitive Edition,81.74%,"7,589",8,183,427820
35,Knights of Pen and Paper +1 Edition,80.75%,"7,328",9,"1,368",231740
36,Superbrothers: Sword & Sworcery EP,74.94%,"7,270",2,731,204060
37,Defense Grid: The Awakening,92.75%,"7,061",98,"7,534",18500
38,World of Goo,90.72%,"6,952",17,"2,045",22000
39,Ticket to Ride,86.47%,"6,898",315,"2,164",108200
40,Magic 2014 — Duels of the Planeswalkers,80.02%,"6,561",35,"14,104",213850
41,PAC-MAN™ Championship Edition DX+,92.30%,"6,185",7,"3,694",236450
42,Halo: Spartan Strike,77.20%,"5,882",1,117,324570
43,Hidden Through Time,89.03%,"5,295",20,229,524910
44,Braveland,79.34%,"4,438",2,"218,169",285800
45,Prismata,78.75%,"3,997",13,"122,553",490220
46,ViRo Playspace,47.99%,"3,901",1,23,1121310
47,FRAMED Collection,87.65%,"3,809",11,145,322450
48,Small World,69.53%,"3,768",21,462,235620
49,Anomaly 2,76.33%,"3,735",2,"3,055",236730
50,MARVEL Puzzle Quest,67.95%,"3,644",411,"3,002",234330
51,You Must Build A Boat,78.59%,"3,422",0,706,290890
52,Reflection of Mine,77.40%,"3,359",2,177,476020
53,Circuits,85.45%,"3,288",0,248,282760
54,Hexcells,93.04%,"3,271",7,384,265890
55,Strain Tactics,77.08%,"3,100",0,28,621810
56,Bejeweled® 3,92.22%,"3,076",350,"1,415",78000
57,Along the Edge,84.13%,"2,792",2,42,504390
58,McPixel,80.91%,"2,791",1,"2,311",220860
59,Steam: Rails to Riches,72.83%,"2,790",1,37,595930
