,Name,Rating,Followers,Online,Peak,id
0,Descenders,91.14%,"22,498",370,"1,563",681280
1,Radical Heights,59.93%,"18,262",0,"12,757",809960
2,PIPE by BMX Streets,89.95%,"5,937",82,439,815780
3,The Ramp,89.71%,"1,823",9,110,1506510
4,BMX The Game,65.68%,"1,210",4,112,987150
5,Pumped BMX +,75.03%,668,0,32,392070
6,Shred! 2 - ft Sam Pilgrim,77.91%,512,3,24,853200
7,King Of Dirt,51.10%,346,0,6,588750
8,Pumped BMX Pro,71.15%,302,0,18,966720
9,Riders of Asgard,73.45%,243,0,20,552370
10,MTB Dirt,75.10%,154,2,9,1639730
11,Athletics 3: Summer Sports,40.03%,53,0,8,1648580
12,Model Building Restoration,25.81%,53,0,3,1623300
13,Hero Express,72.22%,43,0,3,1080630
14,Click and Relax,40.58%,14,0,1,1537960
