,Name,Rating,Followers,Online,Peak,id
0,Monster Hunter: World,83.48%,"745,080","11,223","334,684",582010
1,DARK SOULS™ III,93.01%,"562,806","10,243","129,975",374320
2,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,234","125,315",814380
3,Dead Cells,95.35%,"285,472","1,260","13,802",588650
4,Hollow Knight,95.74%,"267,383","6,362","11,992",367520
6,BIOMUTANT,67.29%,"210,413",269,"55,048",597820
7,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,625","12,106",335300
8,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",792,"46,550",1172380
9,Remnant: From the Ashes,83.26%,"169,449",633,"48,289",617290
11,CODE VEIN,86.15%,"151,661",505,"33,895",678960
12,Vampyr,74.29%,"146,859",143,"16,120",427290
13,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",381,"10,649",485510
14,Ori and the Will of the Wisps,94.75%,"142,463",422,"34,807",1057090
15,Outward,73.22%,"135,949",562,"11,296",794260
16,Bright Memory,89.92%,"130,715",9,"1,907",955050
17,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",380,"11,259",211420
18,DARK SOULS™ II,87.50%,"117,175",275,"79,528",236430
19,Absolver,68.56%,"108,540",44,"18,921",473690
20,Hyper Light Drifter,91.37%,"105,909",49,"4,954",257850
21,Darksiders III,73.98%,"102,635",277,"7,730",606280
22,Bless Unleashed,51.88%,"96,298","23,924","76,342",1254120
23,DARK SOULS™: REMASTERED,86.11%,"95,652","2,451","24,501",570940
24,古剑奇谭三(Gujian3),84.32%,"89,790",150,"10,183",994280
25,She Will Punish Them,90.23%,"86,348",510,"15,711",1213740
26,Lords Of The Fallen™,59.89%,"79,861",40,"8,024",265300
27,Salt and Sanctuary,88.92%,"79,203",146,"2,430",283640
28,Exanima,79.90%,"78,046",112,838,362490
29,Gunfire Reborn,92.02%,"74,275","2,447","35,263",1217060
30,Nioh 2 – The Complete Edition,83.54%,"70,527","1,470","41,325",1325200
31,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",177,"3,755",731490
32,The Surge,73.32%,"64,795",64,"5,978",378540
33,ENDER LILIES: Quietus of the Knights,92.05%,"63,603",340,"6,332",1369630
34,EITR,-,"62,248",0,8,350050
35,Death's Gambit,73.74%,"57,138",22,"2,538",356650
36,Blasphemous,87.43%,"55,967",259,"3,247",774361
37,EA SPORTS™ FIFA 21,73.38%,"55,258","21,351","44,388",1313860
38,Curse of the Dead Gods,84.38%,"52,853",133,"3,004",1123770
39,Ashen,68.90%,"51,380",30,674,649950
40,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,92.76%,"51,319",93,"15,419",969990
41,NECROPOLIS: BRUTAL EDITION,64.20%,"48,577",6,"5,148",384490
42,Momodora: Reverie Under The Moonlight,91.08%,"47,643",38,693,428550
44,Little Witch Nobeta,92.44%,"38,922",7,"2,514",1049890
45,The Surge 2,76.63%,"38,496",117,"3,719",644830
46,Titan Souls,76.42%,"37,566",50,"4,404",297130
47,Death's Door,90.96%,"35,530",625,"3,740",894020
48,Hellpoint,73.41%,"35,316",63,"1,911",628670
49,Carnal Instinct,74.02%,"32,173",31,293,1495320
50,Rain World,86.35%,"32,111",67,336,312520
52,LET IT DIE,70.69%,"27,526",112,"1,939",794600
53,BELOW,68.64%,"26,896",4,765,250680
54,Eastern Exorcist,82.38%,"26,893",30,"2,206",1120810
55,Xuan-Yuan Sword VII,62.81%,"26,058",13,"12,320",1249800
57,雀魂麻將(MahjongSoul),68.74%,"25,218","1,083","13,679",1329410
59,Dark Devotion,74.70%,"21,091",10,512,718590
60,Vigil: The Longest Night,85.37%,"20,407",56,"1,448",720560
61,SINNER: Sacrifice for Redemption,65.14%,"20,291",1,50,691280
62,Hunter's Arena: Legends,59.33%,"20,162",74,"1,079",1061100
63,MONOPOLY® PLUS,43.41%,"18,139",170,"3,180",562810
64,The Wind Road 紫塞秋风,65.81%,"17,639",0,"4,874",1264670
65,GRIME,77.74%,"17,556",710,"2,012",1123050
66,Eldest Souls,78.30%,"17,522",60,748,1108590
67,Tower Hunter: Erza's Trial,74.48%,"17,148",7,288,844850
68,Panty Party,86.39%,"16,815",1,61,562410
69,Bound By Flame,65.88%,"15,977",2,"2,639",243930
70,5D Chess With Multiverse Time Travel,93.03%,"14,714",75,649,1349230
71,Neverinth,71.90%,"14,695",0,98,966430
72,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",89.66%,"14,638",20,"4,372",1121910
73,Devil Slayer - Raksasi,81.22%,"13,594",14,"1,080",1016600
74,Samurai Jack: Battle Through Time,81.55%,"13,381",4,665,1150590
75,Minoria,79.01%,"13,215",8,343,940910
76,Slain: Back from Hell,69.09%,"12,265",1,252,369070
77,Immortal: Unchained,66.02%,"11,274",2,245,369440
78,Dreamscaper: Prologue,86.07%,"10,829",0,737,1253950
79,Hentai Girl,90.62%,"10,206",16,450,878750
81,Morbid: The Seven Acolytes,70.95%,"9,783",6,218,1140890
82,Dungeons of Edera,77.45%,"9,684",58,326,1131240
83,Going Under,89.03%,"9,560",51,568,1154810
85,Foregone,78.53%,"8,730",9,186,1000760
87,ELDERBORN,82.88%,"8,576",41,391,727850
88,Almighty: Kill Your Gods,63.29%,"8,422",6,544,1206600
90,Egress,59.91%,"8,369",0,48,750800
91,Dark Fantasy Warriors,58.49%,"8,218",0,3,1488820
92,HellCat,78.71%,"7,993",0,11,864860
94,LOST EPIC,68.88%,"7,837",12,"1,175",1426490
95,罪業狂襲FrenzyRetribution,73.36%,"7,832",0,416,1108560
96,VEGAS Pro 14 Edit Steam Edition,79.61%,"7,220",122,278,528200
97,La-Mulana 2,81.61%,"7,196",15,"1,191",835430
99,Unworthy,76.49%,"7,015",2,111,613190
