,Name,Rating,Followers,Online,Peak,id
0,Mountain,86.26%,"13,485",159,"1,667",313340
1,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.20%,"6,731",223,757,795630
2,OVIVO,83.26%,"4,483",1,72,597700
3,Terroir,69.19%,"3,748",3,55,559910
4,Osmos,83.40%,"2,930",1,486,29180
5,Showdown Bandit,62.33%,"2,577",0,332,1076280
6,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",88,261,973600
7,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,667",117,213,1182930
8,Fractal Space,-,"1,143",0,3,435410
9,Movavi Photo Editor,63.52%,737,10,26,982520
10,"Movavi Video Suite 2021 Steam Edition -- Video Making Software - Video Editor, Screen Recorder and Video Converter",62.92%,668,22,43,1418970
11,Incredipede,67.64%,603,0,107,230150
12,Tiny Bubbles,79.45%,591,1,26,705500
13,RPG Sounds,82.27%,468,9,26,1480140
14,DeepStates [VR],82.22%,461,1,6,1619350
15,Cuit,71.52%,389,0,52,614890
17,Wooden House,60.03%,349,0,"7,676",513570
18,Containment,75.62%,321,0,12,771010
19,Deep Lake: Prologue,72.09%,292,0,9,1649290
20,Liminal,62.93%,291,0,9,1453730
21,Agent-00,66.24%,279,1,9,1299580
23,Gecata by Movavi 6 – Streaming and Game Recording Software,47.17%,242,3,14,1403840
24,My Hole is a Mouth of Dirt,82.25%,238,0,14,1251690
25,Patterna,78.37%,209,0,9,503860
26,Movavi Picverse - Photo Editing Software,68.97%,179,1,5,1403800
27,Lorera,72.21%,149,0,6,1309940
28,SOULBOUND,59.60%,132,0,3,1274720
29,Linklight,80.28%,119,0,6,1066490
30,RESONARK X,73.45%,111,0,5,1366570
32,Puzzle Party,76.58%,96,0,11,434470
33,AVROD,53.32%,85,0,3,1495350
34,Relaxicon,73.89%,65,0,3,815010
35,soundStrider,67.06%,40,0,1,1283450
36,Schematic,64.08%,33,0,3,1656850
37,Sudokolorful,72.42%,32,1,5,1693610
38,Kristallijn,68.15%,25,0,2,1412630
39,Zeph,74.19%,25,0,7,1279810
40,Kanso,67.06%,23,0,2,1454650
41,Relax Simulator,66.76%,22,0,3,1232230
42,Drowned Gems,50.00%,21,1,1,1612850
43,Christmas day,54.17%,20,0,2,1479010
44,Bloat,77.41%,20,0,3,1407920
46,Wild Times,54.17%,19,0,2,1568270
47,Partless Ron,55.69%,19,0,1,1560750
50,Anagrams,57.39%,18,0,5,1345940
51,Elder Puzzle,59.60%,16,0,2,1547260
52,Roboggled,67.06%,16,0,2,1505220
53,Space Debris,59.42%,16,0,3,1410300
56,NUMTATE,64.08%,15,0,2,1234160
57,Lost Gold,-,11,0,1,1560760
58,Night Monsters,32.94%,7,0,2,1560960
60,Portal 2 Soundtrack,89.78%,0,0,1,323180
61,RPG Sounds - Kobolds - Sound Pack,-,-,-,-,1642740
62,Yupitergrad - Original Soundtrack,76.90%,-,-,-,1637590
63,RPG Sounds - Ancient Woodlands - Sound Pack,-,-,-,-,1630790
64,Bring Back The Sun Soundtrack,-,-,-,-,1596280
65,RPG Sounds - Midnight Curse - Sound Pack,-,-,-,-,1573780
66,RPG Sounds - Frost Lands - Sound Pack,-,-,-,-,1552360
67,RPG Sounds - Woodenhorn Clan - Sound Pack,-,-,-,-,1540380
68,RPG Sounds - Wood and metal weapons - Sound Pack,-,-,-,-,1535933
69,RPG Sounds - Weather - Sound Pack,-,-,-,-,1535932
70,RPG Sounds - The Sewers - Sound Pack,-,-,-,-,1535931
71,RPG Sounds - Spells - Sound Pack,-,-,-,-,1535930
72,RPG Sounds - Ranged - Sound Pack,-,-,-,-,1528490
73,RPG Sounds - SciFi - Sound Pack,-,-,-,-,1528480
74,RPG Sounds - Pirate Ship - Sound Pack,-,-,-,-,1524687
75,RPG Sounds - Mountain - Sound Pack,-,-,-,-,1524686
76,RPG Sounds - Meadows - Sound Pack,-,-,-,-,1524685
77,RPG Sounds - Graveyard - Sound Pack,-,-,-,-,1524682
78,RPG Sounds - Forest - Sound Pack,-,-,-,-,1524681
79,RPG Sounds - Combat - Sound Pack,-,-,-,-,1524660
80,RPG Sounds - Dragon's Tower - Sound Pack,-,-,-,-,1493830
81,Clarevoyance Soundtrack,-,-,-,-,1490720
82,Movavi Video Editor Plus 2020 Effects - Halloween Pack,-,-,-,-,1452050
83,Fujii OST,-,-,-,-,1332020
84,Space Haven Soundtrack,67.06%,-,-,-,1325700
85,Disciples: Sacred Lands Gold Soundtrack,59.42%,-,-,-,1314720
86,G String Original Soundtrack,70.84%,-,-,-,1270810
87,The Hive Soundtrack,59.42%,-,-,-,1257630
88,Movavi Video Editor Plus 2020 Effects - VHS Intro Pack,-,-,-,-,1253755
89,Movavi Video Editor Plus 2020 Effects - Mystical Galaxy Pack,-,-,-,-,1253751
90,Movavi Video Editor Plus 2020 Effects - Cinematic Set,50.00%,-,-,-,1253750
91,Brigador - Vol. II,73.26%,-,-,-,1239511
92,Movavi Video Editor 15 Plus Effects- Halloween Pack,-,-,-,-,971491
93,Movavi Video Editor 15 Plus Effects - Fitness Set,-,-,-,-,969044
94,sphereFACE Soundtrack,-,-,-,-,635820
