,Name,Rating,Followers,Online,Peak,id
0,家有大貓 Nekojishi,89.02%,"17,274",28,451,570840
1,Hatoful Boyfriend,90.73%,"10,719",6,429,310080
2,Amnesia™: Memories,88.54%,"10,143",17,558,359390
3,Our Life: Beginnings & Always,94.85%,"9,519",113,"1,400",1129190
4,Boyfriend Dungeon,82.69%,"8,576",331,"1,087",674930
5,Cinderella Phenomenon - Otome/Visual Novel,92.83%,"8,091",16,354,568770
6,Blush Blush,84.92%,"8,057",425,"2,581",777130
7,Blood Code,71.14%,"8,044",1,304,386480
8,CUPID - A free to play Visual Novel,83.01%,"7,028",0,212,421670
9,Cinders,82.70%,"6,973",0,149,293680
10,Seduce Me the Otome,82.73%,"6,946",4,238,367120
11,DRAMAtical Murder,89.66%,"5,712",20,274,1481080
12,Nameless ~The one thing you must recall~,87.25%,"5,675",4,61,337930
13,OZMAFIA!!,80.37%,"5,653",0,246,303290
14,Loren The Amazon Princess,77.09%,"5,580",1,302,257970
15,Dandelion - Wishes brought to you -,82.02%,"5,578",0,75,321290
16,NEKOPARA - Catboys Paradise,87.38%,"5,477",91,"1,235",1593310
17,Nightshade／百花百狼,90.82%,"5,373",4,220,512180
18,My Vow to My Liege,91.36%,"4,327",50,684,1146970
19,Solstice,71.08%,"4,225",0,32,317280
20,東周列萌志 Philosophic Love,85.57%,"4,047",2,208,528060
21,Ken ga Kimi,89.76%,"4,013",23,346,1162650
22,Roommates,68.89%,"3,906",0,154,317300
23,Backstage Pass,81.74%,"3,902",1,85,288220
24,Magical Diary: Horse Hall,84.51%,"3,816",0,293,211340
25,Seduce Me 2: The Demon War,85.40%,"3,598",2,211,461700
26,The Men of Yoshiwara: Kikuya,73.23%,"3,535",5,71,381100
27,Rising Angels: Reborn,75.74%,"3,512",0,103,321840
28,Hakuoki: Kyoto Winds,85.47%,"3,387",40,183,589530
29,Monster Girl Breeder,63.09%,"3,369",1,18,1400180
30,Hustle Cat,88.14%,"3,340",1,111,453340
31,My Yandere Sister loves me too much!,70.00%,"3,069",0,25,1426090
32,Steam Prison,82.17%,"3,035",3,117,977460
33,Lost in Secular Love,83.68%,"2,815",3,42,520850
34,Hakuoki: Edo Blossoms,88.56%,"2,804",10,128,733340
35,Arcade Spirits,90.40%,"2,790",6,136,910630
