,Name,Rating,Followers,Online,Peak,id
0,Hollow Knight,95.74%,"267,383","6,559","11,992",367520
1,Cuphead,94.74%,"255,988",879,"19,026",268910
2,Ori and the Blind Forest,93.70%,"213,863",94,"13,108",261570
3,Castle Crashers®,94.63%,"146,567",531,"16,013",204360
4,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",392,"9,079",387290
5,Broforce,95.25%,"102,720",248,"3,988",274190
6,Bloodstained: Ritual of the Night,93.35%,"98,360",483,"26,934",692850
7,Lost Castle / 失落城堡,86.44%,"96,912",74,"4,701",434650
8,Craft The World,85.67%,"95,647",275,"3,283",248390
9,ICEY,89.02%,"94,980",1,"3,240",553640
10,Awesomenauts - the 2D moba,83.28%,"88,611",203,"12,156",204300
11,My Friend Pedro,93.79%,"81,141",64,"7,117",557340
12,Salt and Sanctuary,88.92%,"79,203",154,"2,430",283640
13,Celeste,95.82%,"78,187",658,"2,252",504230
14,Skul: The Hero Slayer,91.25%,"77,416",595,"18,970",1147560
15,Geometry Dash,92.77%,"75,913","8,848","13,491",322170
16,Sheltered,78.63%,"66,270",56,"1,413",356040
17,Shovel Knight: Treasure Trove,93.82%,"58,519",84,"2,875",250760
18,Death's Gambit,73.74%,"57,138",19,"2,538",356650
19,Night in the Woods,90.68%,"56,868",77,"1,305",481510
20,Blasphemous,87.43%,"55,967",276,"3,247",774361
21,Planet Centauri,78.17%,"55,814",25,369,385380
22,Kingdom: Classic,88.16%,"51,950",123,"64,944",368230
23,Rabi-Ribi,94.29%,"50,546",27,693,400910
24,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,93.29%,"50,455",14,"5,683",260230
25,Kingdom Two Crowns,86.04%,"49,426",283,"3,223",701160
26,Child of Light,90.22%,"49,305",12,"2,696",256290
27,Momodora: Reverie Under The Moonlight,91.08%,"47,643",32,693,428550
28,Never Alone (Kisima Ingitchuna),78.98%,"46,081",16,482,295790
29,Touhou Luna Nights,94.90%,"45,566",26,"1,368",851100
30,Oxenfree,90.09%,"44,205",19,733,388880
31,Crea,75.20%,"43,473",2,"1,662",280520
32,Magicite,82.96%,"42,588",25,"1,985",268750
33,Kingdom: New Lands,84.50%,"42,499",93,"3,518",496300
34,Sonic Mania,90.88%,"42,046",226,"11,937",584400
35,Indivisible,71.21%,"41,847",33,"2,883",421170
36,LIMBO,91.77%,"41,578",54,"27,466",48000
37,The Final Station,83.43%,"40,906",12,"1,284",435530
38,Toki Tori,83.94%,"39,178",4,"4,511",38700
39,Elsword,73.71%,"38,760",666,"2,587",237310
40,Roguelands,77.90%,"38,525",23,"1,150",364420
41,Monster Sanctuary,89.27%,"37,601",196,"1,374",814370
42,Axiom Verge,89.34%,"35,579",88,788,332200
43,Sundered®: Eldritch Edition,80.07%,"35,378",24,708,535480
44,UnEpic,89.37%,"35,336",18,"3,095",233980
45,Streets of Rage 4,89.57%,"34,794",686,"6,438",985890
46,LISA: The Painful,93.28%,"33,390",38,"1,158",335670
47,Sakuna: Of Rice and Ruin,89.46%,"32,540",76,"7,043",1356670
48,Signs of Life,75.37%,"32,218",4,104,263200
49,The Expendabros,94.65%,"30,896",35,"3,088",312990
50,Home Behind,83.09%,"30,626",10,"3,083",467960
51,DEAD OR SCHOOL,82.73%,"30,074",5,624,789760
52,Oddworld: New 'n' Tasty,84.05%,"28,683",16,"1,457",314660
53,Closers,73.03%,"27,543",113,"2,091",215830
54,Spelunky,89.95%,"27,438",156,"2,919",239350
55,Eastern Exorcist,82.38%,"26,893",30,"2,206",1120810
56,Mark of the Ninja,94.43%,"26,502",5,"5,066",214560
57,Assassin’s Creed® Chronicles: China,71.40%,"25,847",5,591,354380
58,The Messenger,91.42%,"25,720",45,679,764790
