,Name,Rating,Followers,Online,Peak,id
0,Townscaper,95.02%,"54,402",63,"1,089",1291340
1,Startup Company,79.16%,"49,338",97,"1,984",606800
2,Clicker Heroes,88.47%,"34,223","2,936","65,882",363970
3,Dragon Cliff,86.89%,"28,656",432,"5,953",758190
4,Clicker Heroes 2,61.83%,"28,164",145,"9,582",629910
5,Sakura Clicker,82.28%,"25,094",101,"9,127",383080
6,Crush Crush,88.28%,"25,080","1,223","2,582",459820
7,AdVenture Capitalist,86.86%,"24,539","1,668","22,998",346900
8,MONMUSU,77.37%,"23,330",33,"4,291",533540
9,Shakes and Fidget,90.78%,"20,123","1,701","9,495",438040
10,Swaying Girl,87.04%,"19,791",12,"1,447",1393350
11,HunieCam Studio,83.37%,"19,263",60,"2,675",426000
12,Realm Grinder,83.88%,"15,045","1,049","6,265",610080
13,Idle Champions of the Forgotten Realms,80.16%,"14,057","4,666","7,094",627690
14,Weapon Shop Fantasy,76.95%,"12,217",11,"1,607",599460
15,Shop Heroes,67.16%,"12,129",282,"4,222",506140
16,Swag and Sorcery,54.57%,"12,115",20,"6,118",929010
17,Weedcraft Inc,78.38%,"11,814",11,"1,609",622720
18,Soda Dungeon,91.00%,"11,766",80,"5,690",564710
19,Time Clickers,85.67%,"10,838",212,"7,003",385770
20,Plantera,85.44%,"9,989",38,"1,937",421040
21,Guild Quest,66.15%,"9,513",8,"1,713",547680
22,Cell to Singularity - Evolution Never Ends,86.43%,"9,276",661,"2,237",977400
23,Russian Life Simulator,87.04%,"8,473",30,833,1070330
24,Yogurt!,73.68%,"8,412",11,225,1390740
25,Hentai Police,79.78%,"8,192",1,108,1198730
26,Blush Blush,84.91%,"8,053",493,"2,581",777130
27,Touhou Mystia's Izakaya,92.93%,"7,848",17,664,1584090
28,Soda Dungeon 2,91.16%,"7,220",548,"13,385",946050
29,Endless World Idle RPG,76.86%,"7,141",420,"2,312",840260
30,Stone Story RPG,84.70%,"6,865",15,739,603390
31,Chicken Police - Paint it RED!,90.84%,"6,545",4,164,1084640
32,Mission IDLE,67.20%,"6,474",1,6,1503540
33,Horus IDLE,42.61%,"6,459",0,4,1507510
34,枝江往事,92.32%,"6,328",7,"1,142",1641270
35,Escape Dungeon,75.01%,"6,151",1,214,1259740
36,Cute Honey 2,73.39%,"5,932",3,489,1399370
37,Miss Furry,79.74%,"5,847",1,95,1566060
38,Crusaders of the Lost Idols,80.95%,"5,513","1,340","4,068",402840
39,Seek Girl Ⅶ,69.01%,"5,405",3,350,1464930
40,Insanity Clicker,66.23%,"5,183",50,"6,819",393530
41,Voodoo Garden,72.69%,"5,140",6,158,502770
43,No-brainer Heroes 挂机吧！勇者,77.25%,"4,821",102,"1,591",1097420
45,Stayhome Simulator,71.74%,"4,545",0,8,1285000
47,Time Warpers,81.75%,"4,439",48,280,676500
48,AdVenture Communist,65.35%,"4,415",73,"2,871",462930
49,Adorable Witch,84.41%,"4,346",9,238,1605010
50,Hero of the Kingdom,89.70%,"4,158",1,"1,003",259550
51,Hero of the Kingdom II,89.98%,"4,156",7,776,346560
52,Live Empire,46.51%,"4,124",0,938,1325380
53,Loading Screen Simulator,84.42%,"4,073",10,"1,079",652980
54,Smile To Fly,66.62%,"4,053",0,2,1164330
55,Insaniquarium Deluxe,92.06%,"4,040",64,277,3320
56,NGU IDLE,93.23%,"3,965","5,456","8,032",1147690
57,LOLLIPOP!,70.75%,"3,765",9,201,1515230
58,Firestone Idle RPG,77.45%,"3,640","1,616","2,814",1013320
59,Forget Me Not: My Organic Garden,79.06%,"3,639",0,46,363980
60,NGU INDUSTRIES,80.75%,"3,605",939,"8,369",1433990
61,Spiral Clicker,84.88%,"3,566",49,545,950860
62,~Be a maid in the Demon World~ The Secret Café of the Demon Angel Hero.,77.83%,"3,528",0,105,1377550
63,BustyBiz,68.84%,"3,485",291,562,1443820
64,Beach Restaurant,47.19%,"3,358",0,5,769440
65,Timberman,90.50%,"3,301",164,"1,832",398710
66,Zombidle : REMONSTERED,82.86%,"3,257",141,"2,382",612020
67,Idle Adventure,63.51%,"3,243",6,"1,062",714020
68,SPACEPLAN,87.31%,"3,133",8,760,616110
69,Hero Zero,78.63%,"3,121",171,"1,447",482920
70,Norega,72.98%,"3,104",4,159,1596380
71,The Islander,68.32%,"3,103",1,35,715050
72,Furry Love,80.85%,"3,097",12,368,1334590
73,3D Aim Trainer,76.90%,"3,014",112,366,1600530
74,Idle Civilization,52.53%,"2,943",1,249,418910
75,Pixel Shopkeeper,74.19%,"2,916",0,117,603940
76,Nongünz,59.02%,"2,905",0,287,633130
77,Idle Big Devil,83.11%,"2,842",75,"2,137",1158980
78,Cheeky Chooks,89.25%,"2,661",41,427,922460
79,Leaf Blower Revolution - Idle Game,91.87%,"2,497","2,355","8,125",1468260
80,The Unexpected Quest,71.85%,"2,495",4,59,1307670
81,Neko Dungeon | 喵酱迷城 | 喵醬迷城 | ねこダンジョン,54.48%,"2,459",0,4,799870
82,Midas Gold Plus,83.16%,"2,414",50,"2,398",557400
83,Heavy Metal Babes,65.18%,"2,400",58,245,1386950
84,Hero of the Kingdom III,77.01%,"2,391",7,373,772430
85,Love Puzzle,55.35%,"2,341",0,113,1480370
86,Grim Clicker,78.18%,"2,275",579,"1,490",1160750
87,Ragnarok Clicker,69.66%,"2,269",28,"3,402",493370
88,Sweet House,73.69%,"2,238",1,200,1659800
89,Fake Lay,64.15%,"2,205",133,360,1191420
91,Hentai Mosaique Vip Room,83.31%,"2,147",1,141,1035610
92,Tap Adventure: Time Travel,60.88%,"2,085",4,"2,933",596650
93,Aurora,77.60%,"2,066",1,77,1422610
94,PickCrafter,82.62%,"2,063",199,"1,820",734750
95,Mr.Mine,89.00%,"2,062","1,477","5,093",1397920
96,Holyday City: Reloaded,78.12%,"2,025",55,"1,813",728730
97,HENTAI PRINCESS,70.70%,"2,017",1,16,1577160
98,Music Racer,85.77%,"2,010",3,"18,509",893030
99,LastCloudia,73.21%,"2,007","2,789","7,862",1499560
