,Name,Rating,Followers,Online,Peak,id
0,Sword Art Online: Fatal Bullet,77.83%,"145,791",119,"21,727",626690
1,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",976,"10,381",958260
2,Doki Doki Literature Club!,95.52%,"132,697",929,"7,402",698780
3,Mirror,95.43%,"126,433",272,"7,565",644560
4,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",46,"3,254",607890
5,What Remains of Edith Finch,93.22%,"87,406",20,329,501300
6,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",66,"1,574",447530
7,NEKOPARA Vol. 1,93.39%,"83,447",76,487,333600
8,Tales from the Borderlands,92.88%,"83,190",18,"8,690",330830
9,STEINS;GATE,94.62%,"82,691",54,"1,238",412830
10,Persona 4 Golden,95.36%,"76,996","1,768","29,984",1113000
11,Danganronpa: Trigger Happy Havoc,94.32%,"65,531",365,"3,392",413410
12,VR Kanojo / VRカノジョ,74.47%,"64,162",7,66,751440
13,Helltaker,96.53%,"64,080",138,"6,509",1289310
14,Pyre,87.74%,"63,813",30,"4,013",462770
15,The Walking Dead: A New Frontier,77.84%,"63,656",53,"8,278",536220
16,Everlasting Summer,93.96%,"63,263",916,"1,823",331470
17,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
18,コイカツ！ / Koikatsu Party,89.76%,"58,935",198,367,1073440
19,This Is the Police,80.74%,"58,291",64,"3,093",443810
20,Torment: Tides of Numenera,68.00%,"58,092",26,"7,430",272270
21,Danganronpa V3: Killing Harmony,84.12%,"57,127",369,"4,691",567640
22,Fate/EXTELLA,88.91%,"55,901",7,"2,946",511680
23,Detention,77.88%,"55,156",6,"2,335",555220
24,NEKOPARA Vol. 3,94.32%,"52,580",22,"2,571",602520
25,隐形守护者 The Invisible Guardian,84.45%,"52,413",31,"82,345",998940
26,Hyperdimension Neptunia Re;Birth1,92.27%,"51,718",29,"2,281",282900
28,NEKOPARA Vol. 2,94.43%,"51,636",23,"1,228",420110
29,Azur Lane Crosswave,67.30%,"48,225",10,"10,413",1150080
30,Batman - The Telltale Series,79.74%,"46,279",71,"4,001",498240
31,Tricolour Lovestory,89.11%,"46,062",26,"2,733",668630
32,CLANNAD,94.74%,"46,013",40,312,324160
33,Danganronpa 2: Goodbye Despair,94.28%,"45,122",472,"1,869",413420
34,Phoenix Wright: Ace Attorney Trilogy,94.79%,"45,052",425,"3,611",787480
35,AKIBA'S TRIP: Undead ＆ Undressed,83.75%,"44,805",8,507,333980
36,Dream Daddy: A Dad Dating Simulator,87.84%,"44,137",29,"14,471",654880
37,Finding Paradise,94.96%,"41,491",13,994,337340
39,Orwell: Keeping an Eye On You,88.92%,"40,090",25,"154,375",491950
40,Zero Escape: Zero Time Dilemma,83.19%,"37,729",23,"1,914",311240
41,Hyperdimension Neptunia Re;Birth3 V Generation,91.05%,"37,587",12,"1,008",353270
42,SWORD ART ONLINE Alicization Lycoris,61.07%,"36,521",82,"8,590",1009290
43,NEKOPARA Vol. 0,91.74%,"35,604",27,960,385800
44,Doki Doki Literature Club Plus!,93.02%,"35,553",347,"8,662",1388880
45,圣女战旗 Banner of the Maid,87.14%,"35,202",26,"3,737",994730
46,Ken Follett's The Pillars of the Earth,89.56%,"35,129",29,374,234270
47,35MM,69.65%,"34,885",3,230,466500
48,Action Taimanin,82.31%,"34,786",486,"2,894",1335200
49,Material Girl,89.13%,"33,329",12,"3,167",644570
50,Cyberdimension Neptunia: 4 Goddesses Online,84.34%,"33,100",9,"3,750",632350
51,Fate/EXTELLA LINK,89.79%,"32,995",17,"3,118",622220
52,Gaokao.Love.100Days,91.77%,"32,704",5,456,347620
53,BlazBlue Centralfiction,89.33%,"32,701",168,"1,031",586140
54,WILL: A Wonderful World / WILL：美好世界,90.62%,"32,504",2,"1,126",588040
55,Lucy -The Eternity She Wished For-,92.05%,"32,283",3,193,430960
56,Library Of Ruina,88.16%,"32,246",603,"8,015",1256670
57,Sakura Dungeon,87.08%,"32,148",45,551,407330
58,Lost,79.34%,"32,023",8,"1,074",1126290
59,Shining Resonance Refrain,68.74%,"31,443",11,427,809890
61,STEINS;GATE 0,92.32%,"30,661",29,787,825630
62,DEAD OR SCHOOL,82.73%,"30,074",7,624,789760
63,Dark Elf,85.98%,"29,980",9,"1,263",665180
64,Monster Prom,90.42%,"29,236",76,"1,510",743450
65,Megadimension Neptunia VII,91.03%,"29,121",11,"1,161",460120
66,GUILTY GEAR Xrd -REVELATOR-,90.13%,"28,911",146,"1,614",520440
67,Fairy Fencer F Advent Dark Force,81.46%,"28,306",11,971,524580
68,Sakura Swim Club,82.73%,"28,168",2,234,402180
69,Sakura Angels,80.82%,"28,146",0,309,342380
70,If My Heart Had Wings,88.66%,"27,726",17,239,326480
71,Being a DIK - Season 1,93.29%,"27,494",160,"1,185",1126320
