,Name,Rating,Followers,Online,Peak,id
0,DARK SOULS™ III,93.01%,"562,806","10,284","129,975",374320
1,Destiny 2,84.10%,"498,711","42,135","292,513",1085660
2,Halo: The Master Chief Collection,91.63%,"450,548","8,809","161,024",976730
3,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,062","287,411",72850
4,Apex Legends™,88.13%,"229,969","116,274","330,879",1172470
5,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",459,"48,668",241930
6,DEATH STRANDING,91.89%,"202,696","1,104","32,515",1190460
7,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,629","12,106",335300
8,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",389,"11,259",211420
9,X4: Foundations,73.20%,"104,616","1,212","15,198",392160
10,DARK SOULS™: REMASTERED,86.11%,"95,652","2,461","24,501",570940
11,Armello,80.42%,"90,904",206,"3,614",290340
13,Galactic Civilizations III,75.01%,"87,606",397,"6,297",226860
15,Edge Of Eternity,76.53%,"83,271",88,736,269190
16,Lords Of The Fallen™,59.89%,"79,861",40,"8,024",265300
17,Enderal: Forgotten Stories,91.29%,"72,613",209,"5,983",933480
18,Pyre,87.74%,"63,813",26,"4,013",462770
19,Praey for the Gods,82.43%,"56,655",0,428,494430
20,Blasphemous,87.43%,"55,967",259,"3,247",774361
21,Skullgirls 2nd Encore,91.97%,"54,613",410,"4,016",245170
22,Five Nights at Freddy's,88.74%,"44,767",75,"1,316",319510
23,Imagine Earth,76.54%,"42,187",22,327,280720
24,GUILTY GEAR -STRIVE-,87.81%,"40,820","5,038","31,156",1384160
25,RuneScape ®,86.68%,"37,875","6,701","12,569",1343400
26,Five Nights at Freddy's: Sister Location,88.39%,"36,067",22,"3,549",506610
27,Beholder 2,85.29%,"34,071",48,"1,981",761620
28,Ash of Gods: Redemption,74.01%,"33,022",11,"1,002",691690
29,TROUBLESHOOTER: Abandoned Children,90.98%,"32,444",129,"1,012",470310
30,Carnal Instinct,74.02%,"32,173",31,293,1495320
31,Tower of Time,81.85%,"26,566",35,686,617480
32,Colony Ship: A Post-Earth Role Playing Game,78.99%,"25,133",11,380,648410
33,Hammerting,71.12%,"24,690",132,"1,456",760650
34,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,94.82%,"22,749",4,649,745880
35,Sable,-,"22,694",0,1,757310
36,Shadows: Heretic Kingdoms,58.54%,"18,575",1,106,256030
37,INSOMNIA: The Ark,59.75%,"18,478",6,641,783170
38,No More Room In Hell 2,-,"17,817",0,1,292000
39,Anima: Gate of Memories,64.68%,"17,779",1,145,380750
40,Eldest Souls,78.30%,"17,522",60,748,1108590
41,The Signal From Tölva,65.26%,"17,184",1,162,457760
42,Old School RuneScape,90.24%,"17,077","1,550","6,151",1343370
43,東方憑依華　～ Antinomy of Common Flowers.,86.02%,"16,260",3,"1,463",716710
44,Shattered - Tale of the Forgotten King,70.02%,"15,966",2,192,1045180
45,Oceanhorn: Monster of Uncharted Seas,76.69%,"15,235",4,394,339200
46,Dark Deity,77.39%,"14,513",73,"2,043",1374840
47,Ostranauts,71.61%,"13,699",3,390,1022980
50,BEAUTIFUL DESOLATION,77.53%,"11,557",2,175,912570
51,Roguebook,79.50%,"11,007",398,"2,548",1076200
52,Vagrus - The Riven Realms,80.25%,"10,323",6,131,909660
53,Shoppe Keep 2,57.77%,"9,238",6,"1,796",684580
55,Cogmind,91.43%,"9,126",12,168,722730
58,SUPER ROBOT WARS X,86.85%,"8,895",73,852,1031510
60,Russian Life Simulator,87.04%,"8,473",26,833,1070330
61,Sword Legacy: Omen,64.48%,"8,344",1,138,690140
62,Cruelty Squad,93.23%,"8,300",235,360,1388770
63,STARDROP,82.44%,"8,045",0,27,552880
64,Notch - The Innocent LunA: Eclipsed SinnerS,85.23%,"7,658",0,48,325120
65,Narita Boy,77.99%,"7,415",4,225,1069530
66,Skara - The Blade Remains,58.10%,"6,920",0,522,274620
68,Ring of Pain,88.33%,"6,564",45,"1,280",998740
70,Lightmatter,87.35%,"6,437",4,396,994140
71,TSIOQUE,90.64%,"6,327",2,94,393190
73,FINAL FANTASY,87.83%,"6,281",723,"3,079",1173770
74,Mary Skelter: Nightmares,83.24%,"6,145",7,386,837610
75,Gaia Beyond,70.13%,"6,050",4,181,788630
76,Element Space,57.84%,"6,048",2,66,887370
77,Deck Hunter,71.73%,"6,000",1,148,905490
78,Lust from Beyond: Scarlet,77.83%,"5,856",3,341,1401680
79,The Falconeer,73.76%,"5,681",2,67,1135260
80,Waste Walkers,73.73%,"5,587",0,85,371100
81,A House of Many Doors,79.24%,"5,555",5,90,437250
83,Whispering Willows,78.26%,"5,508",1,"2,527",288060
85,Utawarerumono: Prelude to the Fallen,85.61%,"5,414",10,321,1151450
86,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,91.24%,"5,238",4,387,1079160
87,Sorcerer King: Rivals,59.64%,"5,203",2,188,496730
90,Masquerada: Songs and Shadows,83.63%,"5,010",1,65,459090
91,The Wild Eternal,71.70%,"4,874",0,14,554810
92,SUPER ROBOT WARS V,85.94%,"4,583",95,"1,322",1031500
93,The Free Ones,75.13%,"4,577",1,82,670350
95,Decay of Logos,57.03%,"4,197",1,77,759570
97,Fragile,66.25%,"4,172",1,48,1184210
98,FINAL FANTASY III,86.90%,"4,089",635,"1,806",1173790
