,Name,Rating,Followers,Online,Peak,id
0,Terraria,97.11%,"586,997","27,398","489,886",105600
1,Stardew Valley,96.93%,"583,057","32,104","94,879",413150
2,Don't Starve Together,95.13%,"505,458","12,300","68,418",322330
3,RimWorld,96.82%,"464,522","33,673","50,907",294100
4,Factorio,97.37%,"331,424","12,526","34,700",427520
5,Oxygen Not Included,94.72%,"330,996","7,776","27,486",457140
6,Undertale,95.23%,"307,354",867,"10,484",391540
7,Darkest Dungeon®,89.51%,"302,542","4,276","19,357",262060
8,Dead Cells,95.35%,"285,472","1,482","13,802",588650
9,Among Us,92.14%,"273,036","10,961","447,476",945360
10,Hollow Knight,95.74%,"267,383","6,786","11,992",367520
11,Starbound,91.83%,"259,613","2,259","88,709",211820
12,Cuphead,94.74%,"255,988",875,"19,026",268910
13,The Binding of Isaac: Rebirth,96.57%,"222,230","17,025","70,701",250900
14,Ori and the Blind Forest,93.70%,"213,863",111,"13,108",261570
15,Plague Inc: Evolved,92.56%,"210,944",425,"17,889",246620
16,Prison Architect,89.34%,"193,132","1,385","16,211",233450
17,Age of Empires II (2013),94.11%,"186,343","4,992","27,927",221380
18,Project Zomboid,88.24%,"185,227","5,709","7,191",108600
19,Slay the Spire,96.40%,"178,205","7,398","33,086",646570
20,鬼谷八荒,86.35%,"170,182","1,420","184,171",1468810
21,Break the G̵amè̢̢͘,72.17%,"169,159",1,165,739540
22,Don't Starve,95.30%,"165,845","1,212","16,796",219740
23,Age of Empires II: Definitive Edition,92.49%,"163,796","19,875","38,725",813780
24,INSIDE,94.26%,"161,351",71,"4,170",304430
26,Enter the Gungeon,94.47%,"147,633","1,141","15,792",311690
27,Castle Crashers®,94.63%,"146,567",555,"16,013",204360
28,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",294,"72,533",838350
29,Ori and the Will of the Wisps,94.75%,"142,463",458,"34,807",1057090
30,BattleBlock Theater®,95.55%,"136,292",208,"14,781",238460
31,Stick Fight: The Game,91.92%,"133,731",999,"5,147",674940
32,The Escapists 2,87.54%,"132,999",337,"11,202",641990
33,Noita,93.65%,"120,960","1,833","5,239",881100
34,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",414,"9,079",387290
35,GRIS,94.79%,"113,596",63,959,683320
36,Stoneshard,77.05%,"111,500",236,"10,738",625960
37,Forager,90.06%,"110,743",442,"13,438",751780
38,The Escapists,87.80%,"108,395",56,"3,354",298630
39,South Park™: The Stick of Truth™,95.69%,"108,056",237,"34,811",213670
40,Hyper Light Drifter,91.37%,"105,909",45,"4,954",257850
41,Street Fighter V,61.72%,"105,435","2,019","14,783",310950
42,Graveyard Keeper,83.43%,"103,836",901,"16,993",599140
43,Broforce,95.25%,"102,720",233,"3,988",274190
44,South Park™: The Fractured But Whole™,78.54%,"100,505",244,"21,609",488790
45,Rebel Galaxy,82.84%,"100,008",71,"5,717",290300
46,Wizard of Legend,89.15%,"98,914",379,"6,487",445980
47,Bloodstained: Ritual of the Night,93.35%,"98,360",469,"26,934",692850
48,Fallout Shelter,86.81%,"97,971","1,217","42,656",588430
49,Lost Castle / 失落城堡,86.44%,"96,912",89,"4,701",434650
50,Craft The World,85.67%,"95,647",300,"3,283",248390
51,"Papers, Please",94.96%,"95,060",536,"6,129",239030
52,ICEY,89.02%,"94,980",1,"3,240",553640
54,Armello,80.42%,"90,904",208,"3,614",290340
55,Ultimate Chicken Horse,94.12%,"90,370",387,"2,744",386940
56,Amazing Cultivation Simulator,85.13%,"89,410",979,"18,349",955900
57,Awesomenauts - the 2D moba,83.28%,"88,611",233,"12,156",204300
58,Streets of Rogue,93.71%,"88,576",206,"4,320",512900
59,RPG Maker MV,88.46%,"86,315",862,"2,486",363890
60,Moonlighter,81.21%,"86,073",89,"6,229",606150
61,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",67,"1,574",447530
62,Beholder,88.91%,"83,240",155,"2,774",475550
63,My Friend Pedro,93.79%,"81,141",77,"7,117",557340
64,SUNLESS SEA,81.18%,"79,476",65,"4,049",304650
65,Salt and Sanctuary,88.92%,"79,203",152,"2,430",283640
66,Barotrauma,89.85%,"78,558","1,131","5,284",602960
67,Celeste,95.82%,"78,187",702,"2,252",504230
68,Skul: The Hero Slayer,91.25%,"77,416",630,"18,970",1147560
69,Blender,94.92%,"76,255","3,522","5,133",365670
70,Geometry Dash,92.77%,"75,913","9,687","13,491",322170
71,Hotline Miami 2: Wrong Number,91.21%,"74,917",239,"18,950",274170
