,Name,Rating,Followers,Online,Peak,id
0,Ultimate Chicken Horse,94.12%,"90,370",337,"2,744",386940
1,Celeste,95.82%,"78,187",674,"2,252",504230
2,Geometry Dash,92.77%,"75,913","8,394","13,491",322170
3,Hot Lava,90.00%,"30,941",34,"1,030",382560
4,Super Meat Boy,92.86%,"23,876",61,"5,153",40800
5,The End Is Nigh,89.29%,"18,336",13,"1,641",583470
6,Downwell,93.58%,"15,173",31,405,360740
7,Wings of Vi,77.28%,"13,208",4,279,318530
8,N++ (NPLUSPLUS),90.35%,"10,240",35,522,230270
9,Jump King,87.19%,"10,068",593,858,1061090
10,SEUM: Speedrunners from Hell,90.59%,"9,744",15,852,457210
11,You Have to Win the Game,89.80%,"8,436",4,660,286100
12,Super Meat Boy Forever,-,"7,682",0,1,581660
13,La-Mulana 2,81.61%,"7,196",14,"1,191",835430
14,VVVVVV,93.17%,"7,157",12,"2,174",70300
15,Bloody Trapland,80.02%,"7,149",8,591,257750
16,Blue Fire,76.33%,"6,063",60,298,1220150
17,They Bleed Pixels,81.04%,"5,455",0,570,211260
18,Neon Beats,92.88%,"4,786",7,210,1064610
19,Levelhead,88.76%,"4,782",15,367,792710
20,1001 Spikes,77.32%,"4,572",0,118,260790
21,Kaze and the Wild Masks,90.32%,"4,547",6,135,829280
22,Woodle Deluxe,76.37%,"4,311",0,5,1516090
23,Olija,85.11%,"4,248",2,71,1297330
24,Electronic Super Joy,86.96%,"4,017",0,949,244870
25,Bro Falls: Ultimate Showdown,74.87%,"3,865","1,205","1,954",1590320
26,140,89.24%,"3,839",1,551,242820
27,Remnants of Naezith,82.37%,"3,836",3,79,590590
28,BURGER MAN,57.17%,"3,601",0,3,1610630
29,Alex Kidd in Miracle World DX,79.55%,"3,543",3,174,1333470
30,I Wanna Maker,91.65%,"3,438",56,514,1114940
31,DDraceNetwork,91.13%,"3,366",731,"1,924",412220
32,Pogostuck: Rage With Your Friends,81.11%,"3,357",89,674,688130
33,Super Win the Game,83.27%,"3,306",2,"3,001",310700
34,Dustforce DX,84.01%,"3,225",7,570,65300
35,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,88.45%,"2,923",3,795,218060
36,WarriOrb: Prologue,82.59%,"2,892",0,55,1193760
37,Bloody Trapland 2: Curiosity,78.07%,"2,886",13,86,579840
38,Circa Infinity,85.14%,"2,881",0,13,390610
39,Overcoming Obstacles,50.00%,"2,714",0,4,1603020
40,Brain Break,75.93%,"2,615",0,15,1459360
41,FOTONICA,83.15%,"2,555",0,226,253290
42,Unreal Golf,66.76%,"2,538",0,9,1660490
43,Trapped Guys,70.48%,"2,518",0,21,1402000
44,Disc Room,88.41%,"2,428",1,181,1229580
45,Sayonara Umihara Kawase,83.43%,"2,365",0,59,378750
46,Deepest Sword,86.16%,"2,314",63,320,1647160
47,Mr. Parkour,50.99%,"2,271",0,5,1454240
49,Dungeon Escape,74.38%,"2,162",0,236,454100
50,City Climber,70.11%,"2,154",0,34,538840
51,Toodee and Topdee,86.78%,"2,036",13,72,1303950
53,Spirits Abyss,88.22%,"1,878",0,18,1078200
54,Mr. Parkour 2,51.56%,"1,850",0,6,1455720
55,Cyber Hook,89.71%,"1,811",12,89,1130410
56,You Have 10 Seconds,85.44%,"1,748",1,153,510050
57,Straima,78.73%,"1,697",1,44,399140
58,There Was A Caveman,66.26%,"1,682",0,48,407290
59,WarriOrb,78.85%,"1,671",0,26,790360
60,Rolled Out!,87.32%,"1,661",5,210,873270
62,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),88.69%,"1,647",7,552,1465860
63,LOVE,85.94%,"1,597",0,"1,774",269270
64,Just 15 minutes,47.89%,"1,589",0,2,1643340
66,oO,85.30%,"1,513",1,67,367570
67,Golfing Over It with Alva Majo,68.70%,"1,505",4,528,817510
68,Summit in Space,68.41%,"1,421",0,4,1511230
69,Ageless,54.78%,"1,391",3,170,1210150
71,Momentum Mod,-,"1,348",0,20,669270
73,Deleveled,75.66%,"1,317",2,150,1045580
74,Flat Heroes,82.69%,"1,308",3,122,508790
75,Spinch,71.16%,"1,283",0,29,794240
78,Primal Light,81.94%,"1,249",0,21,771420
79,PANZER BALL,84.91%,"1,236",1,354,325260
80,Night Lights,80.69%,"1,225",0,9,590850
81,One More Line,67.70%,"1,191",1,72,356890
82,Slime-san: Superslime Edition,78.81%,"1,174",0,128,473530
83,Vectronom,88.52%,"1,170",1,25,925460
85,Garlic,82.63%,"1,156",3,45,1250440
86,Knytt Underground,79.91%,"1,155",3,701,248190
87,Super Magbot,81.89%,"1,149",0,54,1205170
88,Umihara Kawase,85.22%,"1,123",0,22,384690
89,Boson X,87.97%,"1,094",4,549,302610
90,Sunblaze,85.05%,"1,057",3,72,1525660
91,Octahedron: Transfixed Edition,83.37%,"1,055",0,52,434660
92,Soulless: Ray Of Hope,70.02%,"1,046",0,475,528300
93,Speed Limit,82.83%,"1,033",0,14,1058280
94,Schein,69.79%,"1,010",0,"1,990",321920
95,Skully,55.92%,965,1,31,1249110
97,Hunter Girls,75.36%,866,0,7,1683900
