,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","438,986","1,308,963",730
1,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","78,040","3,257,248",578080
2,Dota 2,83.55%,"1,887,003","355,842","1,295,114",570
3,Team Fortress 2,93.06%,"1,231,323","78,129","151,253",440
4,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","40,829","201,053",359550
5,Rocket League®,88.30%,"618,648","58,045","147,632",252950
6,Battlerite,83.09%,"526,206",321,"45,145",504370
7,Destiny 2,84.10%,"498,711","42,437","292,513",1085660
8,Counter-Strike: Source,94.77%,"435,159","3,334","100,056",240
9,Chivalry: Medieval Warfare,81.24%,"367,886",158,"25,145",219640
10,Left 4 Dead,94.00%,"307,581",573,"30,616",500
11,Insurgency,90.40%,"271,988",558,"121,575",222880
12,Minion Masters,90.06%,"265,476",811,"10,329",489520
13,SMITE®,79.66%,"230,829","16,862","31,169",386360
14,KurtzPel,62.65%,"214,588",354,"11,937",844870
15,Age of Empires II (2013),94.11%,"186,343","4,550","27,927",221380
16,Counter-Strike,96.24%,"180,360","8,945","319,586",10
17,Dirty Bomb®,80.02%,"176,211",166,"13,113",333930
18,MORDHAU,81.35%,"171,629",745,"60,204",629760
19,TEKKEN 7,81.66%,"166,853","3,516","18,966",389730
20,DRAGON BALL FighterZ,88.11%,"166,488","3,407","44,303",678950
21,Steam Link,74.56%,"157,964",0,22,353380
22,Artifact,46.90%,"152,783",17,"60,646",583950
23,Mortal Kombat X,80.39%,"131,055",312,"15,743",307780
24,World of Tanks Blitz,79.02%,"118,293","9,144","48,598",444200
25,The Culling,56.80%,"117,629",0,"12,995",437220
26,Mortal Kombat 11,83.92%,"110,285","2,004","35,147",976310
27,Street Fighter V,61.72%,"105,435","2,092","14,783",310950
28,Iron Harvest,70.22%,"101,513",727,"8,164",826630
29,Star Conflict,73.81%,"96,709",184,"4,973",212070
30,Ultimate Chicken Horse,94.12%,"90,370",338,"2,744",386940
31,Awesomenauts - the 2D moba,83.28%,"88,611",189,"12,156",204300
32,Mordheim: City of the Damned,68.78%,"79,481",162,"2,715",276810
