,Name,Rating,Followers,Online,Peak,id
0,Darkest Dungeon®,89.51%,"302,602","6,488","19,357",262060
1,ELEX,73.17%,"157,225",769,"22,969",411300
2,Bloodstained: Ritual of the Night,93.35%,"98,364",630,"26,934",692850
3,Battlefleet Gothic: Armada,67.01%,"80,059",40,"9,253",363680
4,SUNLESS SEA,81.18%,"79,478",57,"4,049",304650
5,Blasphemous,87.44%,"55,975",274,"3,247",774361
6,Iratus: Lord of the Dead,84.05%,"40,746",320,"4,258",807120
7,Othercide,79.94%,"39,164",30,"1,696",798490
8,Legend of Keepers: Career of a Dungeon Manager,80.90%,"35,665",118,"3,127",978520
9,Devil May Cry HD Collection,87.20%,"34,812",67,591,631510
10,Amnesia: The Dark Descent,92.61%,"33,684",57,"5,666",57300
11,Gothic Playable Teaser,72.41%,"29,773",16,"3,888",950670
12,Exoplanet: First Contact,73.42%,"29,173",1,19,531660
13,Risen 3 - Titan Lords,71.61%,"26,910",116,"8,011",249230
14,The Incredible Adventures of Van Helsing,81.07%,"24,429",42,"4,231",215530
15,Brutal Legend,90.76%,"23,842",43,"7,172",225260
16,Witch Hunt,84.43%,"22,660",13,130,661790
17,Castlevania: Lords of Shadow – Ultimate Edition,78.17%,"20,678",29,"1,585",234080
18,SINNER: Sacrifice for Redemption,65.18%,"20,290",3,50,691280
19,The Incredible Adventures of Van Helsing: Final Cut,73.15%,"18,958",39,"1,322",400170
20,Tormentum - Dark Sorrow,89.64%,"18,576",2,129,335000
21,Gothic® 3,80.57%,"17,022",311,915,39500
22,Risen,85.80%,"16,631",150,"1,382",40300
23,Castlevania: Lords of Shadow 2,81.28%,"16,129",18,"3,802",239250
24,Vampire: The Masquerade - Bloodhunt,-,"15,877",0,22,760160
25,Vampire: The Masquerade - Bloodlines,92.09%,"15,869",57,"3,251",2600
26,Deathtrap,79.91%,"15,816",21,948,310510
28,Mad Father,92.67%,"14,504",31,233,483980
29,Bloodstained: Curse of the Moon,90.76%,"14,052",1,953,838310
30,Risen 2: Dark Waters,76.84%,"13,518",110,"10,867",40390
