,Name,Rating,Followers,Online,Peak,id
0,Terraria,97.11%,"586,997","27,265","489,886",105600
1,Stardew Valley,96.93%,"583,057","31,935","94,879",413150
2,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
3,Factorio,97.37%,"331,424","12,446","34,700",427520
4,Undertale,95.23%,"307,354",844,"10,484",391540
5,Dead Cells,95.35%,"285,472","1,469","13,802",588650
6,Starbound,91.83%,"259,613","2,261","88,709",211820
7,The Binding of Isaac: Rebirth,96.57%,"222,230","17,009","70,701",250900
8,Enter the Gungeon,94.47%,"147,633","1,141","15,792",311690
9,OCTOPATH TRAVELER™,83.84%,"135,832",245,"6,177",921570
10,The Escapists 2,87.54%,"132,999",334,"11,202",641990
11,Noita,93.65%,"120,960","1,818","5,239",881100
12,Trove,79.74%,"117,499","2,008","58,949",304050
13,Stoneshard,77.05%,"111,500",245,"10,738",625960
14,Forager,90.06%,"110,743",440,"13,438",751780
15,The Escapists,87.80%,"108,395",54,"3,354",298630
16,Hyper Light Drifter,91.37%,"105,909",48,"4,954",257850
17,Graveyard Keeper,83.43%,"103,836",892,"16,993",599140
18,Space Haven,84.82%,"103,253",457,"5,687",979110
19,Broforce,95.25%,"102,720",235,"3,988",274190
20,Wizard of Legend,89.15%,"98,914",373,"6,487",445980
21,PixARK,69.37%,"95,911",366,"14,144",593600
22,"Papers, Please",94.96%,"95,060",518,"6,129",239030
24,Streets of Rogue,93.71%,"88,576",209,"4,320",512900
25,Into the Breach,91.71%,"88,493",330,"14,682",590380
26,Moonlighter,81.21%,"86,073",86,"6,229",606150
27,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",66,"1,574",447530
28,Minecraft: Story Mode - A Telltale Games Series,74.05%,"83,042",10,"6,423",376870
29,Cube World,38.78%,"80,174",68,"35,622",1128000
30,Children of Morta,89.27%,"79,260",148,"3,064",330020
31,Celeste,95.82%,"78,187",704,"2,252",504230
32,Skul: The Hero Slayer,91.25%,"77,416",635,"18,970",1147560
33,Witch It,85.78%,"77,416",143,"3,705",559650
34,Hotline Miami 2: Wrong Number,91.21%,"74,917",230,"18,950",274170
35,Crypt of the NecroDancer,93.79%,"74,562",157,"2,282",247080
36,Katana ZERO,96.28%,"74,326",144,"1,575",460950
37,CARRION,91.65%,"71,454",78,"6,347",953490
38,CrossCode,91.84%,"71,321",153,"3,429",368340
39,Secrets of Grindea,88.49%,"70,309",35,435,269770
40,Dig or Die,87.36%,"66,616",22,868,315460
41,Sheltered,78.63%,"66,270",63,"1,413",356040
43,EITR,-,"62,248",0,8,350050
44,Forts,87.39%,"60,055",424,"7,280",410900
45,Tooth and Tail,77.33%,"59,962",17,"1,975",286000
46,Shovel Knight: Treasure Trove,93.82%,"58,519",93,"2,875",250760
47,The Survivalists,68.56%,"58,084",88,"3,563",897450
48,Crawl,91.64%,"57,454",25,319,293780
49,Death's Gambit,73.74%,"57,138",20,"2,538",356650
50,FTL: Faster Than Light,94.33%,"56,554","1,833","19,301",212680
51,Blasphemous,87.43%,"55,967",271,"3,247",774361
52,Planet Centauri,78.17%,"55,814",24,369,385380
53,Duck Game,94.36%,"53,686",454,"5,047",312530
54,To the Moon,94.71%,"53,650",28,615,206440
55,OneShot,95.74%,"53,268",34,824,420530
56,Nuclear Throne,93.67%,"52,555",168,"1,213",242680
57,Rise to Ruins,86.68%,"52,283",68,"1,469",328080
58,Police Stories,83.12%,"52,257",70,666,539470
59,Kingdom: Classic,88.16%,"51,950",137,"64,944",368230
60,Rabi-Ribi,94.29%,"50,546",30,693,400910
61,Hero Siege,75.23%,"50,275",603,"4,177",269210
62,Loop Hero,91.25%,"49,707","1,128","51,156",1282730
63,Kingdom Two Crowns,86.04%,"49,426",308,"3,223",701160
64,Feel The Snow,85.71%,"49,225",4,365,538100
65,Risk of Rain,91.72%,"48,438",82,"5,462",248820
66,Neon Abyss,85.38%,"48,313",335,"5,141",788100
67,Momodora: Reverie Under The Moonlight,91.08%,"47,643",32,693,428550
68,Dungeon of the ENDLESS™,85.72%,"47,502",100,"6,323",249050
69,Staxel,77.09%,"47,128",77,"2,644",405710
71,Kynseed,84.56%,"46,254",38,433,758870
72,Touhou Luna Nights,94.90%,"45,566",26,"1,368",851100
73,Vagante,87.34%,"44,910",109,518,323220
74,Owlboy,82.56%,"44,307",8,"1,317",115800
75,Crea,75.20%,"43,473",1,"1,662",280520
76,Rivals of Aether,92.50%,"43,350",445,"2,922",383980
77,OMORI,96.22%,"42,811","1,059","3,166",1150690
78,Magicite,82.96%,"42,588",23,"1,985",268750
79,Kingdom: New Lands,84.50%,"42,499",94,"3,518",496300
80,Punch Club,77.96%,"42,048",53,"4,305",394310
81,Sonic Mania,90.88%,"42,046",227,"11,937",584400
82,Finding Paradise,94.96%,"41,491",13,994,337340
83,Disgaea PC,84.93%,"40,997",66,"2,937",405900
84,The Final Station,83.43%,"40,906",18,"1,284",435530
85,Hotline Miami,95.69%,"40,291",152,"6,878",219150
86,Curious Expedition,87.64%,"39,667",39,"1,038",358130
87,SimAirport,76.11%,"39,424",96,"1,071",598330
88,Domina,86.21%,"39,341",61,"3,089",535230
89,UnderMine,90.50%,"39,030",588,"3,245",656350
90,Roguelands,77.90%,"38,525",17,"1,150",364420
91,Realm of the Mad God Exalt,83.13%,"38,390","2,267","10,051",200210
92,Project Highrise,80.88%,"37,822",72,"2,515",423580
93,Do Not Feed the Monkeys,90.01%,"37,732",52,"1,888",658850
94,Death Road to Canada,90.11%,"37,612",59,491,252610
95,Monster Sanctuary,89.27%,"37,601",183,"1,374",814370
96,Titan Souls,76.42%,"37,566",55,"4,404",297130
97,Stellar Overload,67.91%,"37,396",0,245,397150
98,The Last Spell,88.27%,"37,210",368,"6,755",1105670
