,Name,Rating,Followers,Online,Peak,id
0,Dead by Daylight,81.53%,"1,298,168","54,522","105,093",381210
1,Left 4 Dead 2,96.42%,"865,195","15,567","162,399",550
2,The Forest,93.84%,"625,035","5,648","64,879",242760
3,Killing Floor 2,86.81%,"617,961","2,791","69,987",232090
4,Dying Light: Enhanced Edition,93.98%,"603,769","4,106","45,876",239140
5,Subnautica,94.91%,"546,416","2,353","51,156",264710
6,Don't Starve Together,95.13%,"505,458","11,540","68,418",322330
7,DayZ,67.69%,"477,791","24,688","45,878",221100
8,The Long Dark,89.86%,"460,431","1,221","14,433",305620
9,Hunt: Showdown,81.16%,"396,304","13,505","32,698",594650
10,Just Survive,58.66%,"362,602",1,"40,335",295110
11,Metro Exodus,86.81%,"348,587",884,"15,375",412020
12,Resident Evil 2,95.77%,"263,717",760,"74,227",883710
13,GTFO,86.64%,"236,110",482,"5,247",493520
14,Green Hell,85.30%,"230,589","1,586","20,003",815370
15,Dying Light 2 Stay Human,-,"222,355",0,34,534380
16,Subnautica: Below Zero,89.94%,"216,187","1,643","42,115",848450
17,Friday the 13th: The Game,77.50%,"207,391",870,"16,096",438740
18,Resident Evil 7 Biohazard,92.68%,"191,836",512,"20,449",418370
19,No More Room in Hell,88.21%,"189,082",396,"10,922",224260
20,The Solus Project,77.25%,"188,920",4,652,313630
21,Project Zomboid,88.24%,"185,227","5,513","7,191",108600
22,Getting Over It with Bennett Foddy,81.08%,"177,602",421,"5,054",240720
23,We Happy Few,73.40%,"168,153",117,"3,498",320240
24,Don't Starve,95.30%,"165,845","1,120","16,796",219740
25,Outlast 2,88.52%,"165,571",179,"5,966",414700
26,Prey,88.45%,"161,647",630,"24,594",480490
27,The Wild Eight,69.82%,"159,714",267,"1,707",526160
28,Steam Link,74.56%,"157,964",0,22,353380
29,Deceit,77.94%,"154,404",705,"16,923",466240
30,Little Nightmares,92.73%,"152,199",630,"78,169",424840
31,Depth,86.09%,"150,351",149,"10,916",274940
32,Resident Evil 3,75.82%,"141,564",329,"60,293",952060
34,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",291,"5,174",859570
35,Alien: Isolation,91.18%,"131,821",231,"10,870",214490
36,DESOLATE,67.27%,"123,359",49,"1,832",671510
37,SOMA,93.76%,"120,403",100,"4,072",282140
38,Resident Evil Village,93.64%,"119,425","1,342","106,631",1196590
39,Hello Neighbor,76.74%,"113,472",110,"1,414",521890
40,Killing Floor,93.72%,"113,306",348,"24,107",1250
41,Days Gone,90.47%,"109,372","3,255","27,450",1259420
42,SCP: Secret Laboratory,90.19%,"108,404","4,347","7,679",700330
43,Source Filmmaker,91.33%,"106,628","1,285","3,975",1840
44,Infestation: The New Z,52.56%,"94,858",256,"14,437",555570
45,Outlast,94.60%,"94,352",318,"11,827",238320
46,The Evil Within 2,90.22%,"90,861",208,"9,918",601430
47,Chernobylite,79.00%,"85,920",808,"3,944",1016800
48,Romero's Aftermath,48.69%,"85,438",0,"4,302",349700
49,The Evil Within,82.48%,"83,110",202,"4,499",268050
50,Chinese Parents,89.77%,"82,457",102,"32,593",736190
51,Zombie Army Trilogy,85.60%,"79,674",71,"4,320",301640
52,Darkwood,91.95%,"79,010",87,"1,051",274520
53,Barotrauma,89.85%,"78,558",990,"5,284",602960
54,Metro 2033 Redux,85.90%,"78,457",281,"5,139",286690
55,Dead Rising 3 Apocalypse Edition,72.18%,"76,816",89,"11,418",265550
56,Metro: Last Light Redux,86.54%,"75,688",260,"2,819",287390
57,Mist Survival,78.81%,"74,985",163,"3,136",914620
58,Contagion,70.61%,"73,462",50,"7,624",238430
59,Call of Cthulhu®,75.86%,"71,477",45,"3,449",399810
60,State of Decay: YOSE,78.04%,"70,361",130,"3,339",329430
61,Resident Evil 6,78.73%,"69,374",417,"11,879",221040
62,Night of the Dead,78.36%,"68,463",584,"4,434",1377380
63,Dead Frontier 2,69.91%,"68,291",520,"10,101",744900
64,Layers of Fear,87.70%,"67,945",63,"145,384",391720
66,Resident Evil,90.07%,"66,423",167,"4,388",304240
67,Atomic Heart,-,"60,230",0,3,668580
68,S.T.A.L.K.E.R.: Call of Pripyat,94.31%,"59,897",299,"1,359",41700
69,Cry of Fear,84.52%,"59,446",230,"3,075",223710
70,System Shock,-,"57,719",0,2,482400
71,Dead Realm,62.21%,"57,201",0,"1,844",352460
72,Detention,77.88%,"55,156",6,"2,335",555220
73,theHunter: Primal,56.26%,"54,764",4,"1,138",322920
74,Agony,48.73%,"54,721",3,"2,845",487720
75,Pathologic 2,88.79%,"53,430",82,"1,422",505230
76,Resident Evil Revelations 2,76.81%,"52,795",129,"3,686",287290
77,Arizona Sunshine®,79.03%,"52,651",42,658,342180
78,Survive the Nights,61.22%,"51,511",33,"1,716",541300
79,Zombie Panic! Source,82.51%,"50,691",58,"2,996",17500
80,The Dark Pictures Anthology: Man of Medan,70.63%,"48,643",51,"4,518",939850
81,State of Decay,82.67%,"47,055",11,"10,079",241540
82,S.T.A.L.K.E.R.: Shadow of Chernobyl,93.60%,"45,861",349,"1,669",4500
83,Pacify,85.82%,"45,414",497,"3,173",967050
84,How to Survive,80.94%,"45,253",22,"9,231",250400
85,Visage,85.00%,"45,047",110,"1,178",594330
86,Five Nights at Freddy's,88.74%,"44,767",84,"1,316",319510
87,Resident Evil 4,88.06%,"44,619",554,"2,447",254700
88,Kona,80.10%,"44,603",1,349,365160
89,In Silence,78.25%,"43,785",98,"2,396",1361000
90,Resident Evil 7 Teaser: Beginning Hour,85.21%,"43,577",10,"3,910",530620
91,Notes of Soul,77.17%,"43,473",49,"2,968",991780
92,Five Nights at Freddy's 2,89.88%,"42,566",38,"1,725",332800
93,Bendy and the Ink Machine,85.74%,"42,518",66,"3,457",622650
94,Aliens vs. Predator™,88.01%,"42,462",87,"3,794",10680
95,Resident Evil 0,81.67%,"42,382",81,"3,128",339340
